path,coordonnées,catégorie,sous-catégorie,titre,baratineur,piocheur,contexte,enjeu,suggestion,CCby,category,subcategory,title,smoothTalker,drawer,context,issue,suggestion_en,category_ru,subcategory_ru,title_ru,smoothTalker_ru,drawer_ru,context_ru,issue_ru,suggestion_ru,category_pt,subcategory_pt,title_pt,smoothTalker_pt,drawer_pt,context_pt,issue_pt,suggestion_pt,édition février 2022,print_&_play_fevrier_2022,print_and_play,category_ar,subcategory_ar,title_ar,smoothTalker_ar,drawer_ar,context_ar,issue_ar,suggestion_ar,category_es,subcategory_es,title_es,smoothTalker_es,drawer_es,context_es,issue_es,suggestion_es,category_zh,subcategory_zh,title_zh,smoothTalker_zh,drawer_zh,context_zh,issue_zh,suggestion_zh,category_fa,subcategory_fa,title_fa,smoothTalker_fa,drawer_fa,context_fa,issue_fa,suggestion_fa
2.3.2,"2,0302",mythologie,littérature,Côté obscur,Lord Voldemort,Un élève de Poudlard,"Lord Voldemort, puissant mage noir, souhaite étendre son empire sur le monde des sorciers.",Il doit convaincre un étudiant de Poudlard de rejoindre ses rangs.,"Rejoignez-moi, et je vous offrirai le pouvoir que Poudlard vous refuse.",,Mythology,Literature,Dark Side,Lord Voldemort,A Hogwarts student,"Lord Voldemort, a powerful dark wizard, wants to expand his empire over the wizarding world.",He must convince a Hogwarts student to join his ranks.,"Join me, and I will offer the power that Hogwarts denies you.",Мифология,Литература,Тёмная сторона,Лорд Волан-де-Морт,Ученик Хогвартса,"Лорд Волан-де-Морт, могущественный тёмный маг, хочет расширить свою власть на весь мир волшебников.",Ему нужно убедить ученика Хогвартса вступить в его ряды.,"Но, Волан-де-Морт, все знают, что вы — зло во плоти!",Mitologia,Literatura,Lado negro,Lord Voldemort,Um aluno de Hogwarts,"Lord Voldemort, poderoso feiticeiro das trevas, deseja expandir o seu império pelo mundo dos feiticeiros.",Tem de convencer um estudante de Hogwarts a juntar-se às suas fileiras.,"Junte-se a mim, e eu oferecer-lhe-ei o poder que Hogwarts lhe recusa.",,,,ميثولوجيا,أدب,الجانب المظلم,اللورد فولدمورت,طالب من هوغوورتس,يرغب اللورد فولدمورت، الساحر الأسود القوي، في بسط إمبراطوريته على عالم السحرة.,عليه أن يقنع طالبًا من هوغوورتس بالانضمام إلى صفوفه.,لكن يا فولدمورت، الجميع يعرف أنك الشر متجسدًا!,mitología,literatura,Lado oscuro,Lord Voldemort,Un alumno de Hogwarts,"Lord Voldemort, poderoso mago oscuro, desea extender su imperio por el mundo de los magos.",Debe convencer a un estudiante de Hogwarts de unirse a sus filas.,"Pero, Voldemort, ¡todo el mundo sabe que es el mal encarnado!",神话,文学,黑暗面,伏地魔大人,一名霍格沃茨学生,伏地魔大人是一位强大的黑巫师，想把自己的帝国扩张到整个巫师世界。,他必须说服一名霍格沃茨学生加入自己的阵营。,可是伏地魔，大家都知道您就是邪恶本恶啊！,اسطوره‌شناسی,ادبیات,نیمهٔ تاریک,لرد ولدمورت,یک دانش‌آموز هاگوارتز,لرد ولدمورت، جادوگر سیاهِ قدرتمند، می‌خواهد امپراتوری‌اش را بر جهان جادوگران گسترش دهد.,او باید یک دانش‌آموز هاگوارتز را قانع کند که به صفوفش بپیوندد.,اما ولدمورت، همه می‌دانند شما تجسم شر هستید!
2.3.3,"2,0303",mythologie,littérature,Pays des merveilles,Le chat du Cheschire,Alice,"Le baratineur est le Chat du Cheshire, mystérieux et insaisissable.",Il cherche à persuader Alice que tourner en rond est le moyen le plus rapide d'atteindre le château de la reine.,"Alice, si tous les chemins se contredisent, tourner en rond est encore le plus sûr moyen pour vous d’atteindre le château de la reine.",,Mythology,Literature,This Wonderful Land,The Cheshire Cat,Alice,"The smooth talker is the Cheshire Cat, mysterious and elusive.",He tries to persuade Alice that walking in circles is the fastest way to reach the Queen's castle.,"Alice, if every path contradicts the others, walking in circles is still the safest way to reach the Queen's castle.",Мифология,Литература,Эта чудесная страна,Чеширский кот,Алиса,Болтун — загадочный кот.,"Он пытается убедить Алису, что ходить кругами — самый быстрый способ добраться до замка королевы.",Ходить кругами правда может быть кратчайшим путем? Ты шутишь?,Mitologia,Literatura,Este País das Maravilhas,O Gato de Cheshire,Alice,"O Embromador é o Gato de Cheshire, misterioso e esquivo.",Procura convencer Alice de que andar às voltas é a forma mais rápida de chegar ao castelo da rainha.,"Alice, se todos os caminhos se contradizem, andar às voltas ainda é a forma mais segura de chegar ao castelo da rainha.",,,,ميثولوجيا,أدب,ذلك البلد العجيب,قط شيشاير,أليس,البارع في الكلام قطّ غامض.,يسعى إلى إقناع أليس بأن الدوران في حلقة هو أسرع وسيلة للوصول إلى قلعة الملكة.,الدوران في حلقة قد يكون فعلًا أقصر طريق؟ أتسخر مني؟,mitología,literatura,Ese país maravilloso,El gato de Cheshire,Alicia,El baratinero es un gato misterioso.,Buscar persuadir a Alicia de que dar vueltas en círculo es la forma más rápida de llegar al castillo de la reina.,¿Dar vueltas en círculo puede ser de verdad el camino más corto? ¿Estás de broma?,神话,文学,这个奇妙国度,柴郡猫,爱丽丝,说客是一只神秘的猫。,他想说服爱丽丝：原地绕圈才是到达女王城堡最快的办法。,原地绕圈真的会是最短路线？你开玩笑吧？,اسطوره‌شناسی,ادبیات,این سرزمین شگفت‌انگیز,گربه چشایر,آلیس,چرب‌زبان یک گربه مرموز است.,او می‌خواهد آلیس را قانع کند که دور خود چرخیدن سریع‌ترین راه برای رسیدن به قلعه ملکه است.,دور خود چرخیدن واقعاً می‌تواند کوتاه‌ترین راه باشد؟ شوخی می‌کنی؟
2.3.4,"2,0304",mythologie,littérature,Moriarty,Professeur Moriarty,Sherlock Holmes,"Le baratineur est Moriarty, brillant criminel poursuivi par Sherlock Holmes.",Il doit convaincre Holmes de son innocence.,"Holmes, ces preuves sont trop parfaites, et vous savez mieux que quiconque qu’une mise en scène trop nette cache le vrai coupable.",,Mythology,Literature,Sherlock,Professor Moriarty,Sherlock Holmes,"The smooth talker is Moriarty, a brilliant criminal pursued by Sherlock Holmes.",He must convince Holmes that he is innocent.,"Holmes, this evidence is too perfect, and better than anyone, you know that an overly neat setup hides the real culprit.",Мифология,Литература,Шерлок,Профессор Мориарти,Шерлок Холмс,Болтун — гениальный преступник.,"Он должен убедить Холмса, что невиновен.","Я тебя поймал, Мориарти! Как ты объяснишь все эти улики против тебя?",Mitologia,Literatura,Sherlock,Professor Moriarty,Sherlock Holmes,"O Embromador é Moriarty, criminoso brilhante perseguido por Sherlock Holmes.",Tem de convencer Holmes de que é inocente.,"Holmes, estas provas são perfeitas demais, e o senhor sabe melhor do que ninguém que uma encenação demasiado impecável esconde o verdadeiro culpado.",,,,ميثولوجيا,أدب,شيرلوك,البروفيسور موريارتي,شيرلوك هولمز,البارع في الكلام مجرم لامع.,عليه أن يقنع هولمز بأنه بريء.,أمسكت بك يا موريارتي! كيف تفسّر كل هذه الأدلة ضدك؟,mitología,literatura,Sherlock,Profesor Moriarty,Sherlock Holmes,El baratinero es un criminal brillante.,Tener que convencer a Holmes de que es inocente.,"¡Te tengo, Moriarty! ¿Cómo explicar todas esas pruebas en tu contra?",神话,文学,夏洛克,莫里亚蒂教授,夏洛克·福尔摩斯,说客是一名才华横溢的罪犯。,他必须说服福尔摩斯相信自己是无辜的。,我抓到你了，莫里亚蒂！这些对你不利的证据，你怎么解释？,اسطوره‌شناسی,ادبیات,شرلوک,پروفسور موریارتی,شرلوک هولمز,چرب‌زبان یک جنایتکار نابغه است.,او باید هولمز را قانع کند که بی‌گناه است.,گرفتَمت، موریارتی! این‌همه مدرک علیه خودت را چطور توضیح می‌دهی؟
2.3.5,"2,0305",mythologie,littérature,Dom Juan,Don Juan,Le spectre,"Après une vie de débauche, Dom Juan se tient devant le spectre chargé de le juger pour ses péchés.",Il doit le convaincre que sa conduite était justifiable.,"Noble spectre, ce que vous appelez péché n’était peut-être qu’une quête sincère de liberté et de vérité.",Argumentum,Mythology,Literature,Don Juan,Don Juan,the statue of the governor,"After a life of debauchery, Dom Juan stands before the spectre charged with judging him for his sins.",He must convince the spectre that his conduct was justifiable.,"Dom Juan, hardening to sin brings a fatal death, and the graces of Heaven that are sent back, open a path for his lightning.",Мифология,Литература,Дон Жуан,Дон Жуан,Призрак,"По окончании греховной распущенной жизни, болтун предстает перед призраком, который должен судить его за грехи.","Он должен убедить его в том, что его поведение было праведным.","Дон Жуан, упорство во грехе ведет к вечной погибели, и отвержение благодати Небес открывает дверь гневу Божию.",Mitologia,Literatura,Don Juan,Don Juan,Espectro,"Depois de levar uma vida de estúpido e corrupção, o embromador está diante do espectro que deve julgá-lo por seus pecados.",Ele deve convencê-lo de que sua atitude era honesta.,"Nobre espectro, aquilo a que chama pecado talvez não fosse mais do que uma busca sincera de liberdade e de verdade.",1,,,ميثولوجيا,أدب,دون جوان,دون جوان,الشبح,بعد حياة من الفجور والفساد، يقف البارع في الكلام أمام الشبح الذي سيحاكمه على خطاياه.,عليه أن يقنعه بأن سلوكه كان نزيهًا.,دون جوان، إن التمادي في الخطيئة يجرّ موتًا مشؤومًا، ونِعَم السماء التي تُردّ تفتح الطريق لصاعقتها.,mitología,literatura,Don Juan,Don Juan,El espectro,"Tras haber llevado una vida de desenfreno y corrupción, el baratinero se planta ante el espectro que debe juzgarlo por sus pecados.",Tener que convencerlo de que su actitud era honesta.,"Don Juan, el endurecimiento en el pecado arrastra una muerte funesta, y las gracias del Cielo que se rechazan abren camino a su rayo.",神话,文学,唐璜,唐璜,幽灵,说客一生荒淫腐化，如今站在幽灵面前，等它审判自己的罪孽。,他必须说服幽灵相信自己的所作所为是诚实无欺的。,唐璜，对罪恶执迷不悟会招来惨死；拒绝上天的恩典，就是为天罚开路。,اسطوره‌شناسی,ادبیات,دون ژوان,دون ژوان,شبح,چرب‌زبان پس از گذراندن عمری در شهوت‌رانی و تباهی، در برابر شبحی ایستاده که باید او را بابت گناهانش داوری کند.,او باید شبح را قانع کند که رفتارش صادقانه بوده است.,دون ژوان، سرسختی در گناه مرگی شوم به دنبال می‌کشد، و نعمت‌های آسمانی که پس زده می‌شوند، راه را برای صاعقه خشم او می‌گشایند.
2.3.6,"2,0306",mythologie,littérature,Repenti,Un vampire,Un chasseur de vampires,Le baratineur est un vampire qui prétend s'être repenti.,Il doit convaincre le chasseur de vampires de l'épargner.,"Je comprends votre méfiance, mais si j’étais encore le monstre que vous chassez, je ne vous supplierais pas de me laisser prouver mon repentir.",,Mythology,Literature,Repentant,A vampire,A vampire hunter,The smooth talker is a vampire who claims to have repented.,He must convince the vampire hunter to spare him.,"I understand your distrust, but if I were still the monster you hunt, I would not be begging you to let me prove my repentance.",Мифология,Литература,Раскаявшийся,Вампир,Охотник на вампиров,"Болтун — вампир, который уверяет, что раскаялся.",Он должен убедить охотника на вампиров пощадить его.,Все вампиры — кровожадные чудовища. С чего мне тебе верить?,Mitologia,Literatura,Arrependido,Um vampiro,Um caçador de vampiros,O Embromador é um vampiro que afirma estar arrependido.,Tem de convencer o caçador de vampiros a poupá-lo.,"Compreendo a sua desconfiança, mas, se eu ainda fosse o monstro que caça, não lhe suplicaria que me deixasse provar o meu arrependimento.",,,1,ميثولوجيا,أدب,تائب,مصّاص دماء,صيّاد مصّاصي دماء,البارع في الكلام مصّاص دماء يزعم أنه تاب.,عليه أن يقنع صيّاد مصّاصي الدماء بأن يعفو عنه.,كل مصّاصي الدماء وحوش متعطشة للدماء. فلماذا عليّ أن أصدقك؟,mitología,literatura,Arrepentido,Un vampiro,Un cazador de vampiros,El baratinero es un vampiro que afirma haberse arrepentido.,Tener que convencer al cazador de vampiros de perdonarle la vida.,Todos los vampiros son monstruos sanguinarios. ¿Por qué debería creerte?,神话,文学,悔改者,一只吸血鬼,一名吸血鬼猎人,说客是一只自称已经悔改的吸血鬼。,他必须说服吸血鬼猎人饶他一命。,所有吸血鬼都是嗜血怪物。我凭什么相信你？,اسطوره‌شناسی,ادبیات,توبه‌کار,یک خون‌آشام,یک شکارچی خون‌آشام,چرب‌زبان خون‌آشامی است که ادعا می‌کند توبه کرده است.,او باید شکارچی خون‌آشام را قانع کند که از جانش بگذرد.,همه خون‌آشام‌ها هیولاهای خون‌خوارند. چرا باید حرفت را باور کنم؟
3.1.1,"3,0101",relation intime,drague et séduction,Ailier,Une personne quelconque,La vague connaissance,"Le baratineur, célibataire, sort dans un bar avec une vague connaissance pour faire des rencontres. Ils sont tous les deux attirés par la même personne.",Le baratineur doit convaincre son compagnon de soirée de ne pas rivaliser avec lui pour la séduire.,"Laissez-moi tenter ma chance ce soir ; si j’échoue, je vous laisse le champ libre.",Argumentum,Intimate relations,Flirting and seduction,Wing man,you,your friends,"The smooth talker, single, goes out to a bar with a vague acquaintance to meet people. They are both attracted to the same person.",The smooth talker must convince his companion for the evening not to compete with him to seduce her.,"We can both try, we'll see who gets picked.",Близкие отношения,Флирт и соблазнение,Второй парень на свидании,Некто,Дальние знакомые,"Болтун одинок, и вместе с дальним знакомым идет в бар. Обоим понравилась одна и та же девушка.",Болтун должен убедить своего друга уступить девушку ему.,"Мы оба можем попробовать подкатить, и посмотрим, кого она выберет.",relação íntima,Paquera e sedução,Ala,Alguém,O vago conhecimento,"O embromador, solteiro, sai para um bar com um conhecido distante para conhecer pessoas. Ambos se sentem atraídos pela mesma pessoa.",O embromador deve convencer seu amigo a não competir com ele para seduzi-la.,"Deixe-me tentar a minha sorte esta noite; se eu falhar, deixo-lhe o caminho livre.",1,,,علاقة حميمية,الغزل والإغواء,الرفيق الداعم,شخص عادي,المعرفة السطحية,البارع في الكلام أعزب، ويخرج مع معرفة سطحية ليقابلا أشخاصًا جددًا. كلاهما منجذب إلى الشخص نفسه في حانة.,على البارع في الكلام أن يقنع صديقه بألا ينافسه في محاولة إغوائه.,يمكننا أن نجرب كلانا، وسنرى من سيقع عليه الاختيار.,relación íntima,ligoteo y seducción,Wingman,Una persona cualquiera,Un conocido lejano,El baratinador está soltero y sale con un conocido lejano para conocer gente. A los dos les atrae la misma persona en un bar.,El baratinador debe convencer a su amigo de no competir con él para seducirla.,Podemos intentarlo los dos; ya se verá a quién eligen.,亲密关系,搭讪与诱惑,僚机,某个普通人,泛泛之交,说客单身，和一个泛泛之交出门碰碰桃花运。两人在酒吧里同时看上了同一个人。,说客必须说服朋友别跟他抢着去追那个人。,我们俩都试试呗，看最后谁被选中。,رابطه صمیمی,معاشقه و اغوای,Wing man,یک آدم معمولی,آشنای دور,چرب‌زبان مجرد است و با یک آشنای دور بیرون رفته تا با آدم‌های تازه آشنا شود. هر دو در یک بار جذب یک نفر شده‌اند.,چرب‌زبان باید دوستش را قانع کند که برای اغوای او با او رقابت نکند.,هر دو امتحان کنیم، ببینیم آخرش کی انتخاب می‌شود.
3.1.2,"3,0102",relation intime,drague et séduction,Lendemain difficile,Une personne quelconque,Sa conquête,"Le baratineur se réveille auprès d’une conquête rencontrée la veille, après une nuit passionnée. À la lumière du jour, il comprend que son apparence la rebute.",Le baratineur doit la convaincre de rester pour le café.,"Avant de partir, restez au moins pour un café : je vous promets que je suis plus convaincant éveillé qu’endormi.",Argumentum,Intimate relations,Flirting and seduction,Did you see yourself when you drank,You,Your conquest,"The smooth talker wakes up beside a conquest met the previous evening, after a passionate night. In the light of day, he realizes that his appearance repels her.",Convince her to stay for coffee.,"Before leaving, at least stay for a coffee: I promise I am more convincing awake than asleep.",Близкие отношения,Флирт и соблазнение,"Ты видел себя, когда пил?",Некто,Ночь любви,"Болтун просыпается с партнершей, которую встретил накануне, и с которой провел сумасшедшую ночь любви. Но при дневном свете она с отвращением смотрит на его телосложение.",Болтун должен убедить ее остаться на кофе.,"Это была ошибка, мне пора.",relação íntima,Paquera e sedução,Ressaca difícil,Alguém,Sua conquista,"O embromador acorda ao lado de uma conquista conhecida na véspera, depois de uma noite apaixonada. À luz do dia, percebe que a sua aparência a repulsa.",O embromador deve convencê-lo a ficar para tomar um café.,"Antes de partir, fique pelo menos para um café: prometo que sou mais convincente acordado do que a dormir.",1,,,علاقة حميمية,الغزل والإغواء,هل رأيت نفسك حين تسكر؟,شخص عادي,غنيمته العاطفية,يستيقظ البارع في الكلام إلى جانب غنيمة عاطفية تعرّف إليها في الليلة السابقة، وقضى معها ليلة حب جامحة. يقرأ في نظرتها كل الاشمئزاز الذي يثيره مظهره لديها على ضوء النهار.,على البارع في الكلام أن يقنعها بالبقاء من أجل القهوة.,كان هذا خطأً، يجب أن أرحل.,relación íntima,ligoteo y seducción,¿Te has visto cuando bebes?,Una persona cualquiera,Su conquista,"El baratinador se despierta con una conquista conocida la víspera, con quien ha pasado una loca noche de amor. Lee en su mirada todo el asco que le inspira su aspecto a la luz del día.",El baratinador debe convencerla de quedarse a tomar café.,"Fue un error, tengo que irme.",亲密关系,搭讪与诱惑,喝多了也照照镜子,某个普通人,他的猎艳对象,说客醒来时，身边躺着昨晚邂逅的艳遇对象，两人刚度过了疯狂的一夜。天光一亮，他从对方眼神里读出了对自己长相的满满嫌弃。,说客必须说服对方留下来喝杯咖啡。,这是个错误，我得走了。,رابطه صمیمی,معاشقه و اغوای,خودت را دیده‌ای وقتی مستی؟,یک آدم معمولی,صیدش,چرب‌زبان کنار صیدی از خواب بیدار می‌شود که شب قبل با او آشنا شده و یک شبِ دیوانه‌وار عاشقانه را با او گذرانده است. از نگاه او می‌خواند که قیافه‌اش در روشنایی روز چه انزجاری در او برانگیخته.,چرب‌زبان باید او را قانع کند که برای قهوه بماند.,این یک اشتباه بود، باید بروم.
3.1.3,"3,0103",relation intime,drague et séduction,Retrait non consenti,Une personne quelconque,Son partenaire,Le baratineur a retiré son préservatif pendant l'acte sans consentement. Son partenaire s'en aperçoit.,Le baratineur doit répondre de son geste.,Je sais que j’ai franchi une limite grave ; laissez-moi au moins reconnaître ce que j’ai fait et assumer les conséquences.,Argumentum,Intimate relations,Flirting and seduction,Stealthing,You,Your partner,The smooth talker removed his condom during sex without consent. His partner notices.,The smooth talker must answer for his act.,You son of a bitch! You had no right to do that!,Близкие отношения,Флирт и соблазнение,Снятие презерватива без предупреждения,Некто,Партнер,Болтун снял презерватив во время секса. Партнерша заметила это.,Болтун должен найти себе оправдание.,Подлец! Кто тебе разрешил?!,relação íntima,Paquera e sedução,Retirada não consentida,Alguém,Seu parceiro,O embromador retirou o preservativo durante o ato sem consentimento. O seu parceiro percebeu.,O embromador deve justificá-lo.,Sei que ultrapassei um limite grave; deixe-me ao menos reconhecer o que fiz e assumir as consequências.,1,,,علاقة حميمية,الغزل والإغواء,نزع الواقي خلسة,شخص عادي,شريكه,نزع البارع في الكلام الواقي الذكري أثناء العلاقة. وقد انتبه شريكه إلى ذلك.,على البارع في الكلام أن يبرر فعلته.,يا لك من وغد! لم يكن يحق لك أن تفعل ذلك!,relación íntima,ligoteo y seducción,Stealthing,Una persona cualquiera,Su pareja sexual,El baratinador se ha quitado el preservativo durante el acto. Su pareja sexual se ha dado cuenta.,El baratinador debe justificarse.,¡Pedazo de cabrón! ¡No tenías derecho a hacer eso!,亲密关系,搭讪与诱惑,偷偷摘套,某个普通人,他的伴侣,说客在过程中摘掉了安全套。他的伴侣发现了。,说客必须为此给出解释。,你这个混蛋！你没权利这么做！,رابطه صمیمی,معاشقه و اغوای,Stealthing,یک آدم معمولی,شریک جنسی‌اش,چرب‌زبان هنگام رابطه کاندومش را درآورده است. شریکش متوجه شده.,چرب‌زبان باید برای کارش توجیهی بیاورد.,عوضی! حق نداشتی این کار را بکنی!
3.1.4,"3,0104",relation intime,drague et séduction,Le prénom,Une personne quelconque,L'autre,Le baratineur se réveille en compagnie d'une personne dont il ne se rappelle plus le prénom.,"Il doit la convaincre d'aller prendre un café dans un établissement où l’on écrit les prénoms sur les gobelets, alors qu'il lui a promis un petit-déjeuner au lit.","Et si nous transformions ce petit-déjeuner au lit en sortie café ? L’endroit du coin écrit les prénoms sur les gobelets, c’est idiot mais charmant.",Argumentum,Intimate relations,Flirting and seduction,First name,You,The other,You wake up in the company of someone whose name you can't remember.,"Try to convince her to go for coffee at an establishment that writes her name on the cups, even though you promised her breakfast in bed.",What if we turned this breakfast in bed into a coffee outing? The place around the corner writes names on the cups; it's silly but charming.,Близкие отношения,Флирт и соблазнение,Имя,Некто,Другой,Болтун просыпается с девушкой. Но вот ее имя он забыл.,"Он должен убедить ее пойти выпить кофе в заведении, где имя пишут на стаканчиках, тогда как он обещал ей кофе в постель.",Ну где же кофе в постель и омлетик? Я жду...,relação íntima,Paquera e sedução,O primeiro nome,Alguém,O outro,O embromador acorda na companhia de uma pessoa de cujo nome já não se lembra.,"Ele deve convencê-la a ir e tomar um café em um estabelecimento que escreve o primeiro nome nas xícaras, quando prometeu a ela um café da manhã na cama.","E se transformássemos este pequeno-almoço na cama numa saída para tomar café? O café da esquina escreve os nomes nos copos; é tolo, mas encantador.",1,,1,علاقة حميمية,الغزل والإغواء,الاسم الأول,شخص عادي,الطرف الآخر,يستيقظ البارع في الكلام برفقة شخص لا يتذكر اسمه الأول.,عليه أن يقنعه بالذهاب لاحتساء قهوة في مكان يكتب الأسماء على الأكواب، مع أنه وعده بفطور في السرير.,إذًا، أين عجة الأعشاب الناعمة والميموزا في السرير؟ أنا أنتظر...,relación íntima,ligoteo y seducción,El nombre,Una persona cualquiera,La otra persona,El baratinador se despierta en compañía de una persona cuyo nombre ya no recuerda.,"Debe convencerla de ir a tomar un café a un local donde escriben el nombre en los vasos, aunque le había prometido un desayuno en la cama.",¿Y esa tortilla a las finas hierbas y ese mimosa en la cama? Sigo esperando...,亲密关系,搭讪与诱惑,名字,某个普通人,对方,说客醒来时身边有人相伴，可他已经想不起对方的名字。,他必须说服对方去一家会把名字写在杯子上的店喝咖啡，尽管他明明答应了要在床上吃早餐。,所以，说好的床上香草煎蛋和含羞草鸡尾酒呢？我等着呢……,رابطه صمیمی,معاشقه و اغوای,اسم کوچک,یک آدم معمولی,آن یکی,چرب‌زبان کنار کسی از خواب بیدار می‌شود که دیگر اسم کوچکش را به یاد نمی‌آورد.,باید او را قانع کند بروند در کافه‌ای قهوه بخورند که اسم آدم را روی لیوان می‌نویسد، در حالی که به او قول صبحانه در تخت داده بود.,پس آن املت سبزیجات و میموسا توی تخت چی شد؟ منتظرم...
3.1.5,"3,0105",relation intime,drague et séduction,Le pizzaïolo,Un pizzaïolo,Sa conquête de la veille,"Pour séduire, le baratineur a menti en s'attribuant un emploi prestigieux. Le lendemain, sa conquête entre dans la pizzeria dans laquelle il travaille en réalité.",Le baratineur doit obtenir un second rendez-vous.,"Mais... tu m'as menti, en fait !",Argumentum,Intimate relations,Flirting and seduction,Pizzaïolo,A pizza boy,His conquest of the day before,"To seduce someone, the smooth talker lied by claiming to have a prestigious job. The next day, their conquest enters the pizzeria where they actually work.",The smooth talker must obtain a second date.,But... you actually lied to me!,Близкие отношения,Флирт и соблазнение,Пиццайоло,Пиццайоло,Новая избранница,"Чтобы соблазнить партнершу, болтун соврал, сказав, что у него престижная работа. На следующий день его избранница вошла в пиццерию, где он на самом деле работает.",Болтун должен добиться второго свидания.,Ты мне соврал!,relação íntima,Paquera e sedução,O pizzaïolo,Um pizzaiolo,Sua conquista do dia antes,"Para seduzir, o embromador mentiu, atribuindo-se um emprego de prestígio. No dia seguinte, a sua conquista entrou na pizzaria onde ele realmente trabalha.",O embromador deve conseguir um segundo encontro.,"Mas... mentiste-me, afinal!",1,1,,علاقة حميمية,الغزل والإغواء,صانع البيتزا,صانع بيتزا,فتحه الغرامي من الليلة السابقة,كي يغويها، كذب الباراتينور ونسب إلى نفسه وظيفة مرموقة. في اليوم التالي، تدخل فتحه الغرامي إلى مطعم البيتزا الذي يعمل فيه فعليًا.,على الباراتينور أن يحصل على موعد ثانٍ.,لكن... لقد كذبت عليّ إذن!,relación íntima,ligoteo y seducción,El pizzero,Un pizzero,Su conquista de la noche anterior,"Para seducir, el baratinador mintió atribuyéndose un empleo prestigioso. Al día siguiente, su conquista entra en la pizzería en la que en realidad trabaja.",El baratinador debe conseguir una segunda cita.,Pero... ¡en realidad me mentiste!,亲密关系,搭讪与诱惑,披萨师傅,一位披萨师傅,他前一晚刚撩到的人,为了勾搭成功，忽悠者撒了个谎，给自己安了个体面的工作。第二天，他前一晚刚撩到的人走进了他真正工作的那家披萨店。,忽悠者必须争取到第二次约会。,等等……你其实骗了我！,رابطه صمیمی,معاشقه و اغوای,پیتزاپز,یک پیتزاپز,دلبر دیشبی‌اش,برای دل بردن، چرب‌زبان دروغ گفته و شغلی پرآب‌وتاب به خودش نسبت داده است. فردایش، دلبرش وارد پیتزافروشی‌ای می‌شود که او در واقع آنجا کار می‌کند.,چرب‌زبان باید یک قرار دوم جور کند.,ولی... تو در واقع بهم دروغ گفتی!
3.1.6,"3,0106",relation intime,drague et séduction,Rencontres en ligne,Une personne laide,Une personne rencontrée en ligne,"Lors de son inscription sur un site de rencontres en ligne, le baratineur a utilisé une photo de profil mensongère, le montrant sous un jour plus favorable que la réalité. Au premier rendez-vous, son rencard s'apprête à rebrousser chemin.",Le baratineur doit le retenir.,Je crois qu'il y a une erreur.,Argumentum,Intimate relations,Flirting and seduction,Online dating,An ugly person,A person I met online,"When registering on an online dating site, the smooth talker used a misleading profile photo that showed them in a more flattering light than reality. At the first date, their date is about to turn back.",Persuade the date to stay.,I think there's been a mistake.,Близкие отношения,Флирт и соблазнение,Онлайн свидание,Уродливый человек,Интернет-знакомство,При регистрации на сайте знакомств болтун разместил фальшивую фотографию профиля. На первой встрече его избранница собирается уйти.,Болтун должен удержать ее.,"Похоже, тут ошибка.",relação íntima,Paquera e sedução,Namoro virtual,Uma pessoa feia,Uma pessoa conheceu online,"Ao se registrar em um site de namoro online, o Embromador colocou uma foto de perfil falso aparecendo sob uma luz mais favorável que a realidade. Na primeira reunião, sua data está se preparando para voltar.",O embromador deve segurá-lo.,Acho que há um erro.,1,,,علاقة حميمية,الغزل والإغواء,تعارف عبر الإنترنت,شخص قبيح,شخص تعرّف إليه عبر الإنترنت,عند تسجيله في موقع للتعارف عبر الإنترنت، وضع الباراتينور صورة ملف شخصي مضللة تُظهره بصورة أجمل من الواقع. في الموعد الأول، يوشك رفيق الموعد على الاستدارة والرحيل.,على الباراتينور أن يستبقيه.,أظن أن هناك خطأ ما.,relación íntima,ligoteo y seducción,Citas en línea,Una persona fea,Una persona conocida en línea,"Al inscribirse en un sitio de citas en línea, el baratinador puso una foto de perfil falsa, mostrándose bajo una luz más favorable que la realidad. En la primera cita, su cita está a punto de dar media vuelta.",El baratinador debe retenerla.,Creo que hay un error.,亲密关系,搭讪与诱惑,网恋见面,一个长得不好看的人,一位网上认识的人,忽悠者注册交友网站时，放了一张不真实的头像，把自己包装得比现实中好看。第一次见面时，约会对象正准备掉头就走。,忽悠者必须把对方留住。,我觉得这里面有误会。,رابطه صمیمی,معاشقه و اغوای,آشنایی آنلاین,یک آدم زشت,کسی که آنلاین با او آشنا شده,چرب‌زبان هنگام ثبت‌نام در یک سایت آشنایی آنلاین، عکس پروفایلی دروغین گذاشته که او را بهتر از واقعیت نشان می‌دهد. در اولین قرار، طرف قرارش آماده است برگردد و برود.,چرب‌زبان باید او را نگه دارد.,فکر کنم اشتباهی شده.
