source_dp,source_dotted,source_label,kind,verb_or_field,target,target_label,confidence,rationale,warns
"1,11121",1.1.1.1.2.1,Argument de la science lacunaire,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:closeMatch,
"1,1113",1.1.1.1.3,Argument d'incrédulité,crossLink,Leverages,1.1.1.1,Appel à l'ignorance,0.88,It is a specific misuse of appeal to ignorance: treating one's lack of understanding as grounds for rejection.,
"1,1113",1.1.1.1.3,Argument d'incrédulité,crossLink,Mirrors,1.1.1.1.2,Appel au mystère,0.72,"Both appeal to non-understanding, but the mystery version frames the topic as inherently unexplained rather than merely personally incomprehensible.",
"1,1113",1.1.1.1.3,Argument d'incrédulité,crossLink,Mirrors,1.1.1.1.5,Appel à la complexité,0.78,"Both misuse perceived complexity, but the complexity appeal generalizes personal difficulty into broader speculative license.",
"1,1113",1.1.1.1.3,Argument d'incrédulité,crossLink,Allows,1.1.1.1.3.1,Sophisme théologique,0.7,Rejecting or suspending natural explanations because they are not understood can open the way to attributing them to divine intervention.,
"1,1113",1.1.1.1.3,Argument d'incrédulité,AIF_skosDirectRef,,Ignorance_Inference,,,skos:broadMatch,
"1,1113",1.1.1.1.3,Argument d'incrédulité,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:broadMatch,
"1,11131",1.1.1.1.3.1,Sophisme théologique,crossLink,Leverages,1.1.1.1.3,Argument d'incrédulité,0.9,The theological fallacy is a specific form of argument from incredulity: incomprehensibility is used to reject natural explanation and infer divine intervention.,
"1,11131",1.1.1.1.3.1,Sophisme théologique,crossLink,IsRelatedTo,1.1.1.1.3.2,Argument de l'étonnement,0.55,"Both appeal to surprise or wonder, but the source infers a divine cause rather than merely rejecting a surprising proposition.",
"1,11131",1.1.1.1.3.1,Sophisme théologique,crossLink,IsRelatedTo,1,Insuffisance,0.6,The move from 'I cannot understand it' to 'God did it' is evidentially insufficient to establish the conclusion.,
"1,11131",1.1.1.1.3.1,Sophisme théologique,AIF_skosDirectRef,,Ignorance_Inference,,,skos:closeMatch,
"1,11131",1.1.1.1.3.1,Sophisme théologique,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:closeMatch,
"1,11132",1.1.1.1.3.2,Argument de l'étonnement,crossLink,Leverages,1.1.1.1.3,Argument d'incrédulité,0.95,"L’argument de l’étonnement est une forme spécifique d’argument d’incrédulité, fondée sur le caractère surprenant plutôt qu’incompréhensible de la proposition.",
"1,11132",1.1.1.1.3.2,Argument de l'étonnement,crossLink,Mirrors,1.1.1.1.3.1,Sophisme théologique,0.55,"Comme le sophisme théologique, il transforme une limite subjective de compréhension ou d’intuition en conclusion injustifiée sur le réel.",
"1,11132",1.1.1.1.3.2,Argument de l'étonnement,AIF_skosDirectRef,,Ignorance_Inference,,,skos:closeMatch,
"1,11132",1.1.1.1.3.2,Argument de l'étonnement,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:closeMatch,
"1,1114",1.1.1.1.4,Preuve par absence de réfutation,crossLink,IsRelatedTo,1.1.1.1,Appel à l'ignorance,0.95,La preuve par absence de réfutation est un cas particulier d'appel à l'ignorance: conclure vrai parce que non prouvé faux.,
"1,1114",1.1.1.1.4,Preuve par absence de réfutation,crossLink,IsRelatedTo,1,Insuffisance,0.7,L'absence de réfutation est une base probatoire insuffisante pour établir positivement une théorie.,
"1,1114",1.1.1.1.4,Preuve par absence de réfutation,AIF_skosDirectRef,,Ignorance_Inference,,,skos:closeMatch,
"1,1114",1.1.1.1.4,Preuve par absence de réfutation,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:closeMatch,
"1,1115",1.1.1.1.5,Appel à la complexité,crossLink,Leverages,1.1.1.1,Appel à l'ignorance,0.86,It relies on ignorance or non-understanding as if it licensed a substantive conclusion or speculation.,
"1,1115",1.1.1.1.5,Appel à la complexité,crossLink,Mirrors,1.1.1.1.3,Argument d'incrédulité,0.78,Both move from incomprehensibility to an epistemic dismissal; the source adds an unwarranted universalization from oneself to everyone.,
"1,1115",1.1.1.1.5,Appel à la complexité,crossLink,Leverages,1.1.1.1.2,Appel au mystère,0.72,Calling an idea too complex for anyone functions similarly to making it effectively mysterious or beyond explanation.,
"1,1115",1.1.1.1.5,Appel à la complexité,AIF_skosDirectRef,,Ignorance_Inference,,,skos:broadMatch,
"1,1115",1.1.1.1.5,Appel à la complexité,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:broadMatch,
"1,1116",1.1.1.1.6,Argument d'omniscience,crossLink,Leverages,1.1.1.1.6.3,Substitut de preuve,0.82,A claim of omniscient expertise can function as a substitute for actually providing evidence.,bad_map:skos:relatedMatch
"1,1116",1.1.1.1.6,Argument d'omniscience,crossLink,Allows,1.1.1.1.6.1,Réfutation lapidaire,0.72,"If the speaker presents themselves as unquestionable, this creates an opening for dismissing objections without reasons.",bad_map:skos:relatedMatch
"1,1116",1.1.1.1.6,Argument d'omniscience,crossLink,Allows,1.1.1.1.6.2,Sophisme de Sherlock Holmes,0.66,"The Sherlock Holmes move often depends on assuming exhaustive knowledge of all alternatives, which an omniscience claim can license.",bad_map:skos:relatedMatch
"1,1116",1.1.1.1.6,Argument d'omniscience,AIF_skosDirectRef,,ExpertOpinion_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"1,1116",1.1.1.1.6,Argument d'omniscience,AIF_skosDirectRef,,PositionToKnow_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"1,1116",1.1.1.1.6,Argument d'omniscience,AIF_skosExceptionRef,,ExpertiseInconsistency_Conflict,,,skos:relatedMatch,bad_map:skos:relatedMatch
"1,1116",1.1.1.1.6,Argument d'omniscience,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:relatedMatch,bad_map:skos:relatedMatch
"1,11161",1.1.1.1.6.1,Réfutation lapidaire,crossLink,Leverages,1.1.1.1.6,Argument d'omniscience,0.72,A summary dismissal often rests on an implicit posture of knowing enough to reject the claim without argument.,
"1,11161",1.1.1.1.6.1,Réfutation lapidaire,crossLink,Inverts,1.1.1.1.6.3,Substitut de preuve,0.66,"Both lack real evidence, but the substitute of proof feigns support for a claim while the lapidary refutation feigns sufficient grounds for rejection.",
"1,11161",1.1.1.1.6.1,Réfutation lapidaire,crossLink,IsRelatedTo,1,Insuffisance,0.82,Rejecting a proposition without explanation or evidence is a clear case of argumentative insufficiency.,
"1,11161",1.1.1.1.6.1,Réfutation lapidaire,AIF_skosDirectRef,,Logical_Conflict,,,skos:broadMatch,
"1,11162",1.1.1.1.6.2,Sophisme de Sherlock Holmes,crossLink,Leverages,1.1.1.1.6,Argument d'omniscience,0.86,"The fallacy depends on an implicit claim to know the full space of possible explanations, which is the mechanism of the argument of omniscience.",
"1,11162",1.1.1.1.6.2,Sophisme de Sherlock Holmes,crossLink,IsRelatedTo,1,Insuffisance,0.72,The elimination of some alternatives is insufficient to prove the remaining explanation unless the set of alternatives is exhaustive.,
"1,11162",1.1.1.1.6.2,Sophisme de Sherlock Holmes,crossLink,IsRelatedTo,1.1.1.1.6.3,Substitut de preuve,0.58,Treating a merely residual explanation as proven can function as a substitute for positive evidence.,
"1,11162",1.1.1.1.6.2,Sophisme de Sherlock Holmes,AIF_skosDirectRef,,Ignorance_Inference,,,skos:closeMatch,
"1,11162",1.1.1.1.6.2,Sophisme de Sherlock Holmes,AIF_skosDirectRef,,Dilemma_Inference,,,skos:closeMatch,
"1,11162",1.1.1.1.6.2,Sophisme de Sherlock Holmes,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:closeMatch,
"1,11163",1.1.1.1.6.3,Substitut de preuve,crossLink,IsRelatedTo,1,Insuffisance,0.86,A purported proof with no actual evidence is a clear instance of argumentative insufficiency.,
"1,11163",1.1.1.1.6.3,Substitut de preuve,crossLink,Mirrors,1.1.1.1.6.1,Réfutation lapidaire,0.72,"Both replace justification with bare assertion: one rejects without proof, the other claims to prove without proof.",
"1,11163",1.1.1.1.6.3,Substitut de preuve,crossLink,Leverages,1.1.1.1.6,Argument d'omniscience,0.62,Pseudo-evidence often relies on omniscient-sounding claims such as 'everyone knows' rather than arguable support.,
"1,11163",1.1.1.1.6.3,Substitut de preuve,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"1,11163",1.1.1.1.6.3,Substitut de preuve,AIF_skosExceptionRef,,WeakestLink_Conflict,,,skos:broadMatch,
"1,112",1.1.1.2,Appel à l'urgence pragmatique,crossLink,IsRelatedTo,1.1.1.2.1,Syllogisme du politicien,0.95,"The politician's syllogism is a specific form of pragmatic urgency: because something must be done, the proposed action is treated as justified.",
"1,112",1.1.1.2,Appel à l'urgence pragmatique,crossLink,IsRelatedTo,1,Insuffisance,0.78,The fallacy rests on insufficient support: urgency does not by itself establish that the proposed action is appropriate.,
"1,112",1.1.1.2,Appel à l'urgence pragmatique,crossLink,IsRelatedTo,1.1.1,Argument vide,0.68,The appeal supplies a rhetorically forceful but evidentially empty reason for the specific measure proposed.,
"1,112",1.1.1.2,Appel à l'urgence pragmatique,AIF_skosDirectRef,,PracticalReasoning_Inference,,,skos:broadMatch,
"1,112",1.1.1.2,Appel à l'urgence pragmatique,AIF_skosExceptionRef,,AlternativeMeans_Conflict,,,skos:broadMatch,
"1,112",1.1.1.2,Appel à l'urgence pragmatique,AIF_skosExceptionRef,,RequiredSteps_Conflict,,,skos:broadMatch,
"1,1121",1.1.1.2.1,Syllogisme du politicien,crossLink,Leverages,1.1.1.2,Appel à l'urgence pragmatique,0.92,"The fallacy specifically exploits the broader appeal to pragmatic urgency: action is urged because something must be done, not because this action is justified.",
"1,1121",1.1.1.2.1,Syllogisme du politicien,crossLink,IsRelatedTo,1,Insuffisance,0.78,"It is a case of insufficient support, since the premise that change is needed does not establish that the proposed change will help.",
"1,1121",1.1.1.2.1,Syllogisme du politicien,AIF_skosDirectRef,,PracticalReasoning_Inference,,,skos:closeMatch,
"1,1121",1.1.1.2.1,Syllogisme du politicien,AIF_skosExceptionRef,,AlternativeMeans_Conflict,,,skos:closeMatch,
"1,113",1.1.1.3,Acte de foi,crossLink,Leverages,1.1.1,Argument vide,0.82,An act of faith is a paradigmatic empty argument: the assertion is offered without supporting reasons.,
"1,113",1.1.1.3,Acte de foi,crossLink,Allows,1.1.1.3.1,Appel au ciel,0.68,Demanding acceptance without evidence creates the opening exploited by appeals that substitute divine will for reasons.,
"1,113",1.1.1.3,Acte de foi,crossLink,IsRelatedTo,1.1.1.1,Appel à l'ignorance,0.55,"Both involve insufficient evidence, but appeal to ignorance offers a specific pseudo-reason whereas act of faith offers none.",
"1,113",1.1.1.3,Acte de foi,AIF_skosExceptionRef,,WeakestLink_Conflict,,,skos:broadMatch,
"1,1131",1.1.1.3.1,Appel au ciel,crossLink,Leverages,1.1.1.3,Acte de foi,0.92,It is a specific act of faith: acceptance is demanded on divine will rather than on reasons or evidence.,
"1,1131",1.1.1.3.1,Appel au ciel,crossLink,IsRelatedTo,2,Influence,0.58,"Invoking God’s will can function persuasively by exploiting religious deference, but it is not always chiefly manipulative.",
"1,1131",1.1.1.3.1,Appel au ciel,AIF_skosDirectRef,,ExpertOpinion_Inference,,,skos:broadMatch,
"1,1131",1.1.1.3.1,Appel au ciel,AIF_skosDirectRef,,EstablishedRule_Inference,,,skos:broadMatch,
"1,1131",1.1.1.3.1,Appel au ciel,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:broadMatch,
"1,1132",1.1.1.3.2,Superstition,crossLink,Leverages,1.1.1.3.3,Pensée magique,0.86,Superstition typically relies on magical thinking: treating events as mystically or magically connected without adequate evidence.,
"1,1132",1.1.1.3.2,Superstition,crossLink,Leverages,1.1.1.3,Acte de foi,0.72,"Superstitious claims often ask for acceptance without logical explanation or evidential support, fitting an act of faith.",
"1,1132",1.1.1.3.2,Superstition,crossLink,IsRelatedTo,1.1.1.3.1,Appel au ciel,0.55,"Appeal to divine will is a neighboring faith-based pattern, but superstition need not invoke a deity specifically.",
"1,1132",1.1.1.3.2,Superstition,AIF_skosDirectRef,,Sign_Inference,,,skos:broadMatch,
"1,1132",1.1.1.3.2,Superstition,AIF_skosDirectRef,,CauseToEffect_Inference,,,skos:broadMatch,
"1,1132",1.1.1.3.2,Superstition,AIF_skosExceptionRef,,OtherCausalFactorsInvolved_Conflict,,,skos:broadMatch,
"1,1133",1.1.1.3.3,Pensée magique,crossLink,Leverages,1.1.1.3.2,Superstition,0.9,Magical thinking relies on superstition as the mechanism for asserting non-evidential causal links.,
"1,1133",1.1.1.3.3,Pensée magique,crossLink,IsRelatedTo,1.1.1.3,Acte de foi,0.72,"It is a form of accepting a claim without logical or evidential support, especially in causal explanation.",
"1,1133",1.1.1.3.3,Pensée magique,crossLink,IsRelatedTo,4,Erreur de raisonnement,0.62,The alleged causal connection rests on an incoherent or invalid pattern of reasoning rather than evidence.,
"1,1133",1.1.1.3.3,Pensée magique,AIF_skosDirectRef,,CorrelationToCause_Inference,,,skos:closeMatch,
"1,1133",1.1.1.3.3,Pensée magique,AIF_skosExceptionRef,,OtherCausalFactorsInvolved_Conflict,,,skos:closeMatch,
"1,114",1.1.1.4,Pensée clichée,crossLink,Leverages,1.1.1,Argument vide,0.86,La pensée clichée fonctionne comme un argument vide: la formule toute faite remplace une justification probante.,
"1,114",1.1.1.4,Pensée clichée,crossLink,Allows,1.1.1.4.5,Lapalissade,0.72,"Le recours aux clichés ouvre la voie aux lapalissades, où une évidence verbale est présentée comme un soutien argumentatif.",
"1,114",1.1.1.4,Pensée clichée,crossLink,Allows,1.1.1.4.6,Bromure,0.7,"Les clichés peuvent prendre la forme de bromures, c'est-à-dire de platitudes qui anesthésient l'esprit critique.",
"1,114",1.1.1.4,Pensée clichée,crossLink,IsRelatedTo,5,Abus de langage,0.58,La faute repose en partie sur l'usage persuasif de formules linguistiques plutôt que sur des raisons substantielles.,
"1,114",1.1.1.4,Pensée clichée,AIF_skosDirectRef,,PopularOpinion_Inference,,,skos:broadMatch,
"1,1141",1.1.1.4.1,L'exception qui confirme la règle,crossLink,Leverages,1.1.1.4,Pensée clichée,0.95,The move relies on a stock cliché as if it were probative evidence.,
"1,1141",1.1.1.4.1,L'exception qui confirme la règle,crossLink,Mirrors,1.1.1.4.2,Révocation de l'abstrait,0.72,Both use a ready-made formula to dismiss an objection rather than answer its substance.,
"1,1141",1.1.1.4.1,L'exception qui confirme la règle,crossLink,IsRelatedTo,1,Insuffisance,0.67,The cliché is insufficient to neutralize a genuine counterexample to the thesis.,
"1,1141",1.1.1.4.1,L'exception qui confirme la règle,AIF_skosDirectRef,,ExceptionalCase_Inference,,,skos:closeMatch,
"1,1141",1.1.1.4.1,L'exception qui confirme la règle,AIF_skosExceptionRef,,Example_Inference,,,skos:closeMatch,
"1,1141",1.1.1.4.1,L'exception qui confirme la règle,AIF_skosExceptionRef,,ExceptionSimilarityCase_Conflict,,,skos:closeMatch,
"1,1142",1.1.1.4.2,Révocation de l'abstrait,crossLink,Leverages,1.1.1.4,Pensée clichée,0.95,The fallacy is a specific case of using a stock cliché as if it were evidence.,
"1,1142",1.1.1.4.2,Révocation de l'abstrait,crossLink,Leverages,1.1.1.4.6,Bromure,0.72,It often functions as a bromide or platitude about the gap between theory and practice.,
"1,1142",1.1.1.4.2,Révocation de l'abstrait,crossLink,IsRelatedTo,1,Insuffisance,0.67,The cliché supplies an insufficient reason for dismissing the speculative argument.,
"1,1142",1.1.1.4.2,Révocation de l'abstrait,AIF_skosDirectRef,,PopularOpinion_Inference,,,skos:broadMatch,
"1,1143",1.1.1.4.3,Détournement de cliché,crossLink,Leverages,1.1.1.4,Pensée clichée,0.92,Le détournement de cliché exploite précisément une expression toute faite comme support argumentatif.,
"1,1143",1.1.1.4.3,Détournement de cliché,crossLink,IsRelatedTo,1.1.1.4.6,Bromure,0.55,"Comme le bromure, il peut mobiliser une formule familière ou plate pour réduire l'examen critique, sans être nécessairement une simple platitude.",
"1,1143",1.1.1.4.3,Détournement de cliché,crossLink,IsRelatedTo,5,Abus de langage,0.48,"La force persuasive vient en partie d'un artifice linguistique, mais le mécanisme central reste l'appel au cliché.",
"1,1143",1.1.1.4.3,Détournement de cliché,AIF_skosDirectRef,,PopularOpinion_Inference,,,skos:broadMatch,
"1,1143",1.1.1.4.3,Détournement de cliché,AIF_skosDirectRef,,EstablishedRule_Inference,,,skos:broadMatch,
"1,1144",1.1.1.4.4,Preuve par l'absurde fallacieuse,crossLink,Leverages,1.1.1.4,Pensée clichée,0.85,It treats a stock paradoxical turn of thought as if it were probative evidence.,
"1,1144",1.1.1.4.4,Preuve par l'absurde fallacieuse,crossLink,IsRelatedTo,4,Erreur de raisonnement,0.72,The move from apparent absurdity or improbability to belief is an incoherent inference pattern.,
"1,1144",1.1.1.4.4,Preuve par l'absurde fallacieuse,crossLink,IsRelatedTo,1,Insuffisance,0.68,Apparent absurdity alone is insufficient support for the asserted conclusion.,
"1,1144",1.1.1.4.4,Preuve par l'absurde fallacieuse,crossLink,IsRelatedTo,3,Erreur mathématique,0.45,"In probabilistic examples, it can overlap with quantitative mistakes such as treating improbability as evidence of inevitability.",
"1,1144",1.1.1.4.4,Preuve par l'absurde fallacieuse,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"1,1144",1.1.1.4.4,Preuve par l'absurde fallacieuse,AIF_skosExceptionRef,,Logical_Conflict,,,skos:broadMatch,
"1,1145",1.1.1.4.5,Lapalissade,crossLink,IsRelatedTo,1.1.1.4.6,Bromure,0.86,"A lapalissade is an obvious truism; a bromure similarly relies on platitudes, though with a more audience-sedating function.",
"1,1145",1.1.1.4.5,Lapalissade,crossLink,IsRelatedTo,1.1.1.4,Pensée clichée,0.78,The fallacy belongs near clichéd thinking because it treats a ready-made obvious truth as if it had argumentative force.,
"1,1145",1.1.1.4.5,Lapalissade,crossLink,IsRelatedTo,1,Insuffisance,0.74,"Its defect is insufficiency: the statement may be true, but it does not provide adequate support for the conclusion.",
"1,1146",1.1.1.4.6,Bromure,crossLink,Leverages,1.1.1.4,Pensée clichée,0.92,Le bromure fonctionne précisément en mobilisant des expressions toutes faites comme substituts à une preuve.,
"1,1146",1.1.1.4.6,Bromure,crossLink,Leverages,1.1.1.4.5,Lapalissade,0.78,Les platitudes rassurantes du bromure sont souvent des lapalissades qui n'apportent aucun soutien argumentatif réel.,
"1,1146",1.1.1.4.6,Bromure,crossLink,IsRelatedTo,2,Influence,0.74,"L'objectif explicite est de faire baisser la vigilance de l'auditoire, donc de persuader par influence plutôt que par justification.",
"1,1146",1.1.1.4.6,Bromure,crossLink,IsRelatedTo,1,Insuffisance,0.62,Le recours à des platitudes rend l'argument insuffisant pour établir la conclusion proposée.,
"1,1146",1.1.1.4.6,Bromure,AIF_skosDirectRef,,PopularOpinion_Inference,,,skos:broadMatch,
"1,1146",1.1.1.4.6,Bromure,AIF_skosExceptionRef,,GeneralAcceptanceDoubt_Conflict,,,skos:broadMatch,
"1,1211",1.1.2.1.1,Argument par ouï-dire,crossLink,Leverages,1.1.2.1,Preuve anecdotique,0.82,Hearsay often functions as anecdotal evidence: reported individual statements are used as insufficient support for a broader claim.,bad_map:skos:relatedMatch
"1,1211",1.1.2.1.1,Argument par ouï-dire,crossLink,Mirrors,1.1.2.1.5,Je le sais quand je le vois,0.45,"Both rely on claims that are not independently verifiable, though hearsay invokes reported speech while intuition invokes personal recognition.",bad_map:skos:relatedMatch
"1,1211",1.1.2.1.1,Argument par ouï-dire,crossLink,IsRelatedTo,1,Insuffisance,0.65,The core defect is evidential insufficiency: unverifiable reported statements do not adequately establish the conclusion.,bad_map:skos:relatedMatch
"1,1211",1.1.2.1.1,Argument par ouï-dire,AIF_skosDirectRef,,PositionToKnow_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"1,1211",1.1.2.1.1,Argument par ouï-dire,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:relatedMatch,bad_map:skos:relatedMatch
"1,1212",1.1.2.1.2,Hypothèse contraire aux faits,crossLink,Mirrors,1.1.2.1.6,Appel à la fiction,0.78,"Both reason from non-actual scenarios; fiction uses invented narratives, while the source uses counterfactual assumptions.",
"1,1212",1.1.2.1.2,Hypothèse contraire aux faits,crossLink,IsRelatedTo,1,Insuffisance,0.62,A counterfactual premise that is not true normally provides insufficient support for a factual conclusion.,
