dataset,key,link_lang,resolved_url
virtues,143,es,https://es.wikipedia.org/wiki/Analog%C3%ADa
virtues,147,es,https://es.wikipedia.org/wiki/Sintaxis
virtues,149,es,https://es.wikipedia.org/wiki/Puntuaci%C3%B3n_%28ling%C3%BC%C3%ADstica%29
virtues,159,es,https://es.wikipedia.org/wiki/Encuadre_%28ciencias_sociales%29
virtues,168,es,https://es.wikipedia.org/wiki/Universalismo
virtues,172,es,https://es.wikipedia.org/wiki/Sesgo_cultural
virtues,173,es,https://es.wikipedia.org/wiki/Comunicaci%C3%B3n_intercultural
virtues,176,es,https://es.wikipedia.org/wiki/Sesgo_cognitivo
virtues,193,es,https://es.wikipedia.org/wiki/Sesgo_cognitivo
virtues,196,es,https://es.wikipedia.org/wiki/Apertura_mental
virtues,197,es,https://es.wikipedia.org/wiki/Decisi%C3%B3n_por_consenso
virtues,1,ar,https://ar.wikipedia.org/wiki/%D9%86%D8%B8%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D8%AD%D8%AC%D8%AC
virtues,10,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%A7%D8%AF
virtues,18,ar,https://ar.wikipedia.org/wiki/%D8%B3%D9%84%D8%B7%D8%A9_%28%D9%85%D8%AC%D8%AA%D9%85%D8%B9%29
virtues,19,ar,https://ar.wikipedia.org/wiki/%D8%B4%D9%87%D8%A7%D8%AF%D8%A9_%D8%A7%D9%84%D8%B4%D9%87%D9%88%D8%AF
virtues,20,ar,https://ar.wikipedia.org/wiki/%D8%AF%D9%84%D9%8A%D9%84
virtues,21,ar,https://ar.wikipedia.org/wiki/%D8%B5%D8%AD%D8%A7%D9%81%D8%A9
virtues,22,ar,https://ar.wikipedia.org/wiki/%D8%AA%D8%AF%D9%82%D9%8A%D9%82_%D8%A7%D9%84%D8%AD%D9%82%D8%A7%D8%A6%D9%82
virtues,24,ar,https://ar.wikipedia.org/wiki/%D9%81%D8%B1%D8%B6%D9%8A%D8%A9
virtues,26,ar,https://ar.wikipedia.org/wiki/%D9%86%D8%B2%D8%A7%D9%87%D8%A9_%28%D8%AA%D9%88%D8%B6%D9%8A%D8%AD%29
virtues,27,ar,https://ar.wikipedia.org/wiki/%D9%86%D8%B2%D8%A7%D9%87%D8%A9_%28%D8%AA%D9%88%D8%B6%D9%8A%D8%AD%29
virtues,33,ar,https://ar.wikipedia.org/wiki/%D9%86%D8%B5%D9%84_%D9%87%D8%A7%D9%86%D9%84%D9%88%D9%86
virtues,34,ar,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A3%D8%AE%D9%84%D8%A7%D9%82_%D8%A7%D9%84%D9%88%D8%A7%D8%AC%D8%A8%D8%A9
virtues,40,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%B5%D8%B7%D9%84%D8%A7%D8%AD_%D8%AA%D9%82%D9%86%D9%8A
virtues,41,ar,https://ar.wikipedia.org/wiki/%D9%86%D8%B2%D8%A7%D9%87%D8%A9_%28%D8%AA%D9%88%D8%B6%D9%8A%D8%AD%29
virtues,54,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%A8%D8%AA%D8%B2%D8%A7%D8%B2_%D8%B9%D8%A7%D8%B7%D9%81%D9%8A
virtues,55,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%AA%D8%B5%D8%A7%D9%84
virtues,87,ar,https://ar.wikipedia.org/wiki/%D9%85%D9%86%D8%B7%D9%82_%D9%85%D9%88%D8%AC%D9%87%D8%A7%D8%AA
virtues,101,ar,https://ar.wikipedia.org/wiki/%D8%A8%D8%B1%D9%87%D8%A7%D9%86_%D8%A7%D9%84%D8%AE%D9%84%D9%81
virtues,103,ar,https://ar.wikipedia.org/wiki/%D9%85%D9%86%D9%87%D8%AC_%D8%B9%D9%84%D9%85%D9%8A
virtues,108,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,112,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,113,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,114,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,116,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,117,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,118,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,120,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,121,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,122,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,124,ar,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,128,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D9%86%D8%AA%D8%A7%D8%AC
virtues,133,ar,https://ar.wikipedia.org/wiki/%D8%AA%D9%85%D8%AB%D9%8A%D9%84_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,139,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%B5%D8%B7%D9%84%D8%A7%D8%AD_%D8%AA%D9%82%D9%86%D9%8A
virtues,140,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%B5%D8%B7%D9%84%D8%A7%D8%AD_%D8%AA%D9%82%D9%86%D9%8A
virtues,141,ar,https://ar.wikipedia.org/wiki/%D8%AA%D8%B9%D8%B1%D9%8A%D9%81
virtues,142,ar,https://ar.wikipedia.org/wiki/%D8%AA%D9%85%D8%AB%D9%8A%D9%84_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,143,ar,https://ar.wikipedia.org/wiki/%D8%AA%D9%85%D8%AB%D9%8A%D9%84_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,145,ar,https://ar.wikipedia.org/wiki/%D8%B0%D9%86%D8%A8_%D8%A8%D8%A7%D9%84%D8%AA%D8%AF%D8%A7%D8%B9%D9%8A_%28%D9%85%D8%BA%D8%A7%D9%84%D8%B7%D8%A9%29
virtues,147,ar,https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%85_%D8%A7%D9%84%D9%86%D8%AD%D9%88
virtues,149,ar,https://ar.wikipedia.org/wiki/%D8%AA%D8%B1%D9%82%D9%8A%D9%85
virtues,154,ar,https://ar.wikipedia.org/wiki/%D8%AD%D9%82%D9%8A%D9%82%D8%A9
virtues,158,ar,https://ar.wikipedia.org/wiki/%D8%B4%D9%81%D8%A7%D9%81%D9%8A%D8%A9_%28%D8%B3%D9%84%D9%88%D9%83%29
virtues,159,ar,https://ar.wikipedia.org/wiki/%D8%AA%D8%A3%D8%B7%D9%8A%D8%B1
virtues,168,ar,https://ar.wikipedia.org/wiki/%D9%83%D9%88%D9%86%D9%8A%D8%A9
virtues,172,ar,https://ar.wikipedia.org/wiki/%D8%A7%D9%86%D8%AD%D9%8A%D8%A7%D8%B2_%D8%AB%D9%82%D8%A7%D9%81%D9%8A
virtues,173,ar,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84_%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D8%A7%D8%AA
virtues,176,ar,https://ar.wikipedia.org/wiki/%D8%A7%D9%86%D8%AD%D9%8A%D8%A7%D8%B2_%D8%A7%D8%B3%D8%AA%D8%B9%D8%B1%D8%A7%D9%81%D9%8A
virtues,177,ar,https://ar.wikipedia.org/wiki/%D8%A7%D8%AD%D8%AA%D9%85%D8%A7%D9%84
virtues,178,ar,https://ar.wikipedia.org/wiki/%D9%85%D9%86%D9%87%D8%AC_%D8%B9%D9%84%D9%85%D9%8A
virtues,189,ar,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D9%83%D9%85_%D8%A7%D9%84%D9%82%D8%B6%D8%A7%D8%A6%D9%8A_%D8%A7%D9%84%D9%88%D8%A7%D9%82%D9%81
virtues,190,ar,https://ar.wikipedia.org/wiki/%D8%A5%D9%86%D8%B5%D8%A7%D8%AA_%D8%A5%D9%8A%D8%AC%D8%A7%D8%A8%D9%8A
virtues,193,ar,https://ar.wikipedia.org/wiki/%D8%A7%D9%86%D8%AD%D9%8A%D8%A7%D8%B2_%D8%A7%D8%B3%D8%AA%D8%B9%D8%B1%D8%A7%D9%81%D9%8A
virtues,196,ar,https://ar.wikipedia.org/wiki/%D8%A7%D9%86%D9%81%D8%AA%D8%A7%D8%AD_%D8%B0%D9%87%D9%86%D9%8A
virtues,197,ar,https://ar.wikipedia.org/wiki/%D9%82%D8%B1%D8%A7%D8%B1_%D8%A8%D8%A7%D9%84%D8%A5%D8%AC%D9%85%D8%A7%D8%B9
virtues,199,ar,https://ar.wikipedia.org/wiki/%D9%86%D9%82%D8%A7%D8%B4_%D9%85%D8%AC%D8%AA%D9%85%D8%B9%D9%8A
virtues,218,ar,https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D8%A7%D8%B5%D9%84_%D9%84%D8%A7%D8%B9%D9%86%D9%81%D9%8A
virtues,10,fa,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D9%86%D8%A7%D8%AF
virtues,17,fa,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D9%88%D8%B1%D9%BE%D8%B0%DB%8C%D8%B1%DB%8C
virtues,18,fa,https://fa.wikipedia.org/wiki/%D8%A7%D9%82%D8%AA%D8%AF%D8%A7%D8%B1
virtues,19,fa,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%A7%D8%AF%D8%AA_%28%D9%82%D8%A7%D9%86%D9%88%D9%86%29
virtues,20,fa,https://fa.wikipedia.org/wiki/%DA%AF%D9%88%D8%A7%D9%87
virtues,21,fa,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D9%87%E2%80%8C%D9%86%DA%AF%D8%A7%D8%B1%DB%8C
virtues,22,fa,https://fa.wikipedia.org/wiki/%D8%B1%D8%A7%D8%B3%D8%AA%DB%8C%E2%80%8C%D8%A2%D8%B2%D9%85%D8%A7%DB%8C%DB%8C
virtues,24,fa,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D8%B6%DB%8C%D9%87
virtues,26,fa,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%E2%80%8C%D8%B7%D8%B1%D9%81%DB%8C
virtues,27,fa,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%E2%80%8C%D8%B7%D8%B1%D9%81%DB%8C
virtues,33,fa,https://fa.wikipedia.org/wiki/%D8%AA%DB%8C%D8%BA_%D9%87%D9%86%D9%84%D9%88%D9%86
virtues,34,fa,https://fa.wikipedia.org/wiki/%D8%A7%D8%AE%D9%84%D8%A7%D9%82_%D9%88%D8%B8%DB%8C%D9%81%D9%87%E2%80%8C%DA%AF%D8%B1%D8%A7
virtues,39,fa,https://fa.wikipedia.org/wiki/%D8%B2%D8%A8%D8%A7%D9%86_%D8%AD%D8%B1%D9%81%D9%87%E2%80%8C%D8%A7%DB%8C
virtues,41,fa,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%E2%80%8C%D8%B7%D8%B1%D9%81%DB%8C
virtues,52,fa,https://fa.wikipedia.org/wiki/%D8%AA%D8%A8%D8%A7%D9%86%DB%8C
virtues,55,fa,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%A8%D8%A7%D8%B7
virtues,77,fa,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%87
virtues,100,fa,https://fa.wikipedia.org/wiki/%D9%86%D9%82%DB%8C%D8%B6_%D9%85%D8%B6%D8%A7%D8%B9%D9%81
virtues,101,fa,https://fa.wikipedia.org/wiki/%D8%AA%D8%B9%D9%84%DB%8C%D9%82_%D8%A8%D9%87_%D9%85%D8%AD%D8%A7%D9%84
virtues,103,fa,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B4_%D8%B9%D9%84%D9%85%DB%8C
virtues,108,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,112,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,113,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,114,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,116,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,117,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,118,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,120,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,121,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,122,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,124,fa,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D8%B3
virtues,133,fa,https://fa.wikipedia.org/wiki/%D8%AA%D9%85%D8%AB%DB%8C%D9%84_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,141,fa,https://fa.wikipedia.org/wiki/%D8%AA%D8%B9%D8%B1%DB%8C%D9%81
virtues,142,fa,https://fa.wikipedia.org/wiki/%D8%AA%D9%85%D8%AB%DB%8C%D9%84_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,143,fa,https://fa.wikipedia.org/wiki/%D8%AA%D9%85%D8%AB%DB%8C%D9%84_%28%D9%85%D9%86%D8%B7%D9%82%29
virtues,147,fa,https://fa.wikipedia.org/wiki/%D9%86%D8%AD%D9%88
virtues,149,fa,https://fa.wikipedia.org/wiki/%D9%86%D8%B4%D8%A7%D9%86%D9%87%E2%80%8C%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C_%28%D8%B2%D8%A8%D8%A7%D9%86%E2%80%8C%D8%B4%D9%86%D8%A7%D8%B3%DB%8C%29
virtues,152,fa,https://fa.wikipedia.org/wiki/%D8%B5%D8%AF%D8%A7%D9%82%D8%AA_%D8%B1%D9%88%D8%B4%D9%86%D9%81%DA%A9%D8%B1%DB%8C
virtues,158,fa,https://fa.wikipedia.org/wiki/%D8%B4%D9%81%D8%A7%D9%81%DB%8C%D8%AA_%28%D8%B1%D9%81%D8%AA%D8%A7%D8%B1%29
virtues,163,fa,https://fa.wikipedia.org/wiki/%D8%B5%D8%AF%D8%A7%D9%82%D8%AA_%D8%B1%D9%88%D8%B4%D9%86%D9%81%DA%A9%D8%B1%DB%8C
virtues,177,fa,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%AA%D9%85%D8%A7%D9%84%D8%A7%D8%AA
virtues,178,fa,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B4_%D8%B9%D9%84%D9%85%DB%8C
virtues,189,fa,https://fa.wikipedia.org/wiki/%D8%AA%D8%B9%D9%84%DB%8C%D9%82_%D9%82%D8%B6%D8%A7%D9%88%D8%AA
virtues,193,fa,https://fa.wikipedia.org/wiki/%D8%B3%D9%88%DA%AF%DB%8C%D8%B1%DB%8C_%D8%B4%D9%86%D8%A7%D8%AE%D8%AA%DB%8C
virtues,196,fa,https://fa.wikipedia.org/wiki/%DA%AF%D8%B4%D9%88%D8%AF%DA%AF%DB%8C_%D8%B0%D9%87%D9%86
virtues,197,fa,https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D9%85%DB%8C%D9%85%E2%80%8C%DA%AF%DB%8C%D8%B1%DB%8C_%D8%A8%D8%B1_%D8%A7%D8%B3%D8%A7%D8%B3_%D8%A7%D8%AC%D9%85%D8%A7%D8%B9
virtues,10,zh,https://zh.wikipedia.org/wiki/%E5%8F%83%E8%80%83%E6%96%87%E7%8D%BB
virtues,18,zh,https://zh.wikipedia.org/wiki/%E6%9D%83%E5%A8%81
virtues,19,zh,https://zh.wikipedia.org/wiki/%E5%8F%A3%E4%BE%9B
virtues,21,zh,https://zh.wikipedia.org/wiki/%E6%96%B0%E9%97%BB%E5%AD%A6
virtues,22,zh,https://zh.wikipedia.org/wiki/%E4%BA%8B%E5%AF%A6%E6%9F%A5%E6%A0%B8
virtues,24,zh,https://zh.wikipedia.org/wiki/%E5%81%87%E8%AF%B4
virtues,26,zh,https://zh.wikipedia.org/wiki/%E5%B9%B3%E7%AD%89%E5%8E%9F%E5%89%87
virtues,27,zh,https://zh.wikipedia.org/wiki/%E5%B9%B3%E7%AD%89%E5%8E%9F%E5%89%87
virtues,34,zh,https://zh.wikipedia.org/wiki/%E4%B9%89%E5%8A%A1%E4%BC%A6%E7%90%86%E5%AD%A6
virtues,40,zh,https://zh.wikipedia.org/wiki/%E6%9C%AF%E8%AF%AD%E9%9B%86
virtues,41,zh,https://zh.wikipedia.org/wiki/%E5%B9%B3%E7%AD%89%E5%8E%9F%E5%89%87
virtues,52,zh,https://zh.wikipedia.org/wiki/%E4%B8%B2%E4%BE%9B
virtues,54,zh,https://zh.wikipedia.org/wiki/%E6%83%85%E7%B7%92%E5%8B%92%E7%B4%A2
virtues,55,zh,https://zh.wikipedia.org/wiki/%E6%B2%9F%E9%80%9A
virtues,77,zh,https://zh.wikipedia.org/wiki/%E8%AE%A1%E7%AE%97
virtues,101,zh,https://zh.wikipedia.org/wiki/%E6%AD%B8%E8%AC%AC%E6%B3%95
virtues,103,zh,https://zh.wikipedia.org/wiki/%E7%A7%91%E5%AD%A6%E6%96%B9%E6%B3%95
virtues,108,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,112,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,113,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,114,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,116,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,117,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,118,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,120,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,121,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,122,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,124,zh,https://zh.wikipedia.org/wiki/%E7%9B%B4%E8%A8%80%E4%B8%89%E6%AE%B5%E8%AE%BA
virtues,133,zh,https://zh.wikipedia.org/wiki/%E9%A1%9E%E6%AF%94
virtues,141,zh,https://zh.wikipedia.org/wiki/%E5%AE%9A%E4%B9%89
virtues,142,zh,https://zh.wikipedia.org/wiki/%E9%A1%9E%E6%AF%94
virtues,143,zh,https://zh.wikipedia.org/wiki/%E9%A1%9E%E6%AF%94
virtues,147,zh,https://zh.wikipedia.org/wiki/%E5%8F%A5%E6%B3%95%E5%AD%A6
virtues,149,zh,https://zh.wikipedia.org/wiki/%E6%A0%87%E7%82%B9%E7%AC%A6%E5%8F%B7
virtues,154,zh,https://zh.wikipedia.org/wiki/%E7%9C%9F%E7%90%86
virtues,159,zh,https://zh.wikipedia.org/wiki/%E6%A1%86%E6%9E%B6_%28%E7%A4%BE%E6%9C%83%E7%A7%91%E5%AD%B8%29
virtues,168,zh,https://zh.wikipedia.org/wiki/%E6%99%AE%E4%B8%96%E4%B8%BB%E4%B9%89
virtues,172,zh,https://zh.wikipedia.org/wiki/%E6%96%87%E5%8C%96%E5%81%8F%E8%AF%AF
virtues,173,zh,https://zh.wikipedia.org/wiki/%E8%B7%A8%E6%96%87%E5%8C%96%E5%82%B3%E6%92%AD
virtues,176,zh,https://zh.wikipedia.org/wiki/%E8%AA%8D%E7%9F%A5%E5%81%8F%E8%AA%A4
virtues,177,zh,https://zh.wikipedia.org/wiki/%E6%A6%82%E7%8E%87
virtues,178,zh,https://zh.wikipedia.org/wiki/%E7%A7%91%E5%AD%A6%E6%96%B9%E6%B3%95
virtues,190,zh,https://zh.wikipedia.org/wiki/%E7%A9%8D%E6%A5%B5%E8%81%86%E8%81%BD
virtues,193,zh,https://zh.wikipedia.org/wiki/%E8%AA%8D%E7%9F%A5%E5%81%8F%E8%AA%A4
virtues,197,zh,https://zh.wikipedia.org/wiki/%E5%85%B1%E8%AF%86%E5%86%B3%E7%AD%96%E6%B3%95
