# 847 Layer-(c) reference-reachability — per-parent-node rollup. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
# n_referencing = leaves with >=1 external ref. n_refs = total ref cells. pct_* = share of refs. entropy_norm = diversity of buckets cited. min_n=3 referencing leaves.
level,node,n_leaves,n_referencing,n_refs,wikipedia_stable,archive_repointed,dictionary_known,longtail,pct_wikipedia,pct_dictionary,pct_longtail,entropy_norm
sub-sub(d3),Erreur de modalité,8,7,12,9,0,2,1,75.0,16.7,8.3,0.657
sub-sub(d3),Erreur de quantification,15,13,14,10,0,4,0,71.4,28.6,0.0,0.863
sub-sub(d3),Evasion,32,31,46,35,1,8,2,76.1,17.4,4.3,0.528
sub-sub(d3),Exigence relâchée,12,12,14,6,0,5,3,42.9,35.7,21.4,0.864
sub-sub(d3),Exigence renforcée,18,18,24,9,0,5,10,37.5,20.8,41.7,0.862
sub-sub(d3),Fausse analogie,5,5,6,2,1,3,0,33.3,50.0,0.0,0.921
sub-sub(d3),Fausse attribution,11,11,20,17,1,0,2,85.0,0.0,10.0,0.472
sub-sub(d3),Humour,28,28,97,96,0,1,0,99.0,1.0,0.0,0.083
sub-sub(d3),Imprécision,14,14,18,10,0,6,2,55.6,33.3,11.1,0.853
sub-sub(d3),Inconsistance,7,7,9,3,1,4,1,33.3,44.4,11.1,0.876
sub-sub(d3),Infini trompeur,8,6,10,9,0,1,0,90.0,10.0,0.0,0.469
sub-sub(d3),Influence non verbale,84,76,156,153,0,0,3,98.1,0.0,1.9,0.137
sub-sub(d3),Inversion de causalité,12,12,18,12,1,2,3,66.7,11.1,16.7,0.671
sub-sub(d3),Jeu de pouvoir,91,87,172,164,0,2,6,95.3,1.2,3.5,0.172
sub-sub(d3),Justification triviale,22,21,25,8,1,8,8,32.0,32.0,32.0,0.882
sub-sub(d3),Langage persuasif,42,42,52,31,6,5,10,59.6,9.6,19.2,0.764
sub-sub(d3),Manque de parcimonie,10,10,33,29,0,2,2,87.9,6.1,6.1,0.413
sub-sub(d3),Mensonge,53,53,142,132,2,3,5,93.0,2.1,3.5,0.218
sub-sub(d3),Opération inappropriée,6,4,5,3,0,1,1,60.0,20.0,20.0,0.865
sub-sub(d3),Poésie,52,50,187,178,1,2,6,95.2,1.1,3.2,0.154
sub-sub(d3),Preuve par assertion,15,15,26,20,1,4,1,76.9,15.4,3.8,0.534
sub-sub(d3),Probabilités faussées,14,13,18,15,0,3,0,83.3,16.7,0.0,0.65
sub-sub(d3),Procès en inconsistance,10,10,16,10,0,3,3,62.5,18.8,18.8,0.839
sub-sub(d3),Pétition de principe,9,9,16,13,0,3,0,81.2,18.8,0.0,0.696
sub-sub(d3),Relation infondée,11,11,15,7,0,7,1,46.7,46.7,6.7,0.812
sub-sub(d3),Relativisme abusif,5,5,6,3,0,2,1,50.0,33.3,16.7,0.921
sub-sub(d3),Repoussoir,18,18,27,19,1,3,4,70.4,11.1,14.8,0.609
sub-sub(d3),Sauvetage ad hoc,15,15,19,7,2,4,6,36.8,21.1,31.6,0.894
sub-sub(d3),Sophisme d'Explication,10,10,10,1,3,4,2,10.0,40.0,20.0,0.881
sub-sub(d3),Sophisme de l'accident,7,6,7,6,0,1,0,85.7,14.3,0.0,0.592
sub-sub(d3),Sophisme génétique,27,27,34,16,0,6,12,47.1,17.6,35.3,0.936
sub-sub(d3),Sophisme ludique,19,18,34,28,2,2,2,82.4,5.9,5.9,0.435
sub-sub(d3),Sophisme moraliste,21,21,36,24,1,7,4,66.7,19.4,11.1,0.673
sub-sub(d3),Sophisme naturaliste,16,16,39,32,0,4,3,82.1,10.3,7.7,0.463
sub-sub(d3),Syllogisme invalide,14,11,21,17,0,4,0,81.0,19.0,0.0,0.702
sub-sub(d3),Transfert illicite,11,11,16,13,0,1,2,81.2,6.2,12.5,0.497
sub-sub(d3),Échantillon biaisé,18,18,23,12,2,3,6,52.2,13.0,26.1,0.843
