source_pk,source_name,source_family,source_path,target_pk,target_name,target_family,target_path,jaccard,shared_distinctive_terms,proposed_relation,semantic_verdict
880,Indiscrétion anonyme,Abus de langage,5.33112,924,Indiscrétion anonyme,Tricherie,6.112231,1.0,diffusez;impliquées;informations;légales;nommer;personnes;rumeurs;répercussions;souvent;éviter,Mirrors,"near-duplicate (Jaccard 1.00, 10 shared distinctive terms)"
882,Campagne de murmures,Abus de langage,5.3321,918,Campagne de murmures,Tricherie,6.112211,1.0,cible;identifié;insinuations;nuisibles;propos;rumeurs;répandez;évitant,Mirrors,"near-duplicate (Jaccard 1.00, 8 shared distinctive terms)"
801,Défaut d'élucidation,Abus de langage,5.111,1298,Défaut de clarification,Obstruction,7.131,1.0,complexes;définitions;employez;obscurcissent;plutôt;propos;trop;éclairent,Mirrors,"near-duplicate (Jaccard 1.00, 8 shared distinctive terms)"
818,Sophisme de la solution parfaite,Abus de langage,5.1225,1350,Solution parfaite,Obstruction,7.222,1.0,demandant;idéal;inatteignable;rejetez;réalistes;solutions,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
821,Langage idiosyncrasique,Abus de langage,5.1232,1304,Langage idiosyncratique,Obstruction,7.134,1.0,appuyer;attribuez;inattendu;particulier;point;sens;termes,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
879,Compliment empoisonné,Abus de langage,5.33111,1387,Compliment empoisonné,Obstruction,7.3231,1.0,compliment;contraire;discréditez;exprimer;insinue;quelqu;réalité;semble,Mirrors,"near-duplicate (Jaccard 1.00, 8 shared distinctive terms)"
894,Homme de paille,Tricherie,6.111121,1365,Homme de paille,Obstruction,7.312,1.0,argument;caricaturez;facilement;réfuter,Mirrors,"near-duplicate (Jaccard 1.00, 4 shared distinctive terms)"
914,Stratégie du chat mort,Tricherie,6.11215,1318,Stratégie du chat mort,Obstruction,7.211121,1.0,attention;choquante;controverse;créant;détournez;importants;intentionnellement;problèmes;scandale,Mirrors,"near-duplicate (Jaccard 1.00, 9 shared distinctive terms)"
977,Solution parfaite,Tricherie,6.21111,1350,Solution parfaite,Obstruction,7.222,1.0,demandant;idéal;inatteignable;rejetez;réalistes;solutions,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
983,Changement de terrain,Tricherie,6.2115,1319,Changement de terrain,Obstruction,7.21113,1.0,admettre;argumentation;bases;constamment;défaite;désorienter;interlocuteur;modifiez;point;précis;éviter,Mirrors,"near-duplicate (Jaccard 1.00, 11 shared distinctive terms)"
1165,Projection psychologique,Tricherie,6.312321,1355,Projection psychologique,Obstruction,7.233,1.0,adversaire;attention;attribuez;défauts;détourner;erreurs;propres,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
115,Appel à la nouveauté,Insuffisance,1.232,1069,Appel à la nouveauté,Tricherie,6.311213,0.889,argument;caractère;garantir;inédit;moderne;prétendument;suffit;validité,Mirrors,"near-duplicate (Jaccard 0.89, 8 shared distinctive terms)"
476,Répandage,Influence,2.323222,1300,Déluge argumentatif,Obstruction,7.1321,0.867,adversaire;arguments;difficile;extrêmement;maximum;minimum;parlez;points;présenter;répondre;temps;tous;vite,Mirrors,"near-duplicate (Jaccard 0.87, 13 shared distinctive terms)"
22,Acte de foi,Insuffisance,1.113,770,Acte de foi,Erreur de raisonnement,4.313,0.857,accepter;affirmation;demandez;explication;logique;raison,Mirrors,"near-duplicate (Jaccard 0.86, 6 shared distinctive terms)"
988,Sophisme de l’improvisation,Tricherie,6.2131,1348,Sophisme de l’examen sur-le-champ,Obstruction,7.22111,0.833,citer;données;détails;incompétent;interlocuteur;jugez;peut;précises;sujet;techniques,Mirrors,"near-duplicate (Jaccard 0.83, 10 shared distinctive terms)"
170,Sophisme animiste,Insuffisance,1.3331,1088,Sophisme animiste,Tricherie,6.311235,0.818,actions;animés;inanimés;intentions;nature;objets;propres;éléments;êtres,Mirrors,"near-duplicate (Jaccard 0.82, 9 shared distinctive terms)"
360,Équivoque antithétique,Influence,2.31111,1000,Équivoque antithétique,Tricherie,6.2223,0.8,auditoire;contre;embrouillez;habilement;point;quel;sait;véritable,Mirrors,"near-duplicate (Jaccard 0.80, 8 shared distinctive terms)"
418,Culture de la peur,Influence,2.3163,919,Culture de la peur,Tricherie,6.11222,0.8,danger;délibérément;effrayantes;exagérées;imminent;peur;public;question;rumeurs;répandez;sujet;susciter,Mirrors,"near-duplicate (Jaccard 0.80, 12 shared distinctive terms)"
1018,Appel à l'identité,Tricherie,6.2333,1378,Appel à l'identité,Obstruction,7.3216,0.8,appartient;auteur;bien;communauté;fondé;proposition;validité;évaluez,Mirrors,"near-duplicate (Jaccard 0.80, 8 shared distinctive terms)"
496,Minimisation,Influence,2.3236,892,Minimisation,Tricherie,6.11111,0.786,atténuez;autrui;détourner;impact;importance;intentionnellement;problèmes;responsabilité;sentiments;vérité;éléments,Mirrors,"near-duplicate (Jaccard 0.79, 11 shared distinctive terms)"
65,Sophisme du vrai Écossais,Insuffisance,1.1332,616,Sophisme du vrai Écossais,Erreur mathématique,3.1211,0.778,contours;contre;exemple;générale;idée;réfuter;soutenez,Mirrors,"near-duplicate (Jaccard 0.78, 7 shared distinctive terms)"
363,Compliment empoisonné,Influence,2.31113,879,Compliment empoisonné,Abus de langage,5.33111,0.778,compliment;contraire;discréditez;insinue;quelqu;réalité;semble,Mirrors,"near-duplicate (Jaccard 0.78, 7 shared distinctive terms)"
297,Digression,Influence,2.1367,1316,Digression,Obstruction,7.21111,0.778,attention;déviez;introduire;principal;secondaire;sujet;thème,Mirrors,"near-duplicate (Jaccard 0.78, 7 shared distinctive terms)"
363,Compliment empoisonné,Influence,2.31113,1387,Compliment empoisonné,Obstruction,7.3231,0.778,compliment;contraire;discréditez;insinue;quelqu;réalité;semble,Mirrors,"near-duplicate (Jaccard 0.78, 7 shared distinctive terms)"
660,Argument de la barbe,Erreur mathématique,3.2311,859,Argument de la barbe,Abus de langage,5.32121,0.778,claire;deux;distinguer;existe;frontière;refusez;états,Mirrors,"near-duplicate (Jaccard 0.78, 7 shared distinctive terms)"
665,Justification infinie,Erreur mathématique,3.23221,1349,Justification infinie,Obstruction,7.2212,0.778,cesse;claire;conclusion;davantage;demandez;explications;évitant,Mirrors,"near-duplicate (Jaccard 0.78, 7 shared distinctive terms)"
451,Piège de gratitude,Influence,2.322127,1324,Piège de gratitude,Obstruction,7.211212,0.769,actuelle;autrui;contrôle;coupable;frustré;pensez;reconnaissant;sentez;sentiment;situation,Mirrors,"near-duplicate (Jaccard 0.77, 10 shared distinctive terms)"
1103,Piège de gratitude,Tricherie,6.3121123,1324,Piège de gratitude,Obstruction,7.211212,0.769,actuelle;autrui;contrôle;coupable;frustré;pensez;reconnaissant;sentez;sentiment;situation,Mirrors,"near-duplicate (Jaccard 0.77, 10 shared distinctive terms)"
677,Pente glissante,Erreur mathématique,3.3131,705,Pente glissante,Erreur de raisonnement,4.116,0.75,négatifs;probable;proposition;prédisant;rejetez;événements,Mirrors,"near-duplicate (Jaccard 0.75, 6 shared distinctive terms)"
723,Personnalisation,Erreur de raisonnement,4.13112,1169,Personnalisation,Tricherie,6.312322,0.75,attribuez;avez;blâme;contrôle;lesquels;personnelle;responsabilité;éloge;événements,Mirrors,"near-duplicate (Jaccard 0.75, 9 shared distinctive terms)"
759,Conclusion hâtive,Erreur de raisonnement,4.31,1127,Conclusion hâtive,Tricherie,6.312221,0.75,conclusions;disposer;preuves;tirez;trop;vite,Mirrors,"near-duplicate (Jaccard 0.75, 6 shared distinctive terms)"
475,Gish gallop,Influence,2.323221,772,Gish gallop,Erreur de raisonnement,4.3141,0.714,arguments;complète;continu;difficile;flot;interlocuteur;rapide;réfléchie;réfutation;submergez,Mirrors,"near-duplicate (Jaccard 0.71, 10 shared distinctive terms)"
475,Gish gallop,Influence,2.323221,1331,Gish gallop,Obstruction,7.2123,0.714,arguments;complète;continu;difficile;flot;interlocuteur;rapide;réfléchie;réfutation;submergez,Mirrors,"near-duplicate (Jaccard 0.71, 10 shared distinctive terms)"
749,Glissement du quantificateur,Erreur de raisonnement,4.223,850,Glissement du quantificateur,Abus de langage,5.3121,0.714,déplaçant;modifiez;phrase;quantificateurs;sens,Mirrors,"near-duplicate (Jaccard 0.71, 5 shared distinctive terms)"
1166,Renvoyer la balle,Tricherie,6.3123211,1344,Renvoyer la balle,Obstruction,7.21332,0.714,attribuez;groupe;personne;responsabilité;réalité,Mirrors,"near-duplicate (Jaccard 0.71, 5 shared distinctive terms)"
184,Définition persuasive,Influence,2.113,819,Définition persuasive,Abus de langage,5.123,0.667,biaisée;débat;définissez;faveur;orienter;termes,Mirrors,"near-duplicate (Jaccard 0.67, 6 shared distinctive terms)"
665,Justification infinie,Erreur mathématique,3.23221,979,Justification infinie,Tricherie,6.21112,0.667,cesse;claire;conclusion;demandez;explications;évitant,Mirrors,"near-duplicate (Jaccard 0.67, 6 shared distinctive terms)"
979,Justification infinie,Tricherie,6.21112,1349,Justification infinie,Obstruction,7.2212,0.667,cesse;claire;conclusion;demandez;explications;évitant,Mirrors,"near-duplicate (Jaccard 0.67, 6 shared distinctive terms)"
478,Lavage de cerveau,Influence,2.323224,1302,Lavage de cerveau,Obstruction,7.1331,0.643,croyances;influencer;intensive;manipulation;opinions;personne;psychologique;radicalement;répétition,Mirrors,"near-duplicate (Jaccard 0.64, 9 shared distinctive terms)"
616,Sophisme du vrai Écossais,Erreur mathématique,3.1211,813,Sophisme du vrai Écossais,Abus de langage,5.1223,0.6,contours;contre;exemple;générale;idée;redéfinissez,Mirrors,"near-duplicate (Jaccard 0.60, 6 shared distinctive terms)"
602,Biais de confirmation,Erreur mathématique,3.112,965,Biais de confirmation,Tricherie,6.13123,0.6,argumentation;concentrez;contester;renforcent;uniquement;éléments,Mirrors,"near-duplicate (Jaccard 0.60, 6 shared distinctive terms)"
183,Pétition de principe,Influence,2.112,698,Pétition de principe,Erreur de raisonnement,4.11,0.571,argument;déjà;prouver;suppose,Mirrors,"near-duplicate (Jaccard 0.57, 4 shared distinctive terms)"
477,Sophisme sur-le-champ,Influence,2.323223,988,Sophisme de l’improvisation,Tricherie,6.2131,0.5,données;détails;incompétent;interlocuteur;peut;sujet;techniques,Mirrors,"near-duplicate (Jaccard 0.50, 7 shared distinctive terms)"
477,Sophisme sur-le-champ,Influence,2.323223,1348,Sophisme de l’examen sur-le-champ,Obstruction,7.22111,0.5,données;détails;incompétent;interlocuteur;peut;sujet;techniques,Mirrors,"near-duplicate (Jaccard 0.50, 7 shared distinctive terms)"
668,Fausse précision,Erreur mathématique,3.311,857,Fausse précision,Abus de langage,5.3211,0.5,données;numériques;précises;précision;présentez,Mirrors,"near-duplicate (Jaccard 0.50, 5 shared distinctive terms)"
600,Insensibilité à la taille de l'échantillon,Erreur mathématique,3.11112,1084,Insensibilité à la taille de l'échantillon,Tricherie,6.311231,0.5,compte;données;fiabilité;taille;échantillon,Mirrors,"near-duplicate (Jaccard 0.50, 5 shared distinctive terms)"
817,Pensée dichotomique,Abus de langage,5.12243,1120,Pensée dichotomique,Tricherie,6.31221,0.5,considérez;nuance;parfait;total;échec;êtes,Mirrors,"near-duplicate (Jaccard 0.50, 6 shared distinctive terms)"
65,Sophisme du vrai Écossais,Insuffisance,1.1332,813,Sophisme du vrai Écossais,Abus de langage,5.1223,0.455,contours;contre;exemple;générale;idée,Mirrors,"near-duplicate (Jaccard 0.45, 5 shared distinctive terms)"
368,Effet de vérité illusoire,Influence,2.31118,1067,Effet de vérité illusoire,Tricherie,6.311211,0.455,acceptée;fausse;information;répétée;subissez,Mirrors,"near-duplicate (Jaccard 0.45, 5 shared distinctive terms)"
