source_dp,source_label,kind,verb_or_field,target,target_label,confidence,rationale,warns
"2,111",Question piège,crossLink,Leverages,2.1.1,Langage persuasif,0.7,A loaded question imposes an implicit argumentative frame and constrains the terms in which the opponent can answer.,bad_map:skos:relatedMatch
"2,111",Question piège,crossLink,IsRelatedTo,2.1.1.1.2,Question multiple,0.62,Complex questions and multiple questions overlap when several issues are bundled so that a single answer creates an unfair commitment.,bad_map:skos:relatedMatch
"2,111",Question piège,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:relatedMatch,bad_map:skos:relatedMatch
"2,111",Question piège,AIF_skosDirectRef,,Commitment_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"2,1112",Question multiple,crossLink,IsRelatedTo,2.1.1.1,Question piège,0.95,A multiple/compound question is a specific form of complex or trap question that can put the respondent in difficulty.,
"2,1112",Question multiple,crossLink,Mirrors,2.1.1.1.1,Question piège,0.72,"Both tactics use the form of a question to constrain the respondent, though the loaded question relies on a presupposition while the multiple question bundles several issues.",
"2,1112",Question multiple,crossLink,IsRelatedTo,7,Obstruction,0.62,Bundling several complex questions can obstruct orderly dialogue by making it hard to answer each issue separately.,
"2,1112",Question multiple,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:broadMatch,
"2,1112",Question multiple,AIF_skosExceptionRef,,Commitment_Conflict,,,skos:broadMatch,
"2,11511",Verbiage,crossLink,Allows,2.1.1.5.1,Obscurcissement,0.86,"Excessive wording is a concrete way to make information harder to understand, thereby enabling obscuring.",
"2,11511",Verbiage,crossLink,Mirrors,2.1.1.5.1.2,Preuve par jargon prestigieux,0.67,"Both rely on linguistic inflation to reduce clarity, though prestigious jargon specifically adds intimidation by technical terms.",
"2,11511",Verbiage,crossLink,IsRelatedTo,2.1.1.5.1.3,Obscurantisme,0.58,"Both can intentionally make discourse difficult to understand, but obscurantism is more specifically about inaccessible theoretical knowledge.",
"2,11511",Verbiage,crossLink,Leverages,5,Abus de langage,0.72,Verbiage exploits linguistic form rather than substantive reasons to make a message persuasive or evasive.,
"2,11511",Verbiage,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:broadMatch,
"2,11512",Preuve par jargon prestigieux,crossLink,Leverages,2.1.1.5.1,Obscurcissement,0.9,"Prestigious jargon works by deliberately making the message harder to understand, which is the general mechanism of obscurcissement.",
"2,11512",Preuve par jargon prestigieux,crossLink,IsRelatedTo,2.1.1.5.1.3,Obscurantisme,0.78,"Both involve intentionally difficult theoretical language, though obscurantisme emphasizes restricting understanding or evading criticism rather than intimidation.",
"2,11512",Preuve par jargon prestigieux,crossLink,IsRelatedTo,2.1.1.5.1.2.2,Soupe alphabétique,0.72,Abusive specialized jargon and abbreviations are a common subtype or manifestation of intimidating prestigious terminology.,
"2,11512",Preuve par jargon prestigieux,crossLink,IsRelatedTo,2.1.1.5.1.2.1,Preuve par le latin,0.68,Using Latin expressions to intimidate is a narrower form of using prestigious language to impress or overawe an audience.,
"2,11512",Preuve par jargon prestigieux,AIF_skosDirectRef,,Ethotic_Inference,,,skos:broadMatch,
"2,11512",Preuve par jargon prestigieux,AIF_skosDirectRef,,ExpertOpinion_Inference,,,skos:broadMatch,
"3,111",Échantillon non représentatif,crossLink,IsRelatedTo,3.1.1,Échantillon biaisé,0.95,L’échantillon non représentatif est un cas typique d’échantillon biaisé utilisé pour conclure sur une population cible.,
"3,111",Échantillon non représentatif,crossLink,Leverages,3.1.1.3,Biais de sélection,0.8,L’erreur repose souvent sur une sélection inadéquate ou orientée des observations retenues comme échantillon.,
"3,111",Échantillon non représentatif,crossLink,IsRelatedTo,3.1.1.1.1,Généralisation hâtive,0.75,"Les deux fautes tirent une conclusion générale à partir d’un échantillon inadéquat, même si l’une vise surtout la représentativité et l’autre la taille.",
"3,111",Échantillon non représentatif,AIF_skosDirectRef,,Example_Inference,,,skos:broadMatch,
"3,111",Échantillon non représentatif,AIF_skosDirectRef,,InductiveInference_Scheme,,,skos:broadMatch,
"3,111",Échantillon non représentatif,AIF_skosExceptionRef,,Bias_Inference,,,skos:broadMatch,
"3,11111",Appel aux petits nombres,crossLink,Leverages,3.1.1.1.1.2,Insensibilité à la taille de l'échantillon,0.9,L’appel aux petits nombres exploite précisément l’oubli que la fiabilité d’une généralisation dépend de la taille de l’échantillon.,
"3,11111",Appel aux petits nombres,crossLink,IsRelatedTo,3.1.1.1.1,Généralisation hâtive,0.95,C’est une forme spécifique de généralisation hâtive fondée sur un nombre trop faible d’exemples.,
"3,11111",Appel aux petits nombres,crossLink,IsRelatedTo,1,Insuffisance,0.65,Le défaut central est que quelques exemples ne constituent pas une preuve suffisante pour établir une règle générale.,
"3,11111",Appel aux petits nombres,AIF_skosDirectRef,,Example_Inference,,,skos:closeMatch,
"3,11111",Appel aux petits nombres,AIF_skosDirectRef,,InductiveInference_Scheme,,,skos:closeMatch,
"3,11112",Insensibilité à la taille de l'échantillon,crossLink,Allows,3.1.1.1.1.1,Appel aux petits nombres,0.9,"Ignoring sample size makes it possible to treat a few cases as probative, which is the mechanism of appeal to small numbers.",
"3,11112",Insensibilité à la taille de l'échantillon,crossLink,Allows,3.1.1.1.1,Généralisation hâtive,0.88,Neglecting the smallness of a sample creates the opening for drawing an overbroad generalization from insufficient data.,
"3,11112",Insensibilité à la taille de l'échantillon,crossLink,IsRelatedTo,1,Insuffisance,0.72,A sample whose size is not considered may provide insufficient support for the conclusion.,
"3,11112",Insensibilité à la taille de l'échantillon,crossLink,IsRelatedTo,3,Erreur mathématique,0.68,"The error concerns quantitative evaluation of evidence reliability, though it need not involve a formal calculation mistake.",
"3,11112",Insensibilité à la taille de l'échantillon,AIF_skosExceptionRef,,InductiveInference_Scheme,,,skos:broadMatch,
"3,13211",Paradoxe de Simpson,crossLink,Mirrors,3.1.3.2.1.4,Confusion des plans de corrélation,0.78,"Both concern a mismatch between relationships observed at different aggregation levels, with Simpson’s paradox specifically involving reversal after aggregation.",
"3,13211",Paradoxe de Simpson,crossLink,IsRelatedTo,3.1.3.2.1.3,Confusion entre la moyenne du tout et celle de la partie,0.72,Both are statistical aggregation errors involving mistaken movement between whole-group and subgroup quantities.,
"3,13211",Paradoxe de Simpson,crossLink,IsRelatedTo,3.1.3.2.1,Erreur écologique,0.58,"Both involve misleading use of grouped statistics, though ecological error applies group data to individuals whereas Simpson’s paradox concerns aggregate-versus-stratified trends.",
"3,13211",Paradoxe de Simpson,crossLink,IsRelatedTo,3,Erreur mathématique,0.9,Simpson’s paradox is a quantitative/statistical reasoning error when aggregation hides relevant variables.,
"3,13211",Paradoxe de Simpson,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"3,13211",Paradoxe de Simpson,AIF_skosExceptionRef,,OtherCausalFactorsInvolved_Conflict,,,skos:broadMatch,
"4,1111",Cercle cartésien,crossLink,Leverages,4.1.1.1,Argument circulaire,0.95,"Le cercle cartésien est une forme spécifique d’argument circulaire, où la prémisse dépend déjà de l’acceptation de la conclusion.",
"4,1111",Cercle cartésien,crossLink,IsRelatedTo,4,Erreur de raisonnement,0.7,"Le cercle cartésien relève plus largement d’une erreur de raisonnement, car il rend la justification inférentielle incohérente ou non probante.",
"4,1111",Cercle cartésien,AIF_skosDirectRef,,Deductive_Inference,,,skos:broadMatch,
"4,112",Question piège,crossLink,Leverages,4.1.1,Pétition de principe,0.9,"A loaded question works by presupposing as already accepted a premise that is precisely in dispute, which is a form of begging the question.",
"4,112",Question piège,crossLink,Leverages,5,Abus de langage,0.74,The fallacy typically exploits linguistic presupposition in the wording of the question to smuggle in a contested claim.,
"4,112",Question piège,crossLink,IsRelatedTo,4.1.1.5,Soutien infondé,0.62,"Both involve treating an unproven or disputed underlying state of affairs as if it were established, though one does so by questioning and the other by explanation.",
"4,112",Question piège,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:broadMatch,
"4,112",Question piège,AIF_skosDirectRef,,Commitment_Inference,,,skos:broadMatch,
"4,112",Question piège,AIF_skosExceptionRef,,PropertyNotExistant_Conflict,,,skos:broadMatch,
"4,13111",Négation de l'antécédent,crossLink,Leverages,4.1.3.1.1,Sophisme de la cause unique,0.78,"Denial of the antecedent treats the stated antecedent as if it were the sole necessary cause of the consequent, which is the core confusion in the single-cause fallacy.",
"4,13111",Négation de l'antécédent,crossLink,IsRelatedTo,4,Erreur de raisonnement,0.7,It is a paradigmatic reasoning error: the conclusion does not follow from the conditional premise and the negation of its antecedent.,
"4,13111",Négation de l'antécédent,crossLink,IsRelatedTo,1,Insuffisance,0.55,"The premises are insufficient to rule out the conclusion, since other causes may still produce the same effect.",
"4,13111",Négation de l'antécédent,AIF_skosDirectRef,,Deductive_Inference,,,skos:broadMatch,
"4,13111",Négation de l'antécédent,AIF_skosExceptionRef,,OtherCausalFactorsInvolved_Conflict,,,skos:broadMatch,
"4,13112",Personnalisation,crossLink,Leverages,4.1.3.1.1,Sophisme de la cause unique,0.82,La personnalisation est une variante égocentrée de l’attribution d’un résultat complexe à une cause unique : soi-même.,
"4,13112",Personnalisation,crossLink,IsRelatedTo,4,Erreur de raisonnement,0.55,Elle relève plus généralement d’une erreur de raisonnement causal et d’attribution de responsabilité.,
"4,13112",Personnalisation,AIF_skosDirectRef,,CauseToEffect_Inference,,,skos:broadMatch,
"4,13112",Personnalisation,AIF_skosExceptionRef,,OtherCausalFactorsInvolved_Conflict,,,skos:broadMatch,
"5,111",Défaut d'élucidation,crossLink,IsRelatedTo,5.1.1.2,Indéfinissabilité,0.78,"An over-complex definition can functionally leave the crucial concept unclear, though the problem is obscurity rather than total absence of definition.",
"5,111",Défaut d'élucidation,crossLink,Leverages,5.1.1,Acception vague,0.72,Obscurantist definitions often exploit vagueness or imprecision while appearing technically precise.,
"5,111",Défaut d'élucidation,crossLink,IsRelatedTo,5,Abus de langage,0.7,The fallacy is a linguistic abuse: definitional complexity is used to hinder understanding rather than clarify meaning.,
"5,111",Défaut d'élucidation,AIF_skosDirectRef,,VagueVerbalClassification_Inference,,,skos:broadMatch,
"5,111",Défaut d'élucidation,AIF_skosDirectRef,,VerbalClassification_Inference,,,skos:broadMatch,
"5,113",Concept essentiellement contesté,crossLink,Leverages,5.1.1.2,Indéfinissabilité,0.82,An essentially contested concept typically exploits the absence of a stable agreed definition for a crucial term.,
"5,113",Concept essentiellement contesté,crossLink,IsRelatedTo,5.1.1,Acception vague,0.76,Essential contestability is a specific way in which verbal vagueness or semantic indeterminacy can affect an argument.,
"5,113",Concept essentiellement contesté,crossLink,IsRelatedTo,5,Abus de langage,0.61,Using an inherently disputed concept can function as a linguistic abuse when it obscures rather than clarifies the issue.,
"5,113",Concept essentiellement contesté,AIF_skosDirectRef,,VagueVerbalClassification_Inference,,,skos:broadMatch,
"5,113",Concept essentiellement contesté,AIF_skosDirectRef,,VerbalClassification_Inference,,,skos:broadMatch,
"5,12221",Distinction fantôme,crossLink,IsRelatedTo,5.1.2.2.2,Déni du corrélatif,0.82,A phantom distinction is a special case of evading a binary/correlative issue by inventing an unwarranted third-seeming option.,
"5,12221",Distinction fantôme,crossLink,Leverages,5,Abus de langage,0.78,The fallacy works by exploiting linguistic or conceptual subtlety to make an insignificant difference appear substantive.,
"5,12221",Distinction fantôme,crossLink,Mirrors,5.1.2.2.2.2,Conjugaison émotive,0.62,"Both recast essentially the same thing through wording; emotive conjugation does so evaluatively, while phantom distinction does so conceptually.",
"5,12221",Distinction fantôme,AIF_skosDirectRef,,ArbitraryVerbalClassification_Inference,,,skos:closeMatch,
"5,12221",Distinction fantôme,AIF_skosExceptionRef,,PropertyNotExistant_Conflict,,,skos:closeMatch,
"5,12222",Conjugaison émotive,crossLink,Leverages,5.1.2.2.2.1,Distinction fantôme,0.86,Emotive conjugation insinuates a significant difference between the same behavior by choosing differently valenced verbs.,
"5,12222",Conjugaison émotive,crossLink,Leverages,5,Abus de langage,0.82,The fallacy works through a linguistic choice that smuggles evaluation into description.,
"5,12222",Conjugaison émotive,crossLink,Leverages,2,Influence,0.7,Loaded verb choice manipulates the audience’s attitude toward the person rather than adding substantive reasons.,
"5,12222",Conjugaison émotive,AIF_skosDirectRef,,VerbalClassification_Inference,,,skos:broadMatch,
"5,12222",Conjugaison émotive,AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"6,111",Semi-vérité,crossLink,Leverages,6.1.1,Mensonge,0.78,A half-truth typically gains its distorting force by embedding at least one knowingly false assertion within true material.,bad_map:skos:relatedMatch
"6,111",Semi-vérité,crossLink,IsRelatedTo,6.1.1.1.1,Déformation,0.86,Both concern misleadingly inaccurate presentation of reality; half-truth is a common way to produce such distortion.,bad_map:skos:relatedMatch
"6,111",Semi-vérité,crossLink,Leverages,6.1.1.1.4,Prémisse fausse,0.68,"When the false component functions as a basis for the conclusion, the half-truth relies on a false premise.",bad_map:skos:relatedMatch
"6,111",Semi-vérité,crossLink,IsRelatedTo,6.1.1.1.6,Limitation des dommages,0.74,Damage limitation is a nearby selective-truth tactic: it concedes some truths while suppressing or denying others to preserve an argument.,bad_map:skos:relatedMatch
"6,111",Semi-vérité,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:relatedMatch,bad_map:skos:relatedMatch
"6,111",Semi-vérité,AIF_skosExceptionRef,,WeakestLink_Conflict,,,skos:relatedMatch,bad_map:skos:relatedMatch
"6,1111",Déformation,crossLink,Leverages,6.1.1.1,Semi-vérité,0.75,"A distortion often works by mixing true elements with false or misleading ones, which is the mechanism of a semi-truth.",
"6,1111",Déformation,crossLink,Leverages,6.1.1.1.1.1,Minimisation,0.7,"Misrepresentation can be produced by downplaying relevant facts or implications, which is minimization.",
"6,1111",Déformation,crossLink,Leverages,6.1.1.1.1.2,Exagération,0.7,"Misrepresentation can be produced by overstating selected aspects of a position or situation, which is exaggeration.",
"6,1111",Déformation,crossLink,Leverages,6.1.1.1.4,Prémisse fausse,0.6,A distorted presentation commonly introduces or depends on a false premise about the situation or opponent's view.,
"6,1111",Déformation,AIF_skosDirectRef,,BiasedClassification_Conflict,,,skos:closeMatch,
"6,1111",Déformation,AIF_skosDirectRef,,Commitment_Conflict,,,skos:closeMatch,
"6,11111",Minimisation,crossLink,Inverts,6.1.1.1.1.2,Exagération,0.9,Minimisation and exaggeration use the same distortion of salience but in opposite directions.,
"6,11111",Minimisation,crossLink,IsRelatedTo,6.1.1.1.1.3,Amplification et minimisation,0.82,"The paired pattern explicitly combines amplification with minimisation, partially overlapping the source fallacy.",
"6,11111",Minimisation,crossLink,Leverages,6.1.1.1.1,Déformation,0.78,"Minimisation works by presenting the situation inaccurately, making it a specific way of deforming the issue.",
"6,11111",Minimisation,AIF_skosDirectRef,,VagueVerbalClassification_Inference,,,skos:broadMatch,
"6,11111",Minimisation,AIF_skosDirectRef,,ArbitraryVerbalClassification_Inference,,,skos:broadMatch,
"6,11112",Exagération,crossLink,Inverts,6.1.1.1.1.1,Minimisation,0.9,Exaggeration and minimisation are mirror distortions of magnitude in opposite directions.,
"6,11112",Exagération,crossLink,IsRelatedTo,6.1.1.1.1.3,Amplification et minimisation,0.88,"Amplification et minimisation explicitly includes exaggerating the importance of problems, overlapping with exagération.",
"6,11112",Exagération,crossLink,Leverages,6.1.1.1.1,Déformation,0.72,"Exaggeration works by presenting a situation inaccurately, which is a form of deformation.",
"6,11112",Exagération,crossLink,Allows,6.1.1.1.1.2.1,Homme de paille,0.62,"Exaggerating an opponent’s position can enable a straw-man caricature, though not every exaggeration targets an opponent.",
"6,11112",Exagération,AIF_skosDirectRef,,FearAppeal_Inference,,,skos:broadMatch,
"6,11112",Exagération,AIF_skosExceptionRef,,IrrationalFearAppeal_Conflict,,,skos:broadMatch,
"7,111",Sophisme subjectiviste,crossLink,Leverages,7.1.1,Relativisme abusif,0.9,Le sophisme subjectiviste repose sur l’idée relativiste abusive que la vérité peut varier selon les individus.,
"7,111",Sophisme subjectiviste,crossLink,IsRelatedTo,7.1.1.1.2,Droit à mon opinion,0.62,"Les deux procédés protègent une position personnelle contre l’exigence de justification factuelle, même si le mécanisme exact diffère.",
"7,111",Sophisme subjectiviste,crossLink,IsRelatedTo,1,Insuffisance,0.55,Affirmer être une exception personnelle sans preuve ne suffit pas à établir que la règle générale ne s’applique pas.,
"7,111",Sophisme subjectiviste,AIF_skosDirectRef,,ExceptionalCase_Inference,,,skos:closeMatch,
"7,111",Sophisme subjectiviste,AIF_skosExceptionRef,,ExceptionSimilarityCase_Conflict,,,skos:closeMatch,
"7,1111",Truthiness,crossLink,IsRelatedTo,7.1.1.1.2,Droit à mon opinion,0.78,"Both replace evidential justification with the asserted authority of a personal viewpoint, though truthiness rests on feeling rather than an explicit right to opinion.",
"7,1111",Truthiness,crossLink,IsRelatedTo,7.1.1.1,Sophisme subjectiviste,0.7,"Truthiness is a subjectivist move in which personal feeling is treated as truth, but it does not necessarily claim that truth varies between persons.",
"7,1111",Truthiness,crossLink,IsRelatedTo,1,Insuffisance,0.72,The fallacy is evidentially insufficient because subjective feeling is presented in place of concrete proof.,
"7,1111",Truthiness,AIF_skosDirectRef,,PositionToKnow_Inference,,,skos:broadMatch,
"7,1111",Truthiness,AIF_skosDirectRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"7,1111",Truthiness,AIF_skosExceptionRef,,LackOfPTKReliability_Scheme,,,skos:broadMatch,
"7,21111",Digression,crossLink,IsRelatedTo,7.2.1.1.1,Changement de sujet,0.92,Digression is a specific way of changing the subject to avoid or displace the issue under discussion.,
"7,21111",Digression,crossLink,Mirrors,7.2.1.1.1.4,Question absurde,0.72,"Both introduce irrelevant material to confuse or divert attention, though one does so by topic shift and the other by an absurd question.",
"7,21111",Digression,crossLink,IsRelatedTo,7.2.1.1.1.2,Interrompre et détourner le débat,0.65,"Both aim to divert the debate, but interruption adds a procedural obstruction absent from ordinary digression.",
"7,21111",Digression,crossLink,IsRelatedTo,7,Obstruction,0.78,Digression functions as an obstructive debating tactic because it prevents the discussion from proceeding on the intended issue.,
"7,21111",Digression,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:broadMatch,
"7,21112",Interrompre et détourner le débat,crossLink,Leverages,7.2.1.1.1.1,Digression,0.86,The tactic uses a digression to divert attention after blocking the opponent’s conclusion.,
"7,21112",Interrompre et détourner le débat,crossLink,Leverages,7.2.1.1.1,Changement de sujet,0.8,It relies on changing the subject as the core means of avoiding the contested point.,
"7,21112",Interrompre et détourner le débat,crossLink,IsRelatedTo,7.2.1.1.1.3,Changement de terrain,0.55,"Both avoid defeat by shifting the debate, though changing terrain concerns moving argumentative standards rather than interrupting.",
"7,21112",Interrompre et détourner le débat,crossLink,IsRelatedTo,7,Obstruction,0.72,The source is a procedural obstruction that prevents the discussion from unfolding normally.,
"7,21112",Interrompre et détourner le débat,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:broadMatch,
"7,21112",Interrompre et détourner le débat,AIF_skosExceptionRef,,RequiredSteps_Conflict,,,skos:broadMatch,
