# 847 release re-run 2026-08-28 — see 847-virtues-two-layer.md. MEASURE not verdict.
level,node,n_leaves,undercut,undermine,rebut,entropy_norm_a,homogeneity_ratio,native_scheme_n,fail_loud_rate_b,a_high,b_high,decision_rule_tag,n_gate
d3,Relation infondée,1,1,0,0,0.0,1.0,1,0.0,False,False,coherent,thin
d3,Relativisme abusif,1,0,0,1,0.0,1.0,0,1.0,False,True,B,thin
d3,Repoussoir,2,0,2,0,0.0,1.0,2,0.0,False,False,coherent,thin
d3,Sauvetage ad hoc,1,0,1,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Sophisme de l’accident,1,1,0,0,0.0,1.0,1,0.0,False,False,coherent,thin
d3,Sophisme d’Explication,1,0,1,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Sophisme d’association,2,2,0,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Sophisme génétique,1,0,1,0,0.0,1.0,1,0.0,False,False,coherent,thin
d3,Sophisme ludique,1,1,0,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Sophisme moraliste,1,1,0,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Sophisme naturaliste,1,1,0,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Syllogisme invalide,1,1,0,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Transfert illicite,1,1,0,0,0.0,1.0,0,1.0,False,True,B,thin
d3,Échantillon biaisé,1,0,1,0,0.0,1.0,0,1.0,False,True,B,thin
