source_dp,source_label,mappingType,bad_map_verdict,recommendation
"2,1321",Accumulation,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,13221",Épiphore,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1332",Paraphrase,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1341",Aposiopèse,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1345",Syllepse,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,136",Substitution,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1362",Astéisme,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,2123",Piège émotionnel,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,2133",Appel à la fierté,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,2234",Hyperbole forcée,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,3111",Objectif caché,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,312",Conditionnement opérant,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,3124",Renforcement Intermittent,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,3151",Induction hypnotique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,3152",Message subliminal,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,322112",Amorçage,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,322113",Ce-n'est-pas-tout,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,3221211",Porte-au-nez,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,322122",Pied-dans-la-bouche,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,3224",Appel au dernier effort,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,323",Jeu psychologique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,323231",Sealioning,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,324",Conditionnement social,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,3241",Abus de pouvoir,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,32422",Frapper le chat,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,32423",Kiss up kick down,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,32424",Sycophantie,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,332",Chronémique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,334231",Poignée de main,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,334234",Salut romain,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,33424",Idéologique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,334243",Imposition des mains,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,334252",High five,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"3,1231",Stéréotype,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"3,232",Mauvais argument de la régression infinie,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"3,323",Erreur numérique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"4,124",Contre-induction erronée,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"4,3111",Sophisme génétique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"4,3311",Milieu non distribué,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,11112",Exagération,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,1115",Faux effet,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,11216",Lance à incendie de mensonges,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,1131",Contre-vérité ironique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,2262",Départ optionnel,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,311121211",Effet d'humour,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,311131",Effet suivant-en-ligne,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,311235",Sophisme animiste,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,31211212",Amplification et minimisation,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,312313",Biais de croyance,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,3123222",Avoir toujours raison,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,3213",Biais de proportionnalité,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,322244",Evasion,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,322246",Appropriation culturelle,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,3323",Radicalisme politique,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"6,3325",Extrémisme,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"7,1211",Argument autocollant,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"7,1332",Delenda Carthago,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"7,2123",Gish gallop,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"7,2124",Ignorer la question,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
