"# AIF structural-homogeneity acompte (#847) — PROJECTED = 145 prod + 8 Layer-C cluster leaf propositions (docs-only, NOT yet in prod CSV). Illustrative only. MEASURE not verdict. GATED jsboige ratification. 0 prod CSV."
"# (a)=attack-type Shannon-entropy normalised [0..1], a_high>= 0.5. (b)=fail-loud rate (no native _Inference scheme in DirectRef/Exc or annotation scheme cols), b_high>=0.5. (c)=DEFER."
level,node,n_leaves,undercut,undermine,rebut,entropy_norm_a,homogeneity_ratio,native_scheme_n,fail_loud_rate_b,a_high,b_high,decision_rule_tag
sub-sub(d3),Ambiguïté narrative,11,10,1,0,0.439,0.909,0,1.0,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Amphibologie,6,6,0,0,-0.0,1.0,0,1.0,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Attaque personnelle,8,0,8,0,-0.0,1.0,8,0.0,False,False,coherent: mechanism-coherent (no action)
sub-sub(d3),Biais culturels,3,1,2,0,0.918,0.667,1,0.667,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Biais naturels,8,3,5,0,0.954,0.625,5,0.375,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
sub-sub(d3),Comparaison abusive,3,2,1,0,0.918,0.667,0,1.0,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Complication exagérée,7,5,2,0,0.863,0.714,3,0.571,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Définition inconsistante,5,5,0,0,-0.0,1.0,0,1.0,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Effet cigogne,7,7,0,0,-0.0,1.0,5,0.286,False,False,coherent: mechanism-coherent (no action)
sub-sub(d3),Empoisonner le puits,4,0,4,0,-0.0,1.0,3,0.25,False,False,coherent: mechanism-coherent (no action)
sub-sub(d3),Equivoque,13,12,1,0,0.391,0.923,2,0.846,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Fausse analogie,4,3,1,0,0.811,0.75,1,0.75,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Inconsistance,7,0,7,0,-0.0,1.0,7,0.0,False,False,coherent: mechanism-coherent (no action)
sub-sub(d3),Justification triviale,3,3,0,0,-0.0,1.0,2,0.333,False,False,coherent: mechanism-coherent (no action)
sub-sub(d3),Opération inappropriée,6,5,1,0,0.65,0.833,0,1.0,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Procès en inconsistance,4,0,0,4,-0.0,1.0,1,0.75,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Relativisme abusif,5,0,0,5,-0.0,1.0,1,0.8,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Sophisme de l'accident,7,7,0,0,-0.0,1.0,7,0.0,False,False,coherent: mechanism-coherent (no action)
