virtue_iri_fragment,argument_scheme
respectfulTone,argumentFromCommitment
stayingOnTopic,argumentFromCommitment
transparency,argumentFromCommitment
dramaticRestraint,argumentFromConsequences
noBlackmailThroughConsequences,argumentFromConsequences
takingAllottedTimeIntoAccount,argumentFromConsequences
identifyingWarningSigns,argumentFromDanger
inductiveArgument,argumentFromExample
justifiedGeneralizations,argumentFromExample
providingExamples,argumentFromExample
representativeSampling,argumentFromExample
appropriateTechnicalTerminology,argumentFromExpertOpinion
competentAuthority,argumentFromExpertOpinion
domainExpert,argumentFromExpertOpinion
providingCitations,argumentFromExpertOpinion
scientificPublication,argumentFromExpertOpinion
validatedConclusion,argumentFromExpertOpinion
citingSources,argumentFromPositionToKnow
confirmedInformation,argumentFromPositionToKnow
credibleSources,argumentFromPositionToKnow
discursiveAdaptation,argumentFromPositionToKnow
independentSources,argumentFromPositionToKnow
reliablePremises,argumentFromPositionToKnow
reputableJournal,argumentFromPositionToKnow
wellEvaluatedSource,argumentFromPositionToKnow
appropriateLevelOfProof,argumentFromRule
bamalipSyllogism,argumentFromRule
barbaraSyllogism,argumentFromRule
barocoSyllogism,argumentFromRule
bocardoSyllogism,argumentFromRule
camenesSyllogism,argumentFromRule
camestresSyllogism,argumentFromRule
celarentSyllogism,argumentFromRule
cesareSyllogism,argumentFromRule
coherentDemonstration,argumentFromRule
conclusiveReasoning,argumentFromRule
correctAnalyticalReasoning,argumentFromRule
daraptiSyllogism,argumentFromRule
dariiSyllogism,argumentFromRule
datisiSyllogism,argumentFromRule
deductiveArgument,argumentFromRule
dimatisSyllogism,argumentFromRule
disamisSyllogism,argumentFromRule
felaptonSyllogism,argumentFromRule
ferioSyllogism,argumentFromRule
ferisonSyllogism,argumentFromRule
fesapoSyllogism,argumentFromRule
festinoSyllogism,argumentFromRule
finiteSupport,argumentFromRule
formalValidity,argumentFromRule
fourthFigureSyllogism,argumentFromRule
fresisonSyllogism,argumentFromRule
independenceOfPremisesFromTheConclusion,argumentFromRule
inference:ConjunctionElimination,argumentFromRule
inference:ConjunctionIntroduction,argumentFromRule
inference:DoubleNegation,argumentFromRule
inference:ModusPonens,argumentFromRule
inference:ModusTollens,argumentFromRule
inference:ReductioAdAbsurdum,argumentFromRule
inference:Resolution,argumentFromRule
inference:UnitResolution,argumentFromRule
nonComplacentObjective,argumentFromRule
perfectModeSyllogism,argumentFromRule
properUseOfModalities,argumentFromRule
realisticDemands,argumentFromRule
resolutionPrinciple,argumentFromRule
rigorousConstructionOfStatements,argumentFromRule
simpleInference,argumentFromRule
stepwiseReasoning,argumentFromRule
syllogismOfTheSecondFigure,argumentFromRule
takingExceptionsIntoAccount,argumentFromRule
thirdFigureSyllogism,argumentFromRule
validOperations,argumentFromRule
validSyllogism,argumentFromRule
wellFormedPropositionalStatements,argumentFromRule
acceptableInformalLogic,argumentFromSign
acceptanceOfUncertainty,argumentFromSign
adequateInterpretationOfData,argumentFromSign
bayesianReasoning,argumentFromSign
clearPresentationOfData,argumentFromSign
correctSyntheticReasoning,argumentFromSign
empiricalEvidence,argumentFromSign
establishedCorrelations,argumentFromSign
exactCalculations,argumentFromSign
fairInterpretation,argumentFromSign
focusOnTheEssentials,argumentFromSign
geometricAccuracy,argumentFromSign
groundedArgument,argumentFromSign
masteredProbabilities,argumentFromSign
methodicalEstimation,argumentFromSign
numericalAccuracy,argumentFromSign
preciseMeasurements,argumentFromSign
quantitativeReasoning,argumentFromSign
realArgument,argumentFromSign
recognitionOfAnObjectiveReality,argumentFromSign
relevantArgument,argumentFromSign
relevantAssociation,argumentFromSign
suspensionOfJudgment,argumentFromSign
tangibleEvidence,argumentFromSign
validResults,argumentFromSign
verifiedFacts,argumentFromSign
acceptableRhetoric,argumentFromValues
contextAppropriateHumor,argumentFromValues
emotionalBalance,argumentFromValues
inclusiveHumor,argumentFromValues
respectfulHumor,argumentFromValues
searchForCompromise,argumentFromValues
tastefulHumour,argumentFromValues
universalism,argumentFromValues
appropriateComplexity,argumentFromVerbalClassification
appropriateVocabulary,argumentFromVerbalClassification
clearDefinitions,argumentFromVerbalClassification
clearMeanings,argumentFromVerbalClassification
clearSyntax,argumentFromVerbalClassification
conciseLanguage,argumentFromVerbalClassification
conformingDefinition,argumentFromVerbalClassification
consistentDefinition,argumentFromVerbalClassification
correctGrammar,argumentFromVerbalClassification
correctPunctuation,argumentFromVerbalClassification
eloquenceInTheServiceOfTruth,argumentFromVerbalClassification
eloquentRhetoric,argumentFromVerbalClassification
justifiedTechnicalTerminology,argumentFromVerbalClassification
lexicalPrecision,argumentFromVerbalClassification
linguisticClarity,argumentFromVerbalClassification
measuredUseOfJargon,argumentFromVerbalClassification
preciseLanguage,argumentFromVerbalClassification
principleOfClarity,argumentFromVerbalClassification
topologicalAccuracy,argumentFromVerbalClassification
unambiguousExpressions,argumentFromVerbalClassification
wellFormedQuantifiedStatements,argumentFromVerbalClassification
clearNarration,argumentFromWitnessTestimony
fairAttribution,argumentFromWitnessTestimony
fidelityToFacts,argumentFromWitnessTestimony
fullDisclosure,argumentFromWitnessTestimony
honestPresentation,argumentFromWitnessTestimony
intellectualHonesty,argumentFromWitnessTestimony
sufficientLevelOfProof,argumentFromWitnessTestimony
truthOfFacts,argumentFromWitnessTestimony
uncontroversialTestimony,argumentFromWitnessTestimony
valuingTheProvenanceOfIdeas,argumentFromWitnessTestimony
