attacker_pk,attacker_label,family,subfamily,subsubfamily,decimal_path,attack_type,attacked_node_type,skos_direct_ref,skos_exception_ref,skos_mapping_type,expected_node_type,node_type_axiom_ok
28,Interprétation juste,Argument pertinent,Interprétation juste,,1.3000000,undercut,RA-node,Argument from Sign,,L’interprétation prend-elle en compte tous les éléments pertinents sans sélection ni distorsion biaisée ?,RA-node,1
29,Complexité adaptée,Argument pertinent,Interprétation juste,Complexité adaptée,1.3100000,undercut,RA-node,Argument from Verbal Classification,,Le niveau de complexité retenu correspond-il réellement à la nature du sujet ?,RA-node,1
30,Interprétation non partisane,Argument pertinent,Interprétation juste,Interprétation non partisane,1.3200000,undercut,RA-node,Argument from Bias,,L'interprétation examine-t-elle les informations sans biais partisan déterminant ?,RA-node,1
31,Représentation parcimonieuse,Argument pertinent,Interprétation juste,Représentation parcimonieuse,1.3300000,undercut,RA-node,Argument from Cause to Effect,,L'explication est-elle aussi simple que possible sans perdre les éléments nécessaires à la compréhension ?,RA-node,1
32,Rasoir d'Ockham,Argument pertinent,Interprétation juste,Représentation parcimonieuse,1.3310000,undercut,RA-node,Argument from Cause to Effect,,"Parmi les explications disponibles, la plus simple rend-elle adéquatement compte des faits ?",RA-node,1
33,Rasoir de Hanlon,Argument pertinent,Interprétation juste,Représentation parcimonieuse,1.3320000,undercut,RA-node,Argument from Cause to Effect,,L'intention attribuée est-elle la meilleure explication causale des faits observés ?,RA-node,1
34,Présentation intègre,Présentation intègre,,,2.0000000,undermine,I-node,Argument from Witness Testimony,,Le témoin ou l'orateur dit-il la vérité et attribue-t-il correctement les propos ou les preuves qu'il présente ?,I-node,1
35,Rhétorique acceptable,Présentation intègre,Rhétorique acceptable,,2.1000000,undercut,RA-node,Argument from Values,,Le procédé rhétorique sert-il une valeur argumentative légitime sans manipuler l’auditeur ?,RA-node,1
36,Rhétorique éloquente,Présentation intègre,Rhétorique acceptable,Rhétorique éloquente,2.1100000,undermine,I-node,Argument from Verbal Classification,,La formulation renforce-t-elle la clarté sans orienter indûment l'adhésion ?,I-node,1
37,Adaptation discursive,Présentation intègre,Rhétorique acceptable,Rhétorique éloquente,2.1110000,undercut,RA-node,Argument from Position to Know,,L'adaptation à l'auditoire respecte-t-elle l'information pertinente sans la sélectionner pour plaire ?,RA-node,1
38,Vocabulaire approprié,Présentation intègre,Rhétorique acceptable,Rhétorique éloquente,2.1120000,undercut,RA-node,Argument from Verbal Classification,,Les termes employés classent-ils correctement et précisément ce dont on parle ?,RA-node,1
39,Jargon mesuré,Présentation intègre,Rhétorique acceptable,Rhétorique éloquente,2.1121000,undercut,RA-node,Argument from Verbal Classification,,"Le vocabulaire spécialisé est-il nécessaire, proportionné et compréhensible ?",RA-node,1
40,Termes techniques justifiés,Présentation intègre,Rhétorique acceptable,Rhétorique éloquente,2.1122000,undercut,RA-node,Argument from Verbal Classification,,Les termes techniques indispensables sont-ils définis de façon claire et cohérente ?,RA-node,1
41,Vocabulaire neutre,Présentation intègre,Rhétorique acceptable,Rhétorique éloquente,2.1123000,undercut,RA-node,Argument from Bias,,La formulation est-elle exempte de connotations biaisées qui orientent injustement le jugement ?,RA-node,1
42,Langage respectueux,Présentation intègre,Rhétorique acceptable,Rhétorique éloquente,2.1130000,undercut,RA-node,Argument from Commitment,,Le langage respecte-t-il les interlocuteurs tout en restant pertinent pour la discussion ?,RA-node,1
43,Humour de bon goût,Présentation intègre,Rhétorique acceptable,Humour de bon goût,2.1200000,undercut,RA-node,Argument from Values,,L'humour sert-il une valeur de clarté ou de convivialité sans offenser ni détourner l'argument ?,RA-node,1
44,Humour adapté au contexte,Présentation intègre,Rhétorique acceptable,Humour de bon goût,2.1210000,undercut,RA-node,Argument from Values,,L'humour est-il adapté au contexte et aux sensibilités légitimes de l'auditoire ?,RA-node,1
45,Humour respectueux,Présentation intègre,Rhétorique acceptable,Humour de bon goût,2.1220000,undercut,RA-node,Argument from Values,,L'humour respecte-t-il les personnes visées et laisse-t-il intacte la discussion des raisons ?,RA-node,1
46,Autodérision éclairée,Présentation intègre,Rhétorique acceptable,Humour de bon goût,2.1221000,undercut,RA-node,Argument from Commitment,,L'autodérision favorise-t-elle une discussion ouverte plutôt qu'une stratégie de domination ou de connivence ?,RA-node,1
47,Humour inclusif,Présentation intègre,Rhétorique acceptable,Humour de bon goût,2.1230000,undercut,RA-node,Argument from Values,,L'humour inclut-il l'auditoire sans exploiter de stéréotypes ni exclure des personnes ?,RA-node,1
48,Style adapté,Présentation intègre,Rhétorique acceptable,Style adapté,2.1300000,undercut,RA-node,Argument from Analogy,,Le style ou l'image employés éclairent-ils réellement le propos sans le rendre ambigu ?,RA-node,1
49,Éloquence véridique,Présentation intègre,Rhétorique acceptable,Style adapté,2.1310000,undermine,I-node,Argument from Verbal Classification,,L'expression éloquente demeure-t-elle fidèle au contenu initial de l'argument ?,I-node,1
50,Figures soutenant la clarté,Présentation intègre,Rhétorique acceptable,Style adapté,2.1311000,undercut,RA-node,Argument from Analogy,,La figure de style rend-elle l'argument plus intelligible sans créer d'ambiguïté ?,RA-node,1
51,Équilibre émotionnel,Présentation intègre,Equilibre émotionnel,,2.2000000,undercut,RA-node,Argument from Values,,L’appel émotionnel reste-t-il proportionné et compatible avec une évaluation rationnelle de l’argument ?,RA-node,1
52,Neutralité émotionnelle,Présentation intègre,Equilibre émotionnel,Connexion émotionnelle neutre,2.2100000,undercut,RA-node,Argument from Bias,,L'adhésion recherchée repose-t-elle sur des raisons plutôt que sur une complicité émotionnelle biaisée ?,RA-node,1
53,Sobriété dramatique,Présentation intègre,Equilibre émotionnel,Réticence dramatique,2.2200000,rebut,CA-node,Argument from Consequences,,"Les conséquences sont-elles présentées avec proportion, sans dramatisation qui fausse leur probabilité ou leur gravité ?",CA-node,1
54,Sans chantage aux conséquences,Présentation intègre,Equilibre émotionnel,Pas de chantage par les conséquences,2.2300000,rebut,CA-node,Argument from Consequences,,Les conséquences invoquées sont-elles pertinentes sans servir de menace ni de chantage ?,CA-node,1
55,Communication authentique,Présentation intègre,Communication authentique,,2.3000000,undermine,I-node,Argument from Commitment,,Les positions exprimées sont-elles sincères et répondent-elles loyalement aux arguments de l’autre ?,I-node,1
56,Transparence,Présentation intègre,Communication authentique,Transparence,2.3100000,undermine,I-node,Argument from Commitment,,Les intentions et informations pertinentes sont-elles déclarées franchement plutôt que dissimulées ?,I-node,1
57,Neutralité bienveillante,Présentation intègre,Communication authentique,Neutralité bienveillante,2.3200000,undercut,RA-node,Argument from Bias,,La posture envers l'autre est-elle libre de stratégie d'emprise ou d'ascendant psychologique ?,RA-node,1
58,Posture appropriée,Présentation intègre,Communication authentique,Posture appropriée,2.3300000,undercut,RA-node,Argument from Commitment,,La posture et les comportements soutiennent-ils loyalement la discussion sans exercer d'influence indue ?,RA-node,1
59,Rigueur mathématique,Rigueur mathématique,,,3.0000000,undercut,RA-node,Argument from Sign,,Le signe quantitatif invoqué est-il calculé correctement et constitue-t-il un indicateur fiable de la conclusion ?,RA-node,1
60,Généralisations justifiées,Rigueur mathématique,Généralisations justifiées,,3.1000000,undercut,RA-node,Argument from Example,,"L’échantillon est-il représentatif, suffisant et analysé objectivement pour justifier la généralisation ?",RA-node,1
61,Échantillonnage représentatif,Rigueur mathématique,Généralisations justifiées,Echantillonnage représentatif,3.1100000,undercut,RA-node,Argument from Example,,L'échantillon est-il suffisamment représentatif de la population étudiée ?,RA-node,1
62,Prise en compte des exceptions,Rigueur mathématique,Généralisations justifiées,Prise en compte des exceptions,3.1200000,undercut,RA-node,Argument from Rule,,La règle générale tient-elle compte des exceptions pertinentes ?,RA-node,1
63,Transfert licite,Rigueur mathématique,Généralisations justifiées,Transfert licite,3.1300000,undercut,RA-node,Argument from Analogy,,Les similitudes entre les domaines justifient-elles réellement le transfert de la généralisation ?,RA-node,1
64,Interprétation rigoureuse des données,Rigueur mathématique,Interprétation adéquate des données,,3.2000000,undercut,RA-node,Argument from Sign,,"Les données invoquées sont-elles représentatives, correctement traitées et statistiquement fiables ?",RA-node,1
65,Corrélations avérées,Rigueur mathématique,Interprétation adéquate des données,Corrélations avérées,3.2100000,undercut,RA-node,Argument from Sign,,La corrélation observée est-elle statistiquement fiable et interprétée sans causalité abusive ?,RA-node,1
66,Estimation méthodique,Rigueur mathématique,Interprétation adéquate des données,Corrélations avérées,3.2110000,undercut,RA-node,Argument from Sign,,La méthode d'estimation utilisée est-elle appropriée aux données et à l'incertitude mesurée ?,RA-node,1
67,Probabilités maîtrisées,Rigueur mathématique,Interprétation adéquate des données,Probabilités maîtrisées,3.2200000,undercut,RA-node,Argument from Sign,,Les probabilités sont-elles calculées et interprétées conformément aux principes probabilistes ?,RA-node,1
68,Indépendance des événements,Rigueur mathématique,Interprétation adéquate des données,Probabilités maîtrisées,3.2210000,undercut,RA-node,Argument from Cause to Effect,,"Les événements sont-ils réellement indépendants, sans influence probabiliste de l'un sur l'autre ?",RA-node,1
69,Raisonnement bayésien,Rigueur mathématique,Interprétation adéquate des données,Probabilités maîtrisées,3.2220000,undercut,RA-node,Argument from Sign,,La probabilité de l'hypothèse est-elle correctement mise à jour à partir des nouvelles données ?,RA-node,1
70,Support fini,Rigueur mathématique,Interprétation adéquate des données,Analyse sur support fini,3.2300000,undercut,RA-node,Argument from Rule,,L'espace des résultats possibles est-il bien fini et correctement délimité ?,RA-node,1
71,Résultats valides,Rigueur mathématique,Résultats valides,,3.3000000,undercut,RA-node,Argument from Sign,,"Les résultats sont-ils correctement calculés, reproductibles et cohérents avec les méthodes employées ?",RA-node,1
72,Mesures précises,Rigueur mathématique,Résultats valides,Mesures précises,3.3100000,undercut,RA-node,Argument from Sign,,La précision des mesures est-elle adaptée à l'objectif de l'étude ?,RA-node,1
73,Données claires,Rigueur mathématique,Résultats valides,Mesures précises,3.3110000,undermine,I-node,Argument from Sign,,"Les données sont-elles assez claires, structurées et vérifiables pour soutenir l'interprétation ?",I-node,1
74,Calculs exacts,Rigueur mathématique,Résultats valides,Calculs exacts,3.3200000,undercut,RA-node,Argument from Sign,,"Les calculs, arrondis et mesures utilisés sont-ils exacts et pertinents pour le résultat ?",RA-node,1
75,Exactitude numérique,Rigueur mathématique,Résultats valides,Calculs exacts,3.3210000,undercut,RA-node,Argument from Sign,,"Les nombres utilisés sont-ils choisis, traités et arrondis avec la rigueur requise ?",RA-node,1
76,Justesse géométrique,Rigueur mathématique,Résultats valides,Calculs exacts,3.3220000,undercut,RA-node,Argument from Sign,,La figure géométrique respecte-t-elle les règles et précisions nécessaires à la conclusion ?,RA-node,1
77,Exactitude topologique,Rigueur mathématique,Résultats valides,Calculs exacts,3.3230000,undercut,RA-node,Argument from Verbal Classification,,Les structures et relations topologiques sont-elles correctement caractérisées pour l'espace étudié ?,RA-node,1
78,Opérations valides,Rigueur mathématique,Résultats valides,Opérations valides,3.3300000,undercut,RA-node,Argument from Rule,,L'opération appliquée est-elle valide pour les objets mathématiques et le contexte considérés ?,RA-node,1
79,Raisonnement valide,Raisonnement valide,,,4.0000000,undercut,RA-node,Argument from Commitment,,La conclusion découle-t-elle réellement des prémisses acceptées selon une règle d’inférence valide ?,RA-node,1
80,Causalités bien identifiées,Raisonnement valide,Identification précise des causalités,,4.1000000,undercut,RA-node,Argument from Cause to Effect,,"La relation causale est-elle correctement établie, sans confondre cause, effet et simple corrélation ?",RA-node,1
81,Indépendance des prémisses,Raisonnement valide,Identification précise des causalités,Indépendance des prémisses de la conclusion,4.1100000,undercut,RA-node,Argument from Rule,,Les prémisses soutiennent-elles la conclusion sans la présupposer ?,RA-node,1
82,Causalité bien orientée,Raisonnement valide,Identification précise des causalités,Causalité correctement orientée,4.1200000,undercut,RA-node,Argument from Cause to Effect,,La direction causale invoquée est-elle correctement établie ?,RA-node,1
83,Exclusion des causes alternatives,Raisonnement valide,Identification précise des causalités,Exclusion de causes alternatives,4.1300000,undercut,RA-node,Argument from Cause to Effect,,Les causes alternatives plausibles ont-elles été examinées et écartées ?,RA-node,1
84,Énoncés rigoureux,Raisonnement valide,Construction rigoureuse des énoncés,,4.2000000,undercut,RA-node,Argument from Rule,,L’énoncé et l’inférence respectent-ils les règles syntaxiques et logiques du système employé ?,RA-node,1
85,Énoncés propositionnels,Raisonnement valide,Construction rigoureuse des énoncés,Enoncés propositionnels bien formés,4.2100000,undercut,RA-node,Argument from Rule,,Les énoncés propositionnels sont-ils formulés de façon claire et logique ?,RA-node,1
86,Énoncés quantifiés,Raisonnement valide,Construction rigoureuse des énoncés,Enoncés quantifiés bien formés,4.2200000,undercut,RA-node,Argument from Verbal Classification,,La portée des quantificateurs est-elle correctement déterminée ?,RA-node,1
87,Modalités adéquates,Raisonnement valide,Construction rigoureuse des énoncés,Utilisation adéquate des modalités,4.2300000,undercut,RA-node,Argument from Rule,,La modalité invoquée est-elle logiquement adéquate à l'énoncé ?,RA-node,1
88,Déductions correctes,Raisonnement valide,Déductions correctes,,4.3000000,undercut,RA-node,Argument from Commitment,,La conclusion découle-t-elle effectivement des prémisses selon une règle d’inférence valide ?,RA-node,1
89,Raisonnement jalonné,Raisonnement valide,Déductions correctes,Raisonnement jaloné,4.3100000,undercut,RA-node,Argument from Rule,,Chaque étape intermédiaire suit-elle validement de l'étape précédente ?,RA-node,1
90,Démonstration cohérente,Raisonnement valide,Déductions correctes,Démonstration cohérente,4.3200000,undercut,RA-node,Argument from Rule,,L'enchaînement démonstratif reste-t-il cohérent à toutes ses étapes ?,RA-node,1
91,Cohérence des prémisses,Raisonnement valide,Déductions correctes,Démonstration cohérente,4.3210000,undercut,RA-node,Argument from Commitment,,Les prémisses sont-elles compatibles entre elles et vérifiables ?,RA-node,1
92,Cohérence interne,Raisonnement valide,Déductions correctes,Démonstration cohérente,4.3220000,undercut,RA-node,Argument from Commitment,,Les prémisses et la conclusion sont-elles mutuellement compatibles ?,RA-node,1
93,Raisonnement concluant,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3300000,undercut,RA-node,Argument from Rule,,La conclusion découle-t-elle nécessairement des prémisses ?,RA-node,1
94,Validité formelle,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3310000,undercut,RA-node,Argument from Rule,,La forme logique de l'argument est-elle valide indépendamment de son contenu ?,RA-node,1
95,Inférence simple,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311000,undercut,RA-node,Argument from Rule,,La règle permet-elle bien de tirer cette conclusion à partir de cette seule prémisse ?,RA-node,1
96,Inférence : modus ponens,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311100,undercut,RA-node,Argument from Rule,,L'antécédent de l'implication est-il établi de sorte que le conséquent suive ?,RA-node,1
97,Inférence : modus tollens,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311200,undercut,RA-node,Argument from Rule,,La négation du conséquent autorise-t-elle bien la négation de l'antécédent ?,RA-node,1
98,Inférence : conjonction,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311300,undercut,RA-node,Argument from Rule,,Les deux propositions conjointes sont-elles chacune établies comme vraies ?,RA-node,1
99,Inférence : élimination de la conjonction,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311400,undercut,RA-node,Argument from Rule,,La proposition conjointe autorise-t-elle bien l'affirmation de chaque composante ?,RA-node,1
100,Inférence : double négation,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311500,undercut,RA-node,Argument from Rule,,La double négation est-elle logiquement équivalente à l'affirmation correspondante ?,RA-node,1
101,Inférence : reductio ad absurdum,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311600,undercut,RA-node,Argument from Rule,,La supposition contraire mène-t-elle réellement à une contradiction ?,RA-node,1
102,Inférence : résolution unitaire,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311700,undercut,RA-node,Argument from Rule,,Le littéral unitaire impose-t-il correctement la simplification de la clause ?,RA-node,1
103,Inférence : résolution,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3311800,undercut,RA-node,Argument from Rule,,Les deux clauses contiennent-elles bien des littéraux opposés permettant la résolution ?,RA-node,1
104,Syllogisme valide,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312000,undercut,RA-node,Argument from Rule,,La conclusion syllogistique découle-t-elle validement des deux prémisses quantifiées ?,RA-node,1
105,Syllogisme de mode parfait,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312100,undercut,RA-node,Argument from Rule,,La règle syllogistique est-elle correctement appliquée aux trois termes et aux quantificateurs ?,RA-node,1
106,Syllogisme Barbara,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312110,undercut,RA-node,Argument from Rule,,Deux prémisses universelles affirmatives autorisent-elles bien la conclusion universelle affirmative ?,RA-node,1
107,Syllogisme Celarent,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312120,undercut,RA-node,Argument from Rule,,La prémisse négative universelle et la prémisse affirmative universelle justifient-elles bien l'exclusion universelle conclue ?,RA-node,1
108,Syllogisme Darii,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312130,undercut,RA-node,Argument from Rule,,L'inclusion universelle et l'existence particulière permettent-elles bien de conclure une inclusion particulière ?,RA-node,1
109,Syllogisme Ferio,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312140,undercut,RA-node,Argument from Rule,,L'universelle négative et la particulière affirmative autorisent-elles bien une conclusion particulière négative ?,RA-node,1
110,Syllogisme de deuxième figure,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312200,undercut,RA-node,Argument from Rule,,"Le terme moyen, prédicat dans les deux prémisses, est-il distribué de façon à permettre la conclusion par opposition ?",RA-node,1
111,Syllogisme Cesare,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312210,undercut,RA-node,Argument from Rule,,Les deux prémisses établissent-elles correctement qu'aucun sujet de la première catégorie n'appartient à l'autre ?,RA-node,1
112,Syllogisme Camestres,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312220,undercut,RA-node,Argument from Rule,,L'affirmation universelle et la négation universelle mènent-elles validement à la conclusion universelle négative ?,RA-node,1
113,Syllogisme Festino,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312230,undercut,RA-node,Argument from Rule,,L'exclusion universelle et le cas particulier affirmé soutiennent-ils bien une conclusion particulière négative ?,RA-node,1
114,Syllogisme Baroco,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312240,undercut,RA-node,Argument from Rule,,La prémisse universelle affirmative et la prémisse particulière négative autorisent-elles bien la conclusion particulière négative ?,RA-node,1
115,Syllogisme de 3e figure,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312300,undercut,RA-node,Argument from Rule,,Le terme moyen sujet dans les deux prémisses permet-il seulement la conclusion particulière requise ?,RA-node,1
116,Syllogisme Darapti,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312310,undercut,RA-node,Argument from Rule,,Deux prémisses universelles affirmatives justifient-elles une conclusion particulière affirmative sans excès de portée ?,RA-node,1
117,Syllogisme Felapton,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312320,undercut,RA-node,Argument from Rule,,L'universelle négative et l'universelle affirmative fondent-elles bien une conclusion particulière négative ?,RA-node,1
118,Syllogisme Disamis,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312330,undercut,RA-node,Argument from Rule,,La prémisse particulière affirmative et la prémisse universelle affirmative permettent-elles bien la conclusion particulière affirmative ?,RA-node,1
119,Syllogisme Datisi,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312340,undercut,RA-node,Argument from Rule,,L'universelle affirmative et la particulière affirmative soutiennent-elles validement une conclusion particulière affirmative ?,RA-node,1
120,Syllogisme Bocardo,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312350,undercut,RA-node,Argument from Rule,,La prémisse particulière négative et l'universelle affirmative autorisent-elles bien une conclusion particulière négative ?,RA-node,1
121,Syllogisme Ferison,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312360,undercut,RA-node,Argument from Rule,,L'universelle négative et la particulière affirmative justifient-elles seulement la conclusion particulière négative ?,RA-node,1
122,Syllogisme de quatrième figure,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312400,undercut,RA-node,Argument from Rule,,La position du terme moyen en quatrième figure permet-elle la conclusion avec la bonne quantité et la bonne qualité ?,RA-node,1
123,Syllogisme Camenes,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312410,undercut,RA-node,Argument from Rule,,Les deux prémisses universelles de Camenes produisent-elles validement la conclusion universelle attendue ?,RA-node,1
124,Syllogisme Dimatis,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312420,undercut,RA-node,Argument from Rule,,Deux prémisses affirmatives autorisent-elles bien la conclusion particulière de Dimatis ?,RA-node,1
125,Syllogisme Fesapo,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312430,undercut,RA-node,Argument from Rule,,Deux prémisses universelles de Fesapo justifient-elles correctement une conclusion particulière négative ?,RA-node,1
126,Syllogisme Fresison,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312440,undercut,RA-node,Argument from Rule,,L'universelle négative et l'universelle affirmative de Fresison fondent-elles bien une conclusion particulière négative ?,RA-node,1
127,Syllogisme Bamalip,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3312450,undercut,RA-node,Argument from Rule,,Deux prémisses universelles affirmatives de Bamalip permettent-elles bien une conclusion particulière affirmative ?,RA-node,1
128,Logique informelle solide,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3320000,undercut,RA-node,Argument from Sign,,Les indices invoqués soutiennent-ils la conclusion de façon cohérente et suffisamment forte ?,RA-node,1
129,Raisonnement analytique solide,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3321000,undercut,RA-node,Argument from Rule,,"La décomposition distingue-t-elle correctement la règle générale, ses conditions d'application et les cas particuliers ?",RA-node,1
130,Raisonnement synthétique solide,Raisonnement valide,Déductions correctes,Raisonnement concluant,4.3322000,undercut,RA-node,Argument from Sign,,Les parties réunies forment-elles un ensemble cohérent qui justifie réellement la conclusion globale ?,RA-node,1
