parent_path,child_path,child_pk,depth,family,subfamily,subsubfamily
1,"1,121",34,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1211",35,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1212",36,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1213",37,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,12131",38,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,12132",39,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1214",40,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1215",41,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1216",42,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,122",43,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1221",44,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,12211",45,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1222",46,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1223",47,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1224",48,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,12241",49,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1225",50,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,123",51,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1231",52,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,1232",53,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,12321",54,2,Insuffisance,Argument bâclé,Justification triviale
1,"1,13",55,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,131",56,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,1311",57,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,1312",58,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,13121",59,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,131211",60,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,132",61,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,133",62,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,1331",63,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,13311",64,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,1332",65,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,134",66,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,1341",67,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,135",68,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,1351",69,2,Insuffisance,Argument bâclé,Sauvetage ad hoc
1,"1,2",70,2,Insuffisance,Préjugé,
1,"1,21",71,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,211",72,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2111",73,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21111",74,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2112",75,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2113",76,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2114",77,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,212",78,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2121",79,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21211",80,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21212",81,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21213",82,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2122",83,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,213",84,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2131",85,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21311",86,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21312",87,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,213121",88,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,213122",89,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,213123",90,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2132",91,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21321",92,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,2133",93,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,21331",94,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,213311",95,2,Insuffisance,Préjugé,Argument d'autorité
1,"1,22",96,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,221",97,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,222",98,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2221",99,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2222",100,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2223",101,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2224",102,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2225",103,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,223",104,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2231",105,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2232",106,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2233",107,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,224",108,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2241",109,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2242",110,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,2243",111,2,Insuffisance,Préjugé,Sophisme naturaliste
1,"1,23",112,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,231",113,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2311",114,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,232",115,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2321",116,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,233",117,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2331",118,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,23311",119,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,23312",120,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2332",121,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,23321",122,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,23322",123,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,234",124,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2341",125,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,23411",126,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,235",127,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2351",128,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2352",129,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,236",130,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,2361",131,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,237",132,2,Insuffisance,Préjugé,Sophisme moraliste
1,"1,3",133,2,Insuffisance,Surinterprétation,
1,"1,31",134,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,311",135,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3111",136,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3112",137,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3113",138,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3114",139,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3115",140,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,312",141,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3121",142,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3122",143,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3123",144,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,313",145,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3131",146,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,31311",147,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,313111",148,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3132",149,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,3133",150,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,31331",151,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,314",152,2,Insuffisance,Surinterprétation,Sophisme ludique
1,"1,32",153,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,321",154,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,3211",155,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,322",156,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,3221",157,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,323",158,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,3231",159,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,3232",160,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,32321",161,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,3233",162,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,32331",163,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,32332",164,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons
1,"1,33",165,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,331",166,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,332",167,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,3321",168,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,333",169,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,3331",170,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,33311",171,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,334",172,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,3341",173,2,Insuffisance,Surinterprétation,Manque de parcimonie
1,"1,3342",174,2,Insuffisance,Surinterprétation,Manque de parcimonie
,2,175,1,Influence,,
2,"2,1",176,2,Influence,Procédé rhétorique,
2,"2,11",177,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,111",178,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1111",179,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11111",180,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1112",181,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1113",182,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,112",183,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,113",184,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,114",185,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1141",186,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1142",187,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1143",188,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1144",189,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115",190,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1151",191,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11511",192,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11512",193,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115121",194,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115122",195,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115123",196,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115124",197,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1151241",198,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115125",199,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1151251",200,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115126",201,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11513",202,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1152",203,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11521",204,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11522",205,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11523",206,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11524",207,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115241",208,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,115242",209,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1152421",210,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1156",211,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,116",212,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1161",213,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11611",214,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1162",215,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,11621",216,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1163",217,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,1164",218,2,Influence,Procédé rhétorique,Langage persuasif
2,"2,12",219,2,Influence,Procédé rhétorique,Humour
2,"2,121",220,2,Influence,Procédé rhétorique,Humour
2,"2,1211",221,2,Influence,Procédé rhétorique,Humour
2,"2,1212",222,2,Influence,Procédé rhétorique,Humour
2,"2,12121",223,2,Influence,Procédé rhétorique,Humour
2,"2,12122",224,2,Influence,Procédé rhétorique,Humour
2,"2,12123",225,2,Influence,Procédé rhétorique,Humour
2,"2,12124",226,2,Influence,Procédé rhétorique,Humour
2,"2,1213",227,2,Influence,Procédé rhétorique,Humour
2,"2,12131",228,2,Influence,Procédé rhétorique,Humour
2,"2,12132",229,2,Influence,Procédé rhétorique,Humour
2,"2,121321",230,2,Influence,Procédé rhétorique,Humour
2,"2,122",231,2,Influence,Procédé rhétorique,Humour
2,"2,1221",232,2,Influence,Procédé rhétorique,Humour
2,"2,1222",233,2,Influence,Procédé rhétorique,Humour
2,"2,12221",234,2,Influence,Procédé rhétorique,Humour
2,"2,12222",235,2,Influence,Procédé rhétorique,Humour
2,"2,122221",236,2,Influence,Procédé rhétorique,Humour
2,"2,122222",237,2,Influence,Procédé rhétorique,Humour
2,"2,1223",238,2,Influence,Procédé rhétorique,Humour
2,"2,12231",239,2,Influence,Procédé rhétorique,Humour
2,"2,12232",240,2,Influence,Procédé rhétorique,Humour
2,"2,122321",241,2,Influence,Procédé rhétorique,Humour
2,"2,122322",242,2,Influence,Procédé rhétorique,Humour
2,"2,122323",243,2,Influence,Procédé rhétorique,Humour
2,"2,123",244,2,Influence,Procédé rhétorique,Humour
2,"2,1231",245,2,Influence,Procédé rhétorique,Humour
2,"2,1232",246,2,Influence,Procédé rhétorique,Humour
2,"2,13",247,2,Influence,Procédé rhétorique,Poésie
2,"2,131",248,2,Influence,Procédé rhétorique,Poésie
2,"2,1311",249,2,Influence,Procédé rhétorique,Poésie
2,"2,1312",250,2,Influence,Procédé rhétorique,Poésie
2,"2,1313",251,2,Influence,Procédé rhétorique,Poésie
2,"2,1314",252,2,Influence,Procédé rhétorique,Poésie
2,"2,1315",253,2,Influence,Procédé rhétorique,Poésie
2,"2,13151",254,2,Influence,Procédé rhétorique,Poésie
2,"2,132",255,2,Influence,Procédé rhétorique,Poésie
2,"2,1321",256,2,Influence,Procédé rhétorique,Poésie
2,"2,13211",257,2,Influence,Procédé rhétorique,Poésie
2,"2,13212",258,2,Influence,Procédé rhétorique,Poésie
2,"2,1322",259,2,Influence,Procédé rhétorique,Poésie
2,"2,13221",260,2,Influence,Procédé rhétorique,Poésie
2,"2,13222",261,2,Influence,Procédé rhétorique,Poésie
2,"2,1323",262,2,Influence,Procédé rhétorique,Poésie
2,"2,13231",263,2,Influence,Procédé rhétorique,Poésie
2,"2,1324",264,2,Influence,Procédé rhétorique,Poésie
2,"2,13241",265,2,Influence,Procédé rhétorique,Poésie
2,"2,13242",266,2,Influence,Procédé rhétorique,Poésie
2,"2,1325",267,2,Influence,Procédé rhétorique,Poésie
2,"2,133",268,2,Influence,Procédé rhétorique,Poésie
2,"2,1331",269,2,Influence,Procédé rhétorique,Poésie
2,"2,1332",270,2,Influence,Procédé rhétorique,Poésie
2,"2,1333",271,2,Influence,Procédé rhétorique,Poésie
2,"2,1334",272,2,Influence,Procédé rhétorique,Poésie
2,"2,134",273,2,Influence,Procédé rhétorique,Poésie
2,"2,1341",274,2,Influence,Procédé rhétorique,Poésie
2,"2,1342",275,2,Influence,Procédé rhétorique,Poésie
2,"2,1343",276,2,Influence,Procédé rhétorique,Poésie
2,"2,1344",277,2,Influence,Procédé rhétorique,Poésie
2,"2,1345",278,2,Influence,Procédé rhétorique,Poésie
2,"2,1346",279,2,Influence,Procédé rhétorique,Poésie
2,"2,1347",280,2,Influence,Procédé rhétorique,Poésie
2,"2,1348",281,2,Influence,Procédé rhétorique,Poésie
2,"2,135",282,2,Influence,Procédé rhétorique,Poésie
2,"2,1351",283,2,Influence,Procédé rhétorique,Poésie
2,"2,1352",284,2,Influence,Procédé rhétorique,Poésie
2,"2,1353",285,2,Influence,Procédé rhétorique,Poésie
2,"2,1354",286,2,Influence,Procédé rhétorique,Poésie
2,"2,1355",287,2,Influence,Procédé rhétorique,Poésie
2,"2,1356",288,2,Influence,Procédé rhétorique,Poésie
2,"2,13561",289,2,Influence,Procédé rhétorique,Poésie
2,"2,136",290,2,Influence,Procédé rhétorique,Poésie
2,"2,1361",291,2,Influence,Procédé rhétorique,Poésie
2,"2,1362",292,2,Influence,Procédé rhétorique,Poésie
2,"2,1363",293,2,Influence,Procédé rhétorique,Poésie
2,"2,1364",294,2,Influence,Procédé rhétorique,Poésie
2,"2,1365",295,2,Influence,Procédé rhétorique,Poésie
2,"2,13651",296,2,Influence,Procédé rhétorique,Poésie
2,"2,1367",297,2,Influence,Procédé rhétorique,Poésie
2,"2,13671",298,2,Influence,Procédé rhétorique,Poésie
2,"2,2",299,2,Influence,Appel à l'émotion,
2,"2,21",300,2,Influence,Appel à l'émotion,Connivence
2,"2,211",301,2,Influence,Appel à l'émotion,Connivence
2,"2,2111",302,2,Influence,Appel à l'émotion,Connivence
2,"2,212",303,2,Influence,Appel à l'émotion,Connivence
2,"2,2121",304,2,Influence,Appel à l'émotion,Connivence
2,"2,2122",305,2,Influence,Appel à l'émotion,Connivence
2,"2,21221",306,2,Influence,Appel à l'émotion,Connivence
2,"2,21222",307,2,Influence,Appel à l'émotion,Connivence
2,"2,2123",308,2,Influence,Appel à l'émotion,Connivence
2,"2,21231",309,2,Influence,Appel à l'émotion,Connivence
2,"2,21232",310,2,Influence,Appel à l'émotion,Connivence
2,"2,21233",311,2,Influence,Appel à l'émotion,Connivence
2,"2,2124",312,2,Influence,Appel à l'émotion,Connivence
2,"2,213",313,2,Influence,Appel à l'émotion,Connivence
2,"2,2131",314,2,Influence,Appel à l'émotion,Connivence
2,"2,2132",315,2,Influence,Appel à l'émotion,Connivence
2,"2,21321",316,2,Influence,Appel à l'émotion,Connivence
2,"2,213211",317,2,Influence,Appel à l'émotion,Connivence
2,"2,2133",318,2,Influence,Appel à l'émotion,Connivence
2,"2,214",319,2,Influence,Appel à l'émotion,Connivence
2,"2,2141",320,2,Influence,Appel à l'émotion,Connivence
2,"2,2142",321,2,Influence,Appel à l'émotion,Connivence
2,"2,22",322,2,Influence,Appel à l'émotion,Repoussoir
2,"2,221",323,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2211",324,2,Influence,Appel à l'émotion,Repoussoir
2,"2,22111",325,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2212",326,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2213",327,2,Influence,Appel à l'émotion,Repoussoir
2,"2,22131",328,2,Influence,Appel à l'émotion,Repoussoir
2,"2,222",329,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2221",330,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2222",331,2,Influence,Appel à l'émotion,Repoussoir
2,"2,223",332,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2231",333,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2232",334,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2233",335,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2234",336,2,Influence,Appel à l'émotion,Repoussoir
2,"2,224",337,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2241",338,2,Influence,Appel à l'émotion,Repoussoir
2,"2,2242",339,2,Influence,Appel à l'émotion,Repoussoir
2,"2,23",340,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,231",341,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2311",342,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2312",343,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2313",344,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2314",345,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2315",346,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,232",347,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2321",348,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,23211",349,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,23212",350,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,233",351,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2331",352,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2332",353,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,2333",354,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,234",355,2,Influence,Appel à l'émotion,Appel aux conséquences
2,"2,3",356,2,Influence,Manipulation mentale,
2,"2,31",357,2,Influence,Manipulation mentale,Conditionnement
2,"2,311",358,2,Influence,Manipulation mentale,Conditionnement
2,"2,3111",359,2,Influence,Manipulation mentale,Conditionnement
2,"2,31111",360,2,Influence,Manipulation mentale,Conditionnement
2,"2,31112",361,2,Influence,Manipulation mentale,Conditionnement
2,"2,311121",362,2,Influence,Manipulation mentale,Conditionnement
2,"2,31113",363,2,Influence,Manipulation mentale,Conditionnement
2,"2,31114",364,2,Influence,Manipulation mentale,Conditionnement
2,"2,31115",365,2,Influence,Manipulation mentale,Conditionnement
2,"2,31116",366,2,Influence,Manipulation mentale,Conditionnement
2,"2,31117",367,2,Influence,Manipulation mentale,Conditionnement
2,"2,31118",368,2,Influence,Manipulation mentale,Conditionnement
2,"2,3112",369,2,Influence,Manipulation mentale,Conditionnement
2,"2,31121",370,2,Influence,Manipulation mentale,Conditionnement
2,"2,311211",371,2,Influence,Manipulation mentale,Conditionnement
2,"2,311212",372,2,Influence,Manipulation mentale,Conditionnement
2,"2,31122",373,2,Influence,Manipulation mentale,Conditionnement
2,"2,311221",374,2,Influence,Manipulation mentale,Conditionnement
2,"2,311222",375,2,Influence,Manipulation mentale,Conditionnement
2,"2,3114",376,2,Influence,Manipulation mentale,Conditionnement
2,"2,31141",377,2,Influence,Manipulation mentale,Conditionnement
2,"2,31142",378,2,Influence,Manipulation mentale,Conditionnement
2,"2,31143",379,2,Influence,Manipulation mentale,Conditionnement
2,"2,31144",380,2,Influence,Manipulation mentale,Conditionnement
2,"2,31145",381,2,Influence,Manipulation mentale,Conditionnement
2,"2,31146",382,2,Influence,Manipulation mentale,Conditionnement
2,"2,3115",383,2,Influence,Manipulation mentale,Conditionnement
2,"2,312",384,2,Influence,Manipulation mentale,Conditionnement
2,"2,3121",385,2,Influence,Manipulation mentale,Conditionnement
2,"2,31211",386,2,Influence,Manipulation mentale,Conditionnement
2,"2,3122",387,2,Influence,Manipulation mentale,Conditionnement
2,"2,31221",388,2,Influence,Manipulation mentale,Conditionnement
2,"2,3123",389,2,Influence,Manipulation mentale,Conditionnement
2,"2,31231",390,2,Influence,Manipulation mentale,Conditionnement
2,"2,3124",391,2,Influence,Manipulation mentale,Conditionnement
2,"2,313",392,2,Influence,Manipulation mentale,Conditionnement
2,"2,3131",393,2,Influence,Manipulation mentale,Conditionnement
2,"2,31311",394,2,Influence,Manipulation mentale,Conditionnement
2,"2,31312",395,2,Influence,Manipulation mentale,Conditionnement
2,"2,31313",396,2,Influence,Manipulation mentale,Conditionnement
2,"2,31314",397,2,Influence,Manipulation mentale,Conditionnement
2,"2,3132",398,2,Influence,Manipulation mentale,Conditionnement
2,"2,31321",399,2,Influence,Manipulation mentale,Conditionnement
2,"2,31322",400,2,Influence,Manipulation mentale,Conditionnement
2,"2,31323",401,2,Influence,Manipulation mentale,Conditionnement
2,"2,31324",402,2,Influence,Manipulation mentale,Conditionnement
2,"2,31325",403,2,Influence,Manipulation mentale,Conditionnement
2,"2,314",404,2,Influence,Manipulation mentale,Conditionnement
2,"2,3141",405,2,Influence,Manipulation mentale,Conditionnement
2,"2,3143",406,2,Influence,Manipulation mentale,Conditionnement
2,"2,315",407,2,Influence,Manipulation mentale,Conditionnement
2,"2,3151",408,2,Influence,Manipulation mentale,Conditionnement
2,"2,31511",409,2,Influence,Manipulation mentale,Conditionnement
2,"2,3152",410,2,Influence,Manipulation mentale,Conditionnement
2,"2,3153",411,2,Influence,Manipulation mentale,Conditionnement
2,"2,3154",412,2,Influence,Manipulation mentale,Conditionnement
2,"2,3155",413,2,Influence,Manipulation mentale,Conditionnement
2,"2,316",414,2,Influence,Manipulation mentale,Conditionnement
2,"2,3161",415,2,Influence,Manipulation mentale,Conditionnement
2,"2,3162",416,2,Influence,Manipulation mentale,Conditionnement
2,"2,31621",417,2,Influence,Manipulation mentale,Conditionnement
2,"2,3163",418,2,Influence,Manipulation mentale,Conditionnement
2,"2,3164",419,2,Influence,Manipulation mentale,Conditionnement
2,"2,32",420,2,Influence,Manipulation mentale,Jeu de pouvoir
