PK,path,decimal_path,depth,Famille,Sous-Famille,Sous-sous-famille,état,carte,niveau,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,example_fr,Lxfr145,desc_en,Len115,example_en,Lxen145,Simple_name_Farsi,Text_Farsi,LTFarsi,link_Farsi,Description_Farsi,Len115,Example_Farsi,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
10,1.1.1.1.4,"1,1114",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Argument de l'ami,17,,The friend argument,19,http://rationalwiki.org/wiki/Argument_de_l%27 amis,,"Lorsqu'on vous accuse d'être hostile à une communauté, vous cherchez à vous disculper en invoquant vos liens personnels avec un individu du groupe concerné.",156,Je ne suis pas antisémite puisque j'ai un ami juif. 'Je ne suis pas un meurtrier puisque certain de mes amis sont vivants,121,Invoking a friend within a group in order to fend off accusations of prejudice against that group.,98,"I'm not antisemitic, I have a great friend who is jew.",,,,0,,,0,,,,,,,Il ne sert à rien de montrer les dents lorsqu'on est édenté.,,,circle,,,
11,1.1.1.1.5,"1,1115",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,"Je n'aime aucun des titres. Chercher vers Clairvoyance subjective, discernement infus, y a pas un perso grec qui a le jugement parfait? ",Voir sans savoir,16,,I know it when I see it,23,https://en.wikipedia.org/wiki/I_know_it_when_I_see_it,https://en.wikipedia.org/wiki/I_know_it_when_I_see_it,"D'un fait précis et réel vous déduisez une catégorie qui, elle, est parfaitement subjective.",92,"Je ne définirais pas la nature de la pornographie, mais ""je sais quand je le vois"" que n'est pas ici le cas. ",109,"Instead of relying on objective definitions, asserting one's individual, subjective and arbitrary judgement.",108,"""I shall today attempt further to define [""hard-core pornography""], but I know it when I see it"". The phrase was famously used in 1964 by United States Supreme Court Justice Potter Stewart to describe his threshold test for obscenity.",,,,0,,,0,,,,,,,,,,circle,,,
12,1.1.1.1.6,"1,1116",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Appel à la fiction,18,,Appeal to fiction,17,,http://rationalwiki.org/wiki/Generalization_from_fictional_evidence,"Votre thèse, censée s'appliquer au monde réel, s'appuie sur des éléments purement imaginaires.",94,"Le roman ""1984"" décrit une situation totalitaire. Le gouvernement ressemble à la situation décrite dans ""1984"". Donc ce gouvernement fait une politique totalitaire. ",165,Making claims about reality on the basis of evidence drawn from fictional works.,80,Google is like Big Brother.,,,,0,,,0,,,,,,,,,,circle,,,
13,1.1.1.2,"1,112",4,Insuffisance,"Argument
bâclé",Justification triviale,"Jesse OK
",1,1,,"Pratique
courante",17,,Appeal to common practice,25,http://autopsia.fr/sophismes-arguments-autorite,http://www.nizkor.org/features/fallacies/appeal-to-common-practice.html,Vous justifiez une manière de faire par son usage commun.,57,Tout le monde dépasse les limites de vitesse; cela ne devrait donc pas être sanctionné.,87,"Justifying choices, methods or actions on grounds that they are common practice.",80,Everyone evades taxes as much as they can. Why wouldn't I?,58,,,0,,,0,,0,le lien FR le met sous arguments d'autorité... lien transverse?,,,,"""Tout le monde le fait""",,,circle,homme sous un mouton,,
14,1.1.1.2.1,"1,1121",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Certitude supposée,18,,Alleged certainty,17,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/15/Alleged-Certainty,Vous partez du principe que vos convictions sont universellement partagées.,75,"Tout le monde veut avoir chaud en hiver, donc le chauffage central est nécessaire.XXXbein là c pas ça. c'est vrai que tout le monde veut avoir chaud... XXXTout le monde sait que les hommes préhistoriques chassaient le lion pendant que les femmes restaient avec les petits. Donc le patriarcat est naturel.",304,"Asserting a claim through a statement that makes it appear certain when, in fact, it is not.",92,"Everyone knows that cavemen hunted wild beasts whilst the women cared for the young. So, patriarchy is a natural fact.",,,,0,,,0,,,,,,,"""Enfoncer une porte ouverte"" XXXc pas ça ""Le soleil n'échauffe que ce qu'il voit.""",,,circle,,,
15,1.1.1.2.1.1,"1,11211",6,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Appel à la majorité silencieuse,31,,Appeal to silent majority.,26,,http://rationalwiki.org/wiki/Silent_Majority,"Afin de soutenir votre proposition, vous invoquez l'existence d'un grand nombre de personnes qui, bien que ne l'ayant jamais exprimé, partageraient votre point de vue.",167,,0,"Calling upon a hypothetical mass of citizens that support a proposition, but have not publicly expressed this in any tangible way.",130,,,,,0,,,0,,,,,,,,,,circle,,,
16,1.1.1.2.2,"1,1122",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Appel à la normalité,20,,Appeal to normality,19,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/37/Appeal-to-Normality,"Le fait que votre proposition s'inscrive dans une moyenne statistique ou sociale suffit, d'après vous, à la valider.",116,"Je n'ai qu'un léger surpoid, ce qui est parfaitement normal ici.XXXbof: 1- l'exemple de lohicallyfallacious parle d'obésité normale aux US; 2- juger l'obésité comme un ""mal"" rendrait le jeu critiquable.  XXX",207,Using a norm to characterize what is good or desirable.,55,,,,,0,,,0,,,,,,,,,,circle,,,
17,1.1.1.2.3,"1,1123",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,"Appel au commun des mortels
",28,,Appeal to common folk,21,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/25/Appeal-to-Common-Folk,"Le fait que vous soyez, dites-vous, ""comme tout le monde"" suffit à établir la validité de votre proposition.",108,"Je suis comme vous : je m'habille tous les matins avant d'aller beaucoup travailler. Donc la réforme fiscale que je propose est bonne pour vous. XXXHollande: ""je suis un Président normal""",187,Pretending to be common folk in order to convince that your proposition is good for all.,88,I too have to wear clothe at work. So the tax reform I propose must be good for you too.,,,,0,,,0,,,Lien transversse avec connivence,,,,,,,circle,,,
18,1.1.1.2.4,"1,1124",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Renforcement communautaire,26,,Communal reinforcement,22,,http://skepdic.com/communalreinforcement.html,"Vous répétez invariablement au sein d'un groupe une même assertion, jusqu'à que celle-ci devienne une croyance collective.",122,On ne peux manger qu'avec sa main gauche.XXX ??,47,Repeating assertions consistent with an idea within a community in order to convince its members despite lack of evidence.,122,"Repeating in all media, with experts at hand, that a given candidate is a dangerous communist, contrary to all evidence.",,,,0,,,0,,,,,,,"L'habit ne fait pas le moine.""        
",,,circle,,,
19,1.1.1.2.4.1,"1,11241",6,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Effet Gold,10,,The Gold effect,15,,https://en.wikipedia.org/wiki/Gold_effect,Vous faites valider par une communauté scientifique une conclusion dont la véracité n'a pas été démontrée.,106,Publier dans des journaux ad hoc de nombreux articles prouvant l'efficacité / l'innocuité de tel ou tel médicament. Inviter des figures du domaine à des conférences internationales allant en ce sens. XXXl'exemple anglais est peut-être meilleur. Demander des noms à James.,271,Building a a scientific community around an idea to create a consensus around it in the absence of conclusive evidence.,119,"Flooding political economy with neoliberal publications and awards, thus developping the belief that there is no alternative.",,,,0,,,0,,,,,,,"Le soleil n'échauffe que ce qu'il voit.""",,,circle,,,
20,1.1.1.2.5,"1,1125",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Appel au bon sens,17,,Appeal to common sense,22,http://www.don-lindsay-archive.org/skeptic/arguments.html#commonsense,,Vous invoquez la sagesse populaire pour imposer une proposition sans avoir à la démontrer.,90,La supériorité numérique est primordiale sur le champs de bataille.XXX,70,"Asserting that an idea is common sense in order to impose it without proof, leveraging the opponent's fear of being bizarre.",124,XXX,,,,0,,,0,,,lien transverse avec repoussoir.,Argumentum ad judicium,,,"Il n'y a pas de petites économies.""",,,circle,,,
21,1.1.1.3,"1,113",4,Insuffisance,"Argument
bâclé",Justification triviale,"Jesse OK
",2,,,"Sophisme
du psychologue",23,,Psychologist's fallacy,22,,https://en.wikipedia.org/wiki/Psychologist%27s_fallacy,Vous prenez votre point de vue individuel pour de l'objectivité.,64,Je trouve les enfants terrifiants ; vous avez donc beaucoup de mérite à élever le vôtre.,88,Confusing subjective experience of reality with the essence of that which is being observed.,92,"I'm so scared of kids. You are so brave to be raising your own.
",64,,,0,,,0,,0,,,,,,vers biais subjectif ou culturel.,,circle,,,
22,1.1.1.3.1,"1,1131",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Projection mentale,18,,Mind projection,15,,https://en.wikipedia.org/wiki/Mind_projection_fallacy,Vous considérez que votre manière d'envisager le monde est l'exact reflet de la réalité.,88,"S'il y a une forme de vie intelligente dans l'espace, elle ne viendrait certainement pas sur terre: XXXXXà leur place, je n'aurais moi-même aucune envie d'y venir.",163,Projecting onto reality the imagined properties or ignorance one finds in his own mind. ,88,"If I lived somewhere else, I wouldn't want to come on Earth. Therefore, I claim that no intelligent life form from out of Earth would want to come.",,,,0,,,0,,,"JE ne vois pas bien la différence avec sa mère, la fallacie du psycholologue. Ne pourrait-on pas inverser la hiérarchie, le sphpihisme psy étant une sorte de projection mentale?",,,,,6.3.1.5,,circle,,,
1003,1.1.1.3.2,"1,1132",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Sophisme affectif,17,,Affective Fallacy,17,,http://utminers.utep.edu/omwilliamson/ENGL1311/fallacies.htm#5,,0,,0,,0,,,,,0,,,0,,,,,,,,,,,,,
23,1.1.2,"1,12",3,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,"Jesse OK
",2,,,Sauvetage ad hoc,16,,Ad hoc rescue,13,https://initiativerationnelle.wordpress.com/2016/04/16/sauvetage-ad-hoc/,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/8/Ad-Hoc-Rescue,Vous répondez à de justes critiques de vos arguments par des explications sans fondement qui rendent la proposition de plus en plus irréfutable.,144,"– Si les extraterrestres existaient, on en aurait vus !
– On ne les voit pas parce qu'ils frappent d'amnésie tous ceux qui les aperçoivent.",139,Making unjustified explanatory hypotheses in order to prove that a counter-argument is not actually disproving one's point.,123,"- Raymond will ask me out.  
- He's been seeing Rose.  
- He's just trying to make me jealous.",94,,,0,,,0,,0,"J'ajoute la notion d'irréfutabilité qui me parait indissociable de cette technique rhétorique, et je me demande si l'exemple ne devrait pas être le fameux dragon de Carl Sagan - J
",,,,"""Il n'est pire sourd que celui qui ne veut pas entendre."" XXXcheck que ça va ou: ""se raccrocher aux branches""",1.1.3.1.1.2; true scotsman,Opposé,circle,,,
24,1.1.2.1,"1,121",4,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Le marteau d'or,15,,The golden hammer,17,http://rationalwiki.org/wiki/Golden_hammer,,Vous proposez une seule et même solution pour résoudre n'importe quel problème.,79,"Quand on a qu'un marteau à disposition, tout ressemble à un clou.XXXce n'est pas un exemple. La croissance économique devrait résoudre tous les problèmes sociaux et économiques.",177,Systematically proposing the same solution to every problem.,60,Growth as the solution to any social or economic issue.,,,,0,,,0,,,Il faut détruire Carthage ?,,,,"""C'est toujours sur le clous qui dépasse que l'on tape""XXXNon, ça c'est la traduction de creakin wheel!""'""If I had a hammer, I would smash patriarchy""",,,circle,,,
25,1.1.2.1.1,"1,1211",5,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Contre-vérité fractale,22,,Fractal wrongness,17,,http://rationalwiki.org/wiki/Fractal_wrongness,"Vos conclusions, fausses, reposent sur une série d'arguments également erronés, qu'il vous faut pourtant être en mesure de défendre pour obtenir gain de cause ; vous avez donc tort à chaque étape de votre raisonnement.",218,"Grâce à l'astrologie, je peux prédire une 3e guerre mondiale.XXXtrès dur de faire un exemple succinct ici.",106,"Fallciously arguing to defend an wrong idea, then fallaciously supporting these arguments... Ending up wrong at every conceivable level of resolution.",150,,,,,0,,,0,,,"lien transverse (""miroir"") regression infinie.",,,,,,,circle,,,
26,1.1.2.1.2,"1,1212",5,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Le faux mystère,15,,Calliing the unexplained unexplainable.,39,http://www.charlatans.info/logique22.shtml#inexplique,,Vous affirmez que ce qui n'a pas encore été expliqué est à jamais inexplicable.,79,"L'homme ne peut pas descendre du singe, il y a un chaînon manquant. ",68,Considering that what is yet unexplained is impossible to ever explain.,71,There is a missing link between monkey and man. So man cannot be descended from monkey.,,,,0,,,0,,,,,,,,,,circle,,,
27,1.1.2.1.2.1,"1,12121",6,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,L'agent providentiel,20,,Didit fallacy,13,,http://rationalwiki.org/wiki/Didit_fallacy,Vous attribuez un phénomène inexpliqué à l'action évidente d'une entité surpuissante.,85,"Puisque nous ne savons pas pourquoi, c'est bien que nous savons qu'untel l'a fait.XXXc pas un exemple et c'est inexact. XXXMais pourquoi tel candidat que j'aimais bien s'est-il discrédité à ce point? Encore un coup de la CIA !",226,Invoking the intervention of some powerful invisible entity to explain the unexplainable.,89,But why did this candidate I liked failed so miserably? The CIA must be behind it.,,,,0,,,0,,,,,,,,,,circle,,,
28,1.1.2.1.2.1.1,"1,121211",7,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Le dieu des lacunes,19,,God of the gaps,15,,http://rationalwiki.org/wiki/God_of_the_gaps,Vous attribuez un phénomène inexpliqué à l'action évidente d'une entité divine.,79,1/ Le moulin s'est effondré mystérieusement. 2/ les fourmis agissent de manière mystérieuse. 3/ Les fourmis ont fait s'effondrer le moulin.XXXles fournis ne sont pas divines.,174,Invoking a divine agent to fill the explanatory gaps of a theory.,65,Any meteorological catastrophic event can be seen as a manifestation of God's wrath.,,,,0,,,0,,,"@ Benoit: dans ta cuisine, le fourmis ne sont pas divines ;-)",,,,,,,circle,,,
29,1.1.2.2,"1,122",4,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Argument par le scénario,24,http://www.don-lindsay-archive.org/skeptic/arguments.html#scenario,Argument by scenario,20,,http://rationalwiki.org/wiki/God_of_the_gaps,Vous inventez une histoire mêlant des éléments sans rapport les uns avec les autres et utilisez ce récit comme preuve de leur connexion.,136,"Si Jacques n'arrive pas à déclarer sa flamme à Marie, c'est à cause de Voldemort et de ses carabistouilles. ",108,"Telling a story which ties together unrelated material,  then using the story as proof they are related. ",105,God flooded the planet once. The CIA learned it from him to send Katrina on New Orleans. Thus the CIA is doing holy work.,,,,0,,,0,,,lien avec fiction,,,,,,,circle,,,
30,1.1.2.3,"1,123",4,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,Trouver des excuses,Rationalisation,15,Making up excuses,Rationalization,15,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/149/Rationalization,"Vous défendez votre proposition avec des arguments plausibles mais à dessein inexacts, car vous pensez que votre auditoire les trouvera plus acceptables que les vraies raisons de votre prise de position.",203,"Je ne peux pas venir, j'ai piscine. ",36,To produce fake but plausible reasons for something in order to make it acceptable.,83,"You are being made redundant because the company needs to increase its competitivity, in a globalized world. (In fact, I want to increase profit).",,,,0,,,0,,,lien t ex culo,,,,"La fin justifie les moyens.""",,,circle,,,
31,1.1.2.3.1,"1,1231",5,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Hypothèse farfelue,18,,Far-fetched hypothesis,22,,"https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/96/Far-Fetched-Hypothesis
 ; 
http://www.don-lindsay-archive.org/skeptic/arguments.html#leastplausiblehypothesis",Vous tentez d'expliquer votre proposition en formulant une analyse tout à fait extravagante avant même d'avoir envisagé les conjectures les plus probables.,155,"Si tes clefs se sont retrouvées dans ma poche, c'est uniquement parce que la licorne avait trop bu. ",100,Offering a n unlikely hypothesis as the correct explanation without first ruling out more mundane explanations.,111,Your keys ended up in my pocket because a unicorn drank too much.,,,,0,,,0,,,,,,,"""If you hear hoof beats, don't automatically think of zebras.""",,,circle,,,
32,1.1.2.3.1.1,"1,12311",6,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Familiarité inexpliquée,23,,Impossible / Amazing familiarity / knowledge,44,,http://www.don-lindsay-archive.org/skeptic/arguments.html#familiarity,"Vous mentionnez des informations que, d'après vos propres déclarations, vous n'êtes pas censé détenir.",102,Et c'est pendant ce temps que vous avez appelé le commissariat pour signaler le meurtre ? XXX?,94,Mentioning information that the argumentation implicitely proves impossible for the speaker to know.,100,"After all these years abroad, I found the house burnt to ashes. Even the oyster shells that remained of yesterday's dinner were gone.",,,,0,,,0,,,lien avec le secteur incohérence. Pourquoi serait-ce descendant de rationalisation?,,,,,,,circle,,,
33,1.1.2.4,"1,124",4,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,Effet rebond,12,,Backfire effect,15,https://fr.wiktionary.org/wiki/effet_rebond#fr ; https://youarenotsosmart.com/2011/06/10/the-backfire-effect/#more-1218,,"Lorsqu'on vous oppose une preuve irréfutable de l'invalidité de votre proposition, votre conviction première s'en trouve paradoxalement renforcée.",146,C'est n'est pas le lobby chimique mais la franc-maçonnerie qui a fait cette loi. XXX?,85,"In the face of contradictory evidence, established beliefs do not change but actually get stronger.",99,,,,,0,,,0,,,"Est-ce un argument fallacieux ou juste un processus mental, qui n'aurait pas sa place ici? En fait je pense qu'on peut utiliser toute sorte de sophismes pour provoquer un effet rebond chez l'auditoire.",,,,,,,circle,,,
34,1.1.2.4.1,"1,1241",5,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,Inertie mentale,Effet Semmelweis,16,Belief perseverance,Semmelweis reflex,17,,https://en.wikipedia.org/wiki/Semmelweis_reflex,"Vous rejetez d'emblée toute proposition n'obéissant pas à la norme, aux croyances ou aux paradigmes établis.",108,"Les mains d'un ""gentleman"" ne peuvent pas être responsables de cette mortalité infantile. ",90,"Rejecting new evidence or new knowledge because it contradicts established norms, beliefs or paradigms.",103,Ignaz Semmelweis hand-washing suggestions were rejected by doctors of his time. Some doctors refused to believe that a gentleman's hands could transmit disease.,,,,0,,,0,,,,,,,,,,circle,,,
35,1.1.2.5,"1,125",4,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,,L'affabulateur ultime,21,,PIDOOMA (argumentum ex culo),28,,http://rationalwiki.org/wiki/Argumentum_ex_culo,"Obstiné à défendre une proposition sans fondement, vous utilisez des arguments inventés de toutes pièces, aussi absurdes soient-ils.",132,Mais s'il voulait tellement lui parler c'est que sa mère aurait du accepter les avances du garde-côte.XXXpas top mais pas mieux,127,"Using anything, even the most dirty or absurd of arguments, in a desperate attempt to defend a blatantly untenable claim.",121,,,,,0,,,0,,,"TEchniquement, e n'est pas un argufallacieux, c'est un juement porté sur un argument. J4arrive pas à en saisir l'essence. Est_ce un argulment ""à chier""??? :)",Argumentum ex culo,,,,,,circle,,,
36,1.1.2.5.1,"1,1251",5,Insuffisance,"Argument
bâclé",Sauvetage ad hoc,,,,Inventer des salades,Histoire ad hoc,15,,Just-so story,13,https://fr.wikipedia.org/wiki/Just-so_story,,Vous expliquez l'évolution d'un phénomène par un récit fait de spéculations invérifiables et peu convaincantes.,111,Ca s'est passé comme ça.XXXDe nombreuses explications de traits psychologique par une histoire évolutionniste sans preuve expérimentale.,136,Inventing an unverifiable narrative explain something and support one's claim.,78,Many explanations of psychological traits based on evolutionary stories which are not based on empirical evidence.,,,,0,,,0,,,,,,,"Just so stories (Histoires comme ça), Rudyard Kipling.",,,circle,,,
37,1.1.3,"1,13",3,Insuffisance,"Argument
bâclé","Argument
vide","Jesse OK
",1,,,"Argument
vide",13,,Hollow argument,15,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,https://en.wikipedia.org/wiki/Argument_from_ignorance,Les affirmations qui composent votre raisonnement ne démontrent rien.,69,Il est inutile que je poursuive mes études car l'avenir est incertain.,70,Using assertions which don't have any argumentative weight.,59,"No need to keep on studying, because nobody knows what the future will look like.",81,,,0,,,0,,0," (portée limitée, argument vide ou appel à l'ignorance comme le suggère le lien???). J'aime l'exemple fr",,,,,7.1.2.3,,circle,,,
38,1.1.3.1,"1,131",4,Insuffisance,"Argument
bâclé","Argument
vide",,,,,Appel à l'ignorance,19,,Appeal to ignorance,19,https://fr.wikipedia.org/wiki/Appel_A13%A0_l%27ignorance,http://philosophy.lander.edu/logic/ignorance.html,"Vous considérez que votre proposition est vraie sous prétexte que sa fausseté n'a pas été démontrée ; de même, vous considérez qu'une proposition est fausse dès lors que sa véracité n'a pas été prouvée. ",203,Dieu n'existe pas car personne n'a démontré son existence. ,59,Claiming that a proposition is true because it has not been proven false.,73,God doesn't exist because there is no proof of his existence.,,,,0,,,0,,,"lien T creaky wheel, renverser la charge de la preuve. Mais selon ses filles, élargir un peu à empĉher de démontrer fausse",Argumentum ad ignorantiam,,,,,,circle,,,
39,1.1.3.1.1,"1,1311",5,Insuffisance,"Argument
bâclé","Argument
vide",,,,La tête dans le sable,Blocus mental,13,,Willed ignorance,16,#7a35832c-dd16-4372-b534-241556541234,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/182/Willed-Ignorance,"Afin de défendre votre point de vue, vous ignorez volontairement les arguments qui démontrent la fausseté de votre proposition.",127,Je préfère que tu ne me dises pas ce qu'ils ont fait après.,59,Voluntarily avoiding knowledge of what could undermine one's argumentative position.,84,,,,,0,,,0,,,différence entre ignorance volontaire et invincible? Comment formuler appel à l'ignorance de sorte à englober ces deux enfants?,,,,,2.2.3.4,,circle,,,
