PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,link_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru, text_ru,desc_ru,example_ru,link_ru,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration,decimal_path_padded,depth_max4
100,1.2.3,"1,23",3,Insuffisance,insuffisance,Préjugé,Sophisme moraliste,,2,6,,,Sophisme moraliste,18,Vous considérez comme naturel ce que vous approuvez et comme contre nature ce que vous réprouvez.,97,Il est choquant de voir un couple d'hommes ou de femmes s'embrasser dans la rue : l'homosexualité est totalement contre nature.,127,,Insufficiency,Prejudice,Moralistic fallacy,Moralistic fallacy,18,,"Assuming that what is moral naturally occurs, or that the immoral is unnatural.",79,Those are innocent kids. They would not cause theirs parents so much trouble.,,https://en.wikipedia.org/wiki/Moralistic_fallacy,77,,,,,"Œil pour œil, dent pour dent.""",Недостаточность,Предрассудок,Морализаторство,Морализаторство,"Вы считаете естественным то, что поддерживаете, и противоестественным то, что осуждаете.","Неверность безнравственна, поэтому противоестественно испытывать влечение к кому-то, кроме супруга. ",,,,,,circle,prêtre,,,1.2300000,3
108,1.2.3.3.2,"1,2332",5,Insuffisance,insuffisance,Préjugé,Sophisme moraliste,,2,2,,,Politiquement correct,21,Vous rejetez un argument parce qu'il risque de heurter la sensibilité d'une partie de l'auditoire.,98,Ne cherchez pas d'explication du côté des croyances; la religion est affaire de conscience et ne doit donc jamais être critiquée.,129,https://fr.wikipedia.org/wiki/Politiquement_correct,Insufficiency,Prejudice,Moralistic fallacy,Political correctness,21,,Rejecting arguments for fear they may cause social or institutional offense.,76,Don't look into those people's beliefs. Religion is a matter of conscience and should never be criticized.,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/141/Political-Correctness-Fallacy,106,,,,,"L'écureuil a beau être petit, il n'est pas l'esclave de l'éléphant.""        ",Недостаточность,Предрассудок,Морализаторство,Политкорректность,"Вы отвергаете аргумент, потому что он может задеть часть аудитории","Не пытайтесь объяснить это верованиями. Религия - это личное дело каждого, и ее нельзя критиковать. ",,1,,,,circle,,,,1.2332000,4+
116,1.2.3.5.1,"1,2351",5,Insuffisance,insuffisance,Préjugé,Sophisme moraliste,,2,,,,Raison du plus riche,20,Une proposition vous semble d'autant plus valide que son auteur est pourvu de bien.,83,"S'il avait tort, il n'en serait pas parvenu là aujourd'hui.",59,https://fr.wikipedia.org/wiki/Argumentum_ad_crumenam,Insufficiency,Prejudice,Moralistic fallacy,Appeal to wealth,16,,Concluding that a statement is correct because the speaker is rich,66,"If he was wrong, he wouldn't have come to this today.",,https://en.wikipedia.org/wiki/Argumentum_ad_crumenam,,,Argumentum ad crumenam,,,,Недостаточность,Предрассудок,Морализаторство,Призыв к богатству,"Заключение о том, что утверждение верно, потому что говорящий богат","Если бы он ошибался, он бы не пришел к этому сегодня.",,,,,,circle,,,,1.2351000,4+
118,1.3,"1,3",2,Insuffisance,insuffisance,Surinterprétation,,,1,7,,,Surinterprétation,17,Vous tirez des conclusions exagérées des éléments dont vous disposez.,69,"Il ment, puisqu'il rougit.",26,https://fr.wiktionary.org/wiki/surinterpr%C3%A9tation,Insufficiency,Overinterpretation,,Overinterpretation,18,,Drawing conclusions which exceed what available evidence permits.,65,"He blushes, he's lying!",,https://en.wiktionary.org/wiki/overinterpretation,23,,,,,,Недостаточность,Домыслы,,Домыслы,"Вы делаете чрезмерные выводы из тех элементов, которые есть. ","Он врет, раз краснеет. ",,,,,,circle,démon qui lit (bof),,,1.3000000,2
119,1.3.1,"1,31",3,Insuffisance,insuffisance,Surinterprétation,Sophisme ludique,,1,5,,,Sophisme ludique,16,"Vous raisonnez sur la modélisation simpliste d'une réalité complexe, comme s'il s'agissait d'un jeu.",100,"Il s'est beaucoup entraîné sur l'ordinateur, il ne peut pas rater son permis de conduire.",89,,Insufficiency,Overinterpretation,Ludic fallacy,Ludic fallacy,13,,"Modelling complex, real life situtations with rules of thumb that are too simple, reduced to the narrow world of games and dice. ",129,He carefully followed my advice. It's impossible for him to fail his job interview.,,https://en.wikipedia.org/wiki/Ludic_fallacy,83,"J'ai du mal avec cette catégorie, même si elle est justif par le lien EN.  Games and dice thinking? Jardin d'enfants? 
",,,,,Недостаточность,Домыслы,Игровой софизм,Игровой софизм,"Вы упрощаете сложную реальность, как если бы речь шла об игре. ","Он много тренировался на компьютере, так что точно сдаст на права. ",,,,,,circle,,,,1.3100000,3
134,1.3.2,"1,32",3,Insuffisance,insuffisance,Surinterprétation,Mauvaises raisons,,2,5,,,Mauvaises raisons,17,Vous affirmez qu'une position est fausse en supposant que la réflexion ou les intentions de son auteur sont sujettes à caution.,127,"Cet homme a tout intérêt me vendre sa voiture, sa description du véhicule manque nécessairement d'objectivité: mieux vaut ne pas l'acheter.",139,,Insufficiency,Overinterpretation,Bad reasons fallacy,Bad reasons fallacy,19,,Claiming that a conclusion is false because it is supported by an unconvincing argumentation.,93,"He would benefit so much from selling me his car, and he doesn't describe it objectively. I think I shouldn't buy it, there must be something wrong.",,http://www.fallacyfiles.org/badreasn.html,148,"En fait c'est une catégorie qui regroupe (argument du sophisme, quid bono et motif). . c'est beaucoup plus large que le lien donné, je trouve (le lien pointe plus sur argument du sophisme, ""erreur de raisonnement donc conclusion fausse, qui devrait d'ailleur exister dans logique). J'ai défini de manière générale. De plus, quid bon et motif devraient être liés aux ad hominem, soph génétique et ad personam. Du coup je ne suis pas sûr qu'il y ait des liens pour cette catégorie....",,,,,Недостаточность,Домыслы,Ложные доводы,Ложные доводы,"Вы утверждаете, что позиция собеседника ложна, предполагая, что его рассуждения или намерения сомнительны. ","У этого человека инерес в том, чтобы продать мне машину, его описание машины конечно же необъективно, лучше не покупать.  ",,,,,,circle,,,,1.3200000,3
135,1.3.2.1,"1,321",4,Insuffisance,insuffisance,Surinterprétation,Mauvaises raisons,,1,3,,Argumentum ad Logicam,Argument du Sophisme,20,Vous affirmez qu'une conclusion est fausse car l'argumentation qui y mène est fallacieuse.,90,Il m'a dit d'emprunter la route qui descend sur la droite; or cette route est une montée. Tournons plutôt à gauche.,115,https://nicomaque.com/la-philosophie/logique/les-sophismes/,Insufficiency,Overinterpretation,Bad reasons fallacy,Fallacist's Fallacy,19,,Arguing that a conclusion is false because its proof involves a fallacy.,72,"He told us to go upwards, turning right, but the right side is going downwards. That means we should turn left.",,https://en.wikipedia.org/wiki/Argument_from_fallacy,111,lien vers logique: sophismes syllogistiques. RMQ bien faire la différence entre sophisme et bad reasons (catégorie mère),Argumentum ad logicam,,,Il ne faut pas jeter le bébé avec l'eau du bain.,Недостаточность,Домыслы,Ложные доводы,Софизм,"Вы утверждаете, что вывод ложен, поскольку рассуждения, ведущие к нему, неправильны. ","Он сказал мне свернуть на дорогу, которая идет вправо вниз, а эта дорога идет вверх. Так что лучше повернуть влево. ",https://ru.wikipedia.org/wiki/Софизм,1,1,4.3.3,,circle,bébé avec l'eau du bain,,,1.3210000,4+
146,1.3.3,"1,33",3,Insuffisance,insuffisance,Surinterprétation,Manque de parcimonie,,1,3,,,Manque de parcimonie,20,Votre raisonnement est douteux car il ne va pas au plus simple ou au plus probable.,83,Où sont mes clefs ? Quelqu'un a dû me les voler. C'est une conspiration qui cherche à me rendre fou.,100,https://fr.wikipedia.org/wiki/Rasoir_d%27Ockham,Insufficiency,Overinterpretation,Lack of Parsimony,Lack of Parsimony,17,,Proving a point with an overly complex argumentation. ,54,Where are my keys? Who stole my keys ?! Why is everyone against me?,,https://en.wikipedia.org/wiki/Occam%27s_razor,67,"
Jesse: Le lien sur le rasoir d'Ockham est le meilleur je crois
BEn: exemple bof: on ne voit pa sbien la conclusion prouvée par l'ajout (trop complexe il est vrai) de l'hypothèse du vol/ Proposition: Ajouter : ""tout le monde s'acharne sur moi.""",,,,rasoir d'Ockham,Недостаточность,Домыслы,Слишком сложные объяснения,Слишком сложные объяснения,"Ваше рассуждение сомнительно, потому что прибегает к слишком сложным объяснениям. ","Где мои ключи? Наверное, их у меня похитили. Почему весь мир против меня?",https://ru.wikipedia.org/wiki/Бритва_Оккама,1,,,,circle,,,,1.3300000,3
155,2,2,1,Influence,influence,,,,1,2,,,Influence,9,Vous manipulez votre auditoire pour le persuader au lieu de le convaincre.,74,,0,https://fr.wikipedia.org/wiki/Influence_(psychologie),Influence,,,Influence,9,,Using tactics to manipulate the audience rather than using logical reasoning.,77,,,https://en.wikipedia.org/wiki/Social_influence,0,,,,,"On n'est jamais trahi que par les siens.""",Влияние ,,,Влияние ,"Чтобы убедить вашу аудиторию, вы давите на эмоции, вместо того, чтобы убеждать аргументированно. ",,,,,,,square,labo dans le cerveau,#face00,,2.0000000,1
156,2.1,"2,1",2,Influence,influence,Procédé rhétorique,,,1,9,,,Procédé rhétorique,18,Vous faites preuve d'une éloquence persuasive.,46,"""Si votre ramage se rapporte à votre plumage, vous êtes le phénix des hôtes de ces bois."" Jean de La Fontaine",109,,Influence,Rhetorical device,,Rhetorical device,17,,Your words have persuasive eloquence.,37,"Will you really break my heart, burn my soul, strip my guts by not coming tonight?",,https://en.wikipedia.org/wiki/Rhetorical_device,82,,,,,,Влияние ,Риторические приемы,,Риторические приемы,Вы прибегаете к красноречию и воздействуете на эмоции. ,"Голубушка, как хороша!  Ну что за шейка, что за глазки!  Рассказывать, так, право, сказки!  Какие перушки!  Какой носок!  И, верно, ангельский быть должен голосок! (И.А.Крылов, Ворона и лисица)
",,,,,,circle,,,,2.1000000,2
157,2.1.1,"2,11",3,Influence,influence,Procédé rhétorique,Langage persuasif,,2,9,,,Langage persuasif,17,Vous vous exprimez de manière à imposer implicitement les termes du débat.,74,"À votre avis, les élites, responsables de cette situation, peuvent-elles nous en sortir ?",89,https://en.wikipedia.org/wiki/Loaded_language,Influence,Rhetorical device,Loaded language,Loaded language,15,,Expressing oneself in a manner which subrepticely sets the debating framework.,78,,,https://en.wikipedia.org/wiki/Loaded_language,0,,,,,,Влияние ,Риторические приемы,Язык убеждения,Язык убеждения,Вы подспудно влияете на ход дискуссии. ,"Неужели вы думаете, что элиты, которые и создали эти проблемы, могут помочь нам их преодолеть?",,,,,,circle,géant qui verse son fardeau,,,2.1100000,3
159,2.1.1.1.1,"2,1111",5,Influence,influence,Procédé rhétorique,Langage persuasif,,2,4,,Plurium Interrogationum,Question piège,14,Vous interrogez votre contradicteur en mentionnant des faits dont vous souhaitez que l'auditoire les tienne pour acquis.,120,Avez-vous arrêté de martyriser votre chien ?,44,https://fr.wikipedia.org/wiki/Plurium_interrogationum,Influence,Rhetorical device,Loaded language,Loaded question,15,,Asking a question that presumes facts one wants to convince an audience of.,75,Have you stopped tormenting your dog?,,https://en.wikipedia.org/wiki/Complex_question,37,ben: j'aime bien l'exemple des poils de la tortue (voir proverbe),Plurium interrogationum,,,Les poils de la tortue sont-ils durs ou sont-ils mous ? Le fils de la  femme stérile est-il malade ou bien portant ?,Влияние ,Риторические приемы,Язык убеждения,Вопрос-ловушка,"Вы задаете вопрос на основе тех посылов, которые хотите сделать известными собеседнику. ",Вы уже прекратили пить виски по утрам?,,1,1,,,circle,diable dans la boîte,,,2.1111000,4+
