PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin1,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,Family_ar,Subfamily_ar,Subsubfamily_ar,text_ar,desc_ar,example_ar,link_ar,Family_es,Subfamily_es,Subsubfamily_es,text_es,desc_es,example_es,link_es,Family_zh,Subfamily_zh,Subsubfamily_zh,text_zh,desc_zh,example_zh,link_zh,Family_fa,Subfamily_fa,Subsubfamily_fa,text_fa,desc_fa,example_fa,link_fa,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Leverages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
315,2.2.1.3.2,"2,2132",5,Influence,influence,Appel à l'émotion,Connivence,,,,,,Appel à l'élévation morale,26,Vous suggérez que soutenir votre point de vue fait de quelqu'un une personne de valeur.,87,Je n'irai pas plus loin dans cette campagne tant elle est insultante pour tout le monde.,88,,Influence,Appeal to emotion,Connivance,Appeal to moral elevation,25,,Suggesting that supporting one's point of view makes someone a person of worth.,57,"I will go no further in this campaign, it is so insulting to everyone.",,69,https://en.wikipedia.org/wiki/Moral_high_ground#Everyday_use,Lien t supé morale aruments d'autorité,,,,,Влияние,Воздействие на эмоции,Сговор,Апелляция к моральному возвышению,"Вы внушаете, что поддержка вашей точки зрения делает человека достойным.","Я не пойду дальше в этой кампании, настолько она оскорбительна для всех.",,Influência,Apelo à emoção,Connivência,Apelo à elevação moral,Os senhores sugerem que apoiar o seu ponto de vista faz de alguém uma pessoa de valor.,"Não irei mais longe nesta campanha, de tão insultuosa que ela é para todos.",,التأثير,نداء إلى العاطفة,تواطؤ,النداء إلى السمو الأخلاقي,توحي بأن دعم وجهة نظرك يجعل المرء شخصًا ذا قيمة.,لن أمضي أبعد في هذه الحملة، فهي مهينة للجميع إلى هذا الحد.,,Influencia,Apelar a la emoción,Connivencia,Apelación a la elevación moral,Ustedes sugieren que apoyar su punto de vista convierte a alguien en una persona de valor.,"No iré más lejos en esta campaña, tan insultante es para todo el mundo.",,影响力,诉诸情感,默契,诉诸道德升华,您暗示，支持您的观点会使某人成为有价值的人。,我不会在这场运动中再往前走了，因为它对所有人都太具有侮辱性。,,تأثیرگذاری,توسل به احساسات,همکاری احساسی,توسل به تعالی اخلاقی,شما القا می‌کنید که حمایت از دیدگاهتان، فرد را به انسانی ارزشمند بدل می‌کند.,من در این کارزار پیش‌تر نخواهم رفت، چون برای همه تا این اندازه توهین‌آمیز است.,,,,,,,,,,,,,,,,,,circle,,,,,2.2132000,4+
316,2.2.1.3.2.1,"2,21321",6,Influence,influence,Appel à l'émotion,Connivence,,,,,,Appel à la minorité,19,"Vous prétendez qu'une opinion minoritaire est juste, sous prétexte qu'elle est peu répandue.",92,Pourquoi lire ces messages en chaîne ennuyeux que tout le monde lit ? Vous savez que vous valez mieux que cela.,107,http://www.fallacydetective.com/news/read/snob-appeal,Influence,Appeal to emotion,Connivance,Appeal to minority,18,,Claiming that an assertion is true because it goes against the opinion of the majority.,87,Why read those boring chain messages that everyone reads? You know you're better than that.,,94,http://rationalwiki.org/wiki/Appeal_to_the_minority,,,,,,Влияние,Воздействие на эмоции,Сговор,Апелляция к меньшинству,"Вы утверждаете, что мнение меньшинства верно, только потому, что оно не является массовым.","Зачем читать те скучные электронные письма, которые читают все? Вы же лучше этого.",,Influência,Apelo à emoção,Connivência,Apelo à Minoria,"Você alega que uma opinião minoritária é justa, sob o pretexto de que ela é pouco difundida.",Por que ler esses ciclos de e-mail chatos que todo mundo lê? Você sabe que é melhor do que isso.,,التأثير,نداء إلى العاطفة,تواطؤ,نداء إلى الأقلية,تدعي أن الرأي الأقلية هو صحيح لأنه غير شائع.,لماذا تقرأ تلك الحلقات البريدية المملة التي يقرأها الجميع؟ أنت تعرف أنك أفضل من ذلك.,,Influencia,Apelar a la emoción,Connivencia,Apelación a la minoría,"Pretendes que una opinión minoritaria es justa, bajo el pretexto de que es poco común.",¿Por qué leer esos aburridos correos electrónicos que todos leen? Sabes que eres mejor que eso.,,影响力,诉诸情感,默契,诉诸少数,声称某个断言是正确的，因为它与大多数人的观点相反。,为什么要阅读那些大家都在看的无聊电子邮件链？你知道你比那更好。,,تأثیرگذاری,توسل به احساسات,همکاری احساسی,فراخوان اقلیت,شما ادعا می‌کنید که یک نظر به این دلیل که در اقلیت است صحیح می‌باشد.,چرا باید آن لوپ‌های ایمیل خسته‌کننده که بقیه می‌خوانند را بخوانی؟ تو می‌دانی که از این بهتر هستی.,,,,,,,,,,,,,,,,,,circle,,,,,2.2132100,4+
317,2.2.1.3.2.1.1,"2,213211",7,Influence,influence,Appel à l'émotion,Connivence,,,,,,Appel au sentiment d'exclusivité,32,Vous flattez votre interlocuteur en lui faisant croire qu'il est personnellement privilégié ou qu'il appartient à un petit groupe bénéficiant d'avantages particuliers.,160,"En tant que membre de notre programme exclusif, vous aurez accès à des offres que le reste du public ne pourra même pas imaginer.",129,http://www.cogsci.rpi.edu/~heuveb/teaching/CriticalThinking/Web/Presentations/EmotionalAppeals.pdf#page=17,Influence,Appeal to emotion,Connivance,Exclusivity appeal,18,,Flattering an interlocutor by making them believe they are personally privileged or part of a small group with special benefits.,130,"As a member of our exclusive program, you will have access to offers that the general public can't even imagine.",,112,https://www.fastcompany.com/3032675/5-psychological-tactics-marketers-use-to-influence-consumer-behavior,,,,,,Влияние,Воздействие на эмоции,Сговор,Апелляция к чувству эксклюзивности,"Вы льстите вашему собеседнику, заставляя его верить, что он лично привилегирован или является частью небольшой группы, имеющей особые преимущества.","Как участник нашей эксклюзивной программы, вы получите доступ к предложениям, о которых общественность даже не может мечтать.",,Influência,Apelo à emoção,Connivência,Apelo ao Sentimento de Exclusividade,Você lisonjeia sua audiência fazendo-a acreditar que ela é pessoalmente privilegiada ou faz parte de um pequeno grupo com vantagens especiais.,"Como membro de nosso programa exclusivo, você terá acesso a ofertas que o resto do público nem pode imaginar.",,التأثير,نداء إلى العاطفة,تواطؤ,النداء إلى الشعور بالتفرد,تمدح مخاطبك بجعله يعتقد أنه متميز شخصيًا أو جزء من مجموعة صغيرة تتمتع بامتيازات خاصة.,كعضو في برنامجنا الحصري، سيكون لديك وصول إلى عروض لا يمكن لعامة الناس حتى تخيلها.,,Influencia,Apelar a la emoción,Connivencia,Apelación al sentimiento de exclusividad,Halagas a tu interlocutor haciéndole creer que es personalmente privilegiado o que forma parte de un pequeño grupo con beneficios especiales.,"Como miembro de nuestro programa exclusivo, tendrás acceso a ofertas que el público en general ni siquiera puede imaginar.",,影响力,诉诸情感,默契,诉诸专属感,通过让您的对话者相信他们是被特别优待的或属于一个享有特殊利益的小团体来奉承他们。,作为我们独家计划的成员，您将享受到一般公众无法想象的优惠。,,تأثیرگذاری,توسل به احساسات,همکاری احساسی,فراخوان به حس انحصاری,شما با تاثیر گذاشتن بر مخاطب خود، می‌خواهید او باور کند که به طور شخصی دارای امتیاز ویژه است یا بخشی از یک گروه کوچک با مزایای خاص است.,به عنوان یک عضو از برنامه انحصاری ما، شما به پیشنهاداتی دسترسی خواهید داشت که عموم مردم حتی نمی‌توانند تصور کنند.,,,,,,,,,,,,,,,,,,circle,,,,,2.2132110,4+
318,2.2.1.3.3,"2,2133",5,Influence,influence,Appel à l'émotion,Connivence,,,,,,Appel à la fierté,17,Vous encouragez votre interlocuteur à se sentir fier d'adhérer à vos propositions.,82,"Vous avez fait preuve d'une intelligence remarquable en soutenant notre projet, et cela honore toute notre communauté.",118,,Influence,Appeal to emotion,Connivance,Appeal to pride,15,,Encouraging an interlocutor to feel proud of adhering to one's propositions.,40,"You have shown remarkable intelligence by supporting our project, and that honors our entire community.",,103,http://rationalwiki.org/wiki/Appeal_to_shame#Appeal_to_pride,En quoi cela diffère-'il de la FLATTERIE?,,,,,Влияние,Воздействие на эмоции,Сговор,Апелляция к гордости,Вы побуждаете вашего собеседника чувствовать гордость за принятие ваших предложений.,"Вы показали замечательный интеллект, поддержав наш проект, и это честь для всего нашего сообщества.",,Influência,Apelo à emoção,Connivência,Apelo ao Orgulho,Você encoraja seu interlocutor a se sentir orgulhoso por aderir às suas proposições.,"Você demonstrou uma inteligência notável ao apoiar nosso projeto, o que honra toda a nossa comunidade.",,التأثير,نداء إلى العاطفة,تواطؤ,نداء إلى الفخر,تستدعي شعور الفخر في جمهورك.,لقد أظهرت ذكاءً رائعًا بدعمك لمشروعنا، وهذا يُشرف مجتمعنا بأكمله.,,Influencia,Apelar a la emoción,Connivencia,Apelación al orgullo,Apelas al orgullo de tu audiencia.,"Has mostrado una inteligencia notable al apoyar nuestro proyecto, y eso honra a toda nuestra comunidad.",,影响力,诉诸情感,默契,诉诸自豪感,激发听众的自豪感,您通过支持我们的项目表现出了非凡的智慧，这为我们的整个社区增光添彩。,,تأثیرگذاری,توسل به احساسات,همکاری احساسی,فراخوان به افتخار,شما با تأکید بر افتخار و شأن مخاطب خود، تلاش می‌کنید او را وادار به حمایت از پیشنهادات خود کنید.,شما با حمایت از پروژه ما نشان داده‌اید که از هوش فوق‌العاده‌ای برخوردارید و این افتخارِ کل جامعه‌ی ما است.,,,,,,,,,,,,,,,,,,circle,,,,,2.2133000,4+
319,2.2.1.4,"2,214",4,Influence,influence,Appel à l'émotion,Connivence,1,1,7,,,Appel à la pitié,16,Vous faites appel à la compassion de votre auditoire pour gagner son soutien sans argumenter sur le fond.,105,"Mesdames et messieurs les jurés, regardez cet homme misérable, en fauteuil roulant, incapable d'utiliser ses jambes. Un tel homme peut-il vraiment être coupable de détournement de fonds ?",190,https://fr.wikipedia.org/wiki/Argumentum_ad_misericordiam,Influence,Appeal to emotion,Connivance,Appeal to Pity,14,,Invoking an audience's sympathy to win support without arguing the merits.,76,"Ladies and gentlemen of the jury, look at this miserable man, in a wheelchair, unable to use his legs. Can such a man really be guilty of embezzlement?",,151,https://en.wikipedia.org/wiki/Appeal_to_pity,,ad misericordiam,,,argument Galilée,Влияние,Воздействие на эмоции,Сговор,Аргумент к милосердию,"Вы взываете к состраданию вашей аудитории, чтобы заручиться её поддержкой, не аргументируя по существу.","Дамы и господа присяжные, посмотрите на этого несчастного человека, сидящего в инвалидной коляске, не способного пользоваться своими ногами. Как может такой человек быть виновен в присвоении средств?",https://ru.wikipedia.org/wiki/Argumentum_ad_Misericordiam,Influência,Apelo à emoção,Connivência,Apelo à Piedade,Você apela para a compaixão da sua audiência para ganhar seu apoio sem discutir o mérito.,"Senhoras e senhores do júri, observem este homem miserável, em uma cadeira de rodas, incapaz de usar as pernas. Um homem assim pode realmente ser culpado de desvio de fundos?",,التأثير,نداء إلى العاطفة,تواطؤ,نداء إلى الشفقة,تستدعي الرحمة من جمهورك للحصول على دعمه دون مناقشة المزايا.,سيداتي وسادتي من هيئة المحلفين، انظروا إلى هذا الرجل البائس، على كرسي متحرك، غير قادر على استخدام ساقيه. هل يمكن لمثل هذا الرجل أن يكون مذنبًا بالاختلاس؟,,Influencia,Apelar a la emoción,Connivencia,Apelación a la piedad,Invocas la compasión de tu audiencia para ganar su apoyo sin argumentar sobre el fondo.,"Damas y caballeros del jurado, miren a este hombre miserable, en una silla de ruedas, incapaz de usar sus piernas. ¿Puede un hombre así ser realmente culpable de malversación?",,影响力,诉诸情感,默契,诉诸怜悯,诉诸听众的同情心以争取支持，而不讨论实质内容。,女士们，先生们，请看看这个可怜的人，他坐在轮椅上，无法使用他的双腿。这样的人真的可能犯有挪用公款罪吗？,,تأثیرگذاری,توسل به احساسات,همکاری احساسی,فراخوان به ترحم,شما با استفاده از احساسات ترحم و دلسوزی مخاطب، سعی می‌کنید بدون استدلال منطقی بر حمایت آنها تأثیر بگذارید.,خانم‌ها و آقایان هیئت منصفه، به این مرد نگون‌بخت نگاه کنید، روی ویلچر نشسته و قادر به استفاده از پاهایش نیست. آیا چنین مردی واقعاً می‌تواند در اختلاس گناهکار باشد؟,,1,,,,,,,,,,,,,,,,circle,,,,,2.2140000,4+
320,2.2.1.4.1,"2,2141",5,Influence,influence,Appel à l'émotion,Connivence,,,,,,Appel aux têtes blondes,23,Vous utilisez le bien-être des enfants comme argument pour éveiller les émotions et esquiver le débat rationnel.,112,"Si vous votez contre cette loi, pensez au message désastreux que cela enverra à nos enfants sur l'importance de l'éducation.",124,,Influence,Appeal to emotion,Connivance,Think of the children,21,,Appealing to children's need for protection in order to substitute emotion for reason in a debate.,98,"If you vote against this law, think of the disastrous message it will send to our children about the importance of education.",,125,https://en.wikipedia.org/wiki/Think_of_the_children,lien t fausse piste; lien t langage chargé > poncif,,,,,Влияние,Воздействие на эмоции,Сговор,Подумайте о детях,Призыв к защите детей с целью заменить рациональный дебат эмоциями.,"Если вы проголосуете против этого закона, подумайте о катастрофическом сообщении, которое это пошлет нашим детям о важности образования.",,Influência,Apelo à emoção,Connivência,Pensem nas crianças,Você apela à necessidade de proteção das crianças para substituir a razão pela emoção em um debate.,"Se votarem contra esta lei, pensem na mensagem desastrosa que isso enviará às nossas crianças sobre a importância da educação.",,التأثير,نداء إلى العاطفة,تواطؤ,التفكير في الأطفال,تستخدمون رفاهية الأطفال كحجة لإثارة العواطف وتجنب النقاش العقلاني.,إذا صوتتم ضد هذا القانون، فكروا في الرسالة الكارثية التي سترسلونها إلى أطفالنا حول أهمية التعليم.,,Influencia,Apelar a la emoción,Connivencia,Apelar a los niños,Utilizar el bienestar de los niños como argumento para despertar emociones y evitar el debate racional.,"Si vota en contra de esta ley, piense en el mensaje desastroso que enviará a nuestros hijos sobre la importancia de la educación.",,影响力,诉诸情感,默契,呼吁儿童,你利用孩子的福祉作为论据，以激发情感并回避理性辩论。,如果您投票反对这项法律，请考虑这将向我们的孩子们传达关于教育重要性的灾难性信息。,,تأثیرگذاری,توسل به احساسات,همکاری احساسی,فکر به کودکان,شما از نیاز کودکان به حفاظت استفاده می‌کنید تا احساسات را به جای منطق در یک بحث قرار دهید.,اگر شما علیه این قانون رأی دهید، به پیام ویرانگری که به کودکانمان درباره اهمیت آموزش می‌فرستد، فکر کنید.,,,,,,,,,,,,,,,,,,circle,,,,,2.2141000,4+
321,2.2.1.4.2,"2,2142",5,Influence,influence,Appel à l'émotion,Connivence,,,,,,Appel au martyr,15,Vous affirmez qu'une croyance est vraie parce que son défenseur est persécuté ou parce que des martyrs sont morts pour elle.,128,"Ce militant, après tant d'années de lutte acharnée et de persécutions, qui a tout donné pour vous, ne peut être que sincère dans son engagement pour la cause.",158,,Influence,Appeal to emotion,Connivance,Argumentum ad martyrdom,23,,Asserting that a belief is true because its advocate has been persecuted or martyrs have died for it.,101,"This activist, after so many years of fierce struggle and persecution, who has given everything for you, must be sincere in his commitment to the cause.",,152,http://rationalwiki.org/wiki/Argumentum_ad_martyrdom,,,,,,Влияние,Воздействие на эмоции,Сговор,Аргумент к мученичеству,"Утверждение о том, что вера истинна, потому что ее защитник был преследуем или мученики умерли за нее.","Этот активист, после стольких лет ожесточенной борьбы и преследований, отдавший все за вас, должен быть искренне привержен своему делу.",,Influência,Apelo à emoção,Connivência,Argumento ad martyrdom,"Você afirma que uma crença é verdadeira porque seu defensor foi perseguido ou mártires morreram por ela, como resultado dessa perseguição.","Este ativista, após tantos anos de luta feroz e perseguição, que deu tudo por você, deve ser sincero em seu compromisso com a causa.",,التأثير,نداء إلى العاطفة,تواطؤ,الاحتجاج بالاستشهاد,تدعون أن اعتقادًا ما صحيح لأن مدافعه قد تعرض للاضطهاد أو لأن شهداء ماتوا من أجله.,هذا الناشط، بعد سنوات عديدة من النضال الشديد والاضطهاد، الذي قدم كل شيء من أجلكم، لابد أن يكون صادقًا في التزامه بالقضية.,,Influencia,Apelar a la emoción,Connivencia,Apelar al mártir,Afirmar que una creencia es verdadera porque su defensor ha sido perseguido o porque los mártires han muerto por ella.,"Este activista, después de tantos años de lucha feroz y persecución, que ha dado todo por usted, debe ser sincero en su compromiso con la causa.",,影响力,诉诸情感,默契,殉道者论,你声称某种信仰是真实的，因为其倡导者受到迫害或有人为此而殉道。,这位活动人士经历了这么多年的艰苦斗争和迫害，为你们付出了一切，他对这项事业的投入必然是真诚的。,,تأثیرگذاری,توسل به احساسات,همکاری احساسی,استدلال به شهادت,شما ادعا می‌کنید که یک باور درست است زیرا طرفدار آن مورد آزار و شکنجه قرار گرفته است یا شهدا برای آن مرده‌اند.,این فعال، پس از سال‌ها مبارزه شدید و آزار و اذیت، که همه چیز را برای شما داده است، باید در تعهد خود به این مسئله صادق باشد.,,,,,,,,,,,,,,,,,,,,,,,2.2142000,4+
322,2.2.2,"2,22",3,Influence,influence,Appel à l'émotion,Repoussoir,1,2,8,,,Repoussoir,10,"Vous discréditez une idée en la rendant repoussante, au lieu de l'examiner rationnellement.",88,Ce n'est tout de même pas une poignée de jeunes imbéciles qui va vous apprendre votre métier !,94,https://fr.wiktionary.org/wiki/repoussoir,Influence,Appeal to emotion,Foil,Foil,4,,Showing an idea in a repulsive light instead of rationally arguing against it.,78,Are you really going to let a bunch of foolish youngsters teach you your job?,,77,,,,,,"Chantez à l'âne, il vous fera des pets.""",Влияние,Воздействие на эмоции,Очернение,Очернение,"Вы критикуете идею, делая её отталкивающей, вместо того чтобы рассуждать о ней рационально.",Вы действительно собираетесь позволить кучке глупых молодых людей учить вас вашей работе?,,Influência,Apelo à emoção,Repulsão,Repulsão,Você critica uma ideia tornando-a repulsiva em vez de examiná-la racionalmente.,Vocês vão deixar um punhado de jovens tolos ensinarem como fazer seu trabalho?,,التأثير,نداء إلى العاطفة,التشويه,التشويه,تنتقدون فكرة بجعلها تبدو منفرة بدلاً من فحصها بشكل عقلاني.,أحقًا ستدعون حفنة من الشبان الحمقى يعلّمونكم مهنتكم؟,,Influencia,Apelar a la emoción,Espantajo,Espantajo,Criticar una idea presentándola como repulsiva en lugar de examinarla racionalmente.,¿Realmente vas a dejar que un montón de jóvenes tontos te enseñen tu trabajo?,,影响力,诉诸情感,贬低,贬低,你通过将一种思想表现得令人厌恶，而不是理性地反驳它，来批评它。,难道你真要让一帮愚蠢的年轻人教你怎么做你的工作吗？,,تأثیرگذاری,توسل به احساسات,پوششی,پوششی,شما یک ایده را با نشان دادن آن در نور منفور به‌جای بحث منطقی علیه آن نقد می‌کنید.,آیا واقعاً می‌خواهید اجازه دهید یک مشت جوان احمق به شما کارتان را یاد بدهند؟,,,,,,,,,,,,,,,NegativeConsequences_Inference,,skos:broadMatch,circle,,,,,2.2200000,3
323,2.2.2.1,"2,221",4,Influence,influence,Appel à l'émotion,Repoussoir,1,1,6,,,Appel au mépris,15,"Vous présentez un élément de sorte qu'il paraisse condamnable, indigne d'attention ou indigne d'estime.",110,"Mon fils, vous ne ferez pas vos études en faculté de lettres, ce ramassis notoire de paresseux et de névrosés !",102,https://fr.wikipedia.org/wiki/Argumentum_ad_odium,Influence,Appeal to emotion,Foil,Appeal to spite,15,,"Exploiting spite or disgust to persuade an audience to reject an argument.
",75,"My son, you won't study in the college of Arts, a notorious gathering of lazy and neurotic folks!",,97,https://en.wikipedia.org/wiki/Appeal_to_spite,bel exemple,argumentum ad odium,,,"Chantez à l'âne, il vous fera des pets.""",Влияние,Воздействие на эмоции,Очернение,Аргумент к презрению,Вы выставляете идею в неприглядном свете или недостойной уважения.,"Сын мой, не пойдешь же ты на филфак, в это сборище лентяев и невротиков!",,Influência,Apelo à emoção,Repulsão,Apelo ao desprezo,Você apresenta um elemento de maneira que ele pareça condenável ou indigno de atenção ou estima.,"Meu filho, você não vai estudar em faculdade de Letras, um notório aglomerado de preguiçosos e neuróticos!",,التأثير,نداء إلى العاطفة,التشويه,الاحتجاج بالاحتقار,تقدمون عنصرًا بحيث يبدو إما مذمومًا أو غير جدير بالاهتمام أو الاحترام.,ابني، لن تدرس في كلية الآداب، فهي تجمع معروف للكُسالى والمصابين بالاضطرابات العصبية!,,Influencia,Apelar a la emoción,Espantajo,Apelación al desprecio,Presentar un elemento de manera que parezca condenable o indigno de atención o estima.,"Hijo mío, no estudiarás en la Facultad de Letras, ¡nido notorio de perezosos y neuróticos!",,影响力,诉诸情感,贬低,藐视论证,你将某个元素呈现为可鄙或不值得注意或尊敬。,儿子，你不能在文学院学习，那是懒惰和神经质之人的臭名昭著的聚集地！,,تأثیرگذاری,توسل به احساسات,پوششی,فراخوان به تحقیر,شما یک عنصر را به‌گونه‌ای ارائه می‌دهید که قابل محکومیت یا نایسته توجه یا احترام باشد.,پسرم، شما که در دانشکدهٔ ادبیات درس نخواهید خواند؛ آن جماعت بدنامِ تنبل‌ها و روان‌رنجورها!,,,,,,,,,,,,,,,,,,circle,,,,,2.2210000,4+
324,2.2.2.1.1,"2,2211",5,Influence,influence,Appel à l'émotion,Repoussoir,,,,,,Appel au ridicule,17,Vous tournez en dérision la proposition de votre adversaire afin de la discréditer.,83,"Vous, le nouveau, ne pensez même pas à gagner le match de vendredi. Vous venez d'arriver : regardez et apprenez, vous n'avez pas ce qu'il faut.",132,https://fr.wikipedia.org/wiki/Appel_au_ridicule,Influence,Appeal to emotion,Foil,Appeal to mockery,17,Horse laugh,"Presenting an opponent's argument as absurd, ridiculous, or humorous, and therefore not worth consideration.",108,"You, the new guy, don't even think about winning the Friday match. You've just arrived, watch and learn, you don't have what it takes.",,134,https://en.wikipedia.org/wiki/Appeal_to_ridicule,lien t humour; lien t autorité,,,,,Влияние,Воздействие на эмоции,Очернение,Аргумент к насмешке,"Представление аргумента оппонента как абсурдного, смешного или анекдотичного, и, следовательно, не достойного внимания.","Ты, новичок, даже не думай о том, чтобы выиграть пятничный матч. Ты только что пришел, наблюдай и учись, у тебя нет того, что нужно.",,Influência,Apelo à emoção,Repulsão,Apelo ao ridículo,Você desacredita a proposta do seu adversário tornando-a ridícula.,"Você, o novato, nem pense em ganhar o jogo de sexta-feira. Você acabou de chegar, observe e aprenda, você não tem o que é necessário.",,التأثير,نداء إلى العاطفة,التشويه,الاحتجاج بالسخرية,تستهزئون باقتراح خصمكم من أجل تقويضه.,أنت، الجديد، لا تفكر حتى في الفوز بمباراة الجمعة. لقد وصلت للتو، شاهِد وتعلَّم، أنت لا تملك المهارات اللازمة.,,Influencia,Apelar a la emoción,Espantajo,Apelación a la burla,Ridiculizar la propuesta de su oponente para desacreditarla.,"Tú, el nuevo, ni siquiera pienses en ganar el partido del viernes. Acabas de llegar, observa y aprende, no tienes lo que se necesita.",,影响力,诉诸情感,贬低,滑稽论证,你通过嘲笑对方的主张，使之显得荒谬、可笑或幽默，因此不值得考虑。,你这个新来的，别指望赢得周五的比赛。你刚到，看看学习一下，你没有那个能力。,,تأثیرگذاری,توسل به احساسات,پوششی,فراخوان به مسخره,شما پیشنهاد حریف خود را به‌گونه‌ای مضحک، خنده‌دار یا مسخره ارائه می‌دهید تا آن را از اعتبار بیندازید.,تو، تازه‌وارد، حتی به فکر بردن مسابقه روز جمعه نباش. تو تازه رسیدی، نگاه کن و یاد بگیر، تو چیزی به‌دست نمی‌آری.,,,,,,,,,,,,,,,,,,circle,,,,,2.2211000,4+
325,2.2.2.1.1.1,"2,22111",6,Influence,influence,Appel à l'émotion,Repoussoir,,,,,,Appel au dédain,15,Vous déclarez que la proposition de votre adversaire ne vaut pas la peine d'être prise en considération.,105,Les théories de Charles Darwin ne sont jamais que des rêveries sans danger d'un homme faisant la sieste.,105,,Influence,Appeal to emotion,Foil,Disdain,7,Pooh-pooh,Declaring that an opponent's proposition is not worth taking into consideration.,135,Charles Darwin's theories are but the harmless dreams of a man napping.,,71,https://en.wikipedia.org/wiki/Pooh-pooh,lien t autorité,,,,,Влияние,Воздействие на эмоции,Очернение,Аргумент к пренебрежению,"Отвергание аргумента как недостойного серьезного рассмотрения, насмешливое игнорирование без ответа на суть аргумента.",Теории Чарльза Дарвина – лишь безобидные мечты дремлющего человека.,,Influência,Apelo à emoção,Repulsão,Desdém,"Você descarta o argumento do seu adversário como indigno de séria consideração, ridicularizando-o sem responder ao conteúdo do argumento.",As teorias de Charles Darwin são apenas os sonhos inofensivos de um homem cochilando.,,التأثير,نداء إلى العاطفة,التشويه,الاحتجاج بالازدراء,تعلنون أن اقتراح خصمكم لا يستحق أن يُؤخذ بعين الاعتبار.,نظريات تشارلز داروين ليست سوى أحلام غير ضارة لرجل يأخذ قيلولة.,,Influencia,Apelar a la emoción,Espantajo,Apelación al desdén,Declarar que la propuesta de su oponente no merece ser considerada.,Las teorías de Charles Darwin no son más que los sueños inofensivos de un hombre que duerme una siesta.,,影响力,诉诸情感,贬低,轻蔑,你声称对方的观点不值得认真考虑，通过嘲笑它而不对其实质做出回应。,查尔斯·达尔文的理论只是一个打盹的人的无害梦想。,,تأثیرگذاری,توسل به احساسات,پوششی,تحقیر,شما سخنان حریف خود را بدون پاسخ دادن به محتوای آن، تمسخر کرده و آنها را غیرقابل‌توجه می‌دانید.,نظریه‌های چارلز داروین تنها خواب‌های بی‌ضرر یک مرد در حال چرت زدن است.,,,,,,,,,,,,,,,,,,circle,,,,,2.2211100,4+
326,2.2.2.1.2,"2,2212",5,Influence,influence,Appel à l'émotion,Repoussoir,,,,,,Appel à la honte,16,Vous tentez de discréditer votre adversaire en affirmant que sa proposition est si indigne de lui qu'il devrait en éprouver de l'embarras et s'attendre à une réprobation générale.,185,Vous n'avez pas honte de tenir cette opinion ?,42,,Influence,Appeal to emotion,Foil,Appeal to shame,15,,Attempting to discredit an opponent by declaring that their proposition is so unworthy of them that they should feel embarrassed and expect general disapproval.,59,Aren't you ashamed for having that opinion?,,43,http://rationalwiki.org/wiki/Appeal_to_shame,,,,,,Влияние,Воздействие на эмоции,Очернение,Аргумент к стыду,"Попытка дискредитировать оппонента, заявляя, что его предложение не достойно его самого, до такой степени, что он должен чувствовать стыд и ожидать общего осуждения.",Ты не стыдишься держать такое мнение?,,Influência,Apelo à emoção,Repulsão,Apelo à vergonha,Você tenta desacreditar seu oponente declarando que sua proposta é indigna dele a ponto de esperar que ele sinta embaraço e antecipe a rejeição geral.,Você não tem vergonha de ter essa opinião?,,التأثير,نداء إلى العاطفة,التشويه,الاحتجاج بالعار,تحاولون تقويض خصمكم بإعلان أن اقتراحه لا يليق به إلى درجة أنه ينبغي أن يشعر بالحرج ويتوقع رفضًا عامًا.,ألا تشعر بالخجل من حمل هذا الرأي؟,,Influencia,Apelar a la emoción,Espantajo,Apelación a la vergüenza,"Intentar desacreditar a su oponente declarando que su propuesta es indigna de él, hasta el punto de que debería sentir vergüenza y esperar una desaprobación general.",¿No te da vergüenza tener esa opinión?,,影响力,诉诸情感,贬低,耻辱论证,您试图通过声称对方的主张如此不配其人、以至于对方应为此感到尴尬并预料到普遍谴责，来削弱对方的信誉。,你不觉得持有这种观点很丢脸吗？,,تأثیرگذاری,توسل به احساسات,پوششی,فراخوان به شرم,شما سعی می‌کنید با اعلام اینکه پیشنهاد حریف شما ناپسند است، او را بی‌اعتبار کنید و او باید از آن شرمنده شود و انتظار محکومیت عمومی را داشته باشد.,آیا از داشتن این نظر خجالت نمی‌کشی؟,,,,,,,,,,,,,,,,,,circle,,,,,2.2212000,4+
